대학코드,NUM_VISITS,NUM_DEP,VAR
AR000004,1,1,0.0
AT000001,40,10,25.6
AT000002,3,3,0.0
AT000003,7,7,0.0
AT000006,46,15,27.795555555555556
AT000007,13,4,6.1875
AT000008,11,9,0.1728395061728395
AT000009,20,11,1.603305785123967
AU000001,19,14,0.3724489795918368
AU000002,7,6,0.13888888888888887
AU000003,16,14,0.12244897959183676
AU000004,24,17,0.9480968858131488
AU000005,22,13,1.7514792899408282
AU000007,43,24,2.248263888888889
AU000008,9,7,0.20408163265306126
AU000010,4,3,0.2222222222222222
AU000012,44,28,1.4591836734693875
AU000013,62,36,2.6450617283950617
AU000014,1,1,0.0
AU000015,58,31,3.4672216441207078
AU000016,49,26,4.025147928994082
AU000019,30,19,0.7700831024930747
AU000020,10,10,0.0
BE000001,34,11,14.62809917355372
BE000002,5,5,0.0
BE000003,1,1,0.0
CA000001,15,10,1.05
CA000002,29,15,4.195555555555556
CA000003,6,3,2.0
CA000004,15,5,6.8
CA000005,8,7,0.12244897959183677
CA000006,42,22,2.9008264462809925
CA000007,79,24,23.789930555555554
CA000008,1,1,0.0
CA000009,4,4,0.0
CA000010,3,3,0.0
CA000011,93,38,5.878808864265926
CA000012,168,56,25.25
CA000013,47,10,54.81000000000002
CA000014,13,5,5.440000000000002
CA000015,108,47,7.613399728383884
CA000016,10,8,0.1875
CA000017,7,4,0.6875
CA000018,14,3,26.888888888888886
CA000019,3,2,0.25
CA000020,36,6,57.333333333333336
CA000021,1,1,0.0
CA000022,6,5,0.16000000000000006
CH000001,4,2,1.0
CH000002,15,9,2.444444444444444
CH000004,8,3,2.8888888888888893
CH000005,25,19,1.2686980609418286
CH000006,2,2,0.0
CN000001,96,44,10.148760330578517
CN000002,38,21,1.963718820861678
CN000003,29,14,6.494897959183672
CN000004,53,29,2.5564803804994045
CN000005,40,12,35.72222222222223
CN000006,7,6,0.13888888888888887
CN000007,10,5,4.0
CN000010,8,7,0.12244897959183677
CN000012,1,1,0.0
CN000014,8,5,1.4400000000000002
CN000015,9,5,2.560000000000001
CN000016,73,42,3.0028344671201825
CN000017,23,8,5.859375
CN000019,1,1,0.0
CN000020,38,14,23.346938775510207
CN000021,1,1,0.0
CN000022,18,7,5.6734693877551035
CN000023,11,6,3.4722222222222214
CR000002,1,1,0.0
CZ000001,39,22,1.8119834710743803
DE000001,28,11,13.520661157024795
DE000002,40,11,40.413223140495866
DE000003,51,14,62.6581632653061
DE000004,4,3,0.2222222222222222
