,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,13,비너노이슈타트에서의 교환학생 생활,경영학과,학부,2016,/partner/expReport.asp?id=15044&page=1&bgbn=R,1,0.6777687072753906
1,12,비너노이슈타트에서의 가을 학기!,경영학과,학부,2016,/partner/expReport.asp?id=14499&page=1&bgbn=R,1,0.8167030811309814
2,11,즐거운 추억을 선사한 한 학기,경제,학부,2016,/partner/expReport.asp?id=13252&page=1&bgbn=R,1,0.9362220764160156
3,10,비너노이슈타트의 교환경험,경제,학부,2015-2016,/partner/expReport.asp?id=12760&page=1&bgbn=R,1,0.4023378789424896
4,9,즐거운 교환학생 경험,경제학과,학부,2015,/partner/expReport.asp?id=12222&page=1&bgbn=R,0,0.9049575328826904
5,8,비너노이슈타트에서의 한학기,경영,학부,2014,/partner/expReport.asp?id=12216&page=1&bgbn=R,1,0.645369291305542
6,7,You will never get better experience anywhere else than WienerNeustadt!,경영학과,학부,2014,/partner/expReport.asp?id=12144&page=1&bgbn=R,1,0.5759351849555969
7,6,모든 장점을 가지고 있는 비너노이슈타트!,경제학과,학부,2013,/partner/expReport.asp?id=7026&page=1&bgbn=R,1,0.628480851650238
8,5,"FHWN, Meine Liebe!",경영학과,학부,2013,/partner/expReport.asp?id=7015&page=1&bgbn=R,1,0.5001710653305054
9,4,잊을 수 없는 1년의 기억 Wiener Neustadt,경영학과,학부,2012,/partner/expReport.asp?id=6298&page=1&bgbn=R,1,0.8202722668647766
10,3,비너노이슈타트에서 새로운 경험을!,경영학과,학부,2011,/partner/expReport.asp?id=5014&page=2&bgbn=R,1,0.847001850605011
11,2,FHWN에서의 한학기!!,행정학과,학부,2011,/partner/expReport.asp?id=5010&page=2&bgbn=R,1,0.724786639213562
12,1,내 제 2의 고향,컴퓨터과학과,학부,2010,/partner/expReport.asp?id=4441&page=2&bgbn=R,0,0.39253345131874084
