,No,제목,학과,과정,년도,href,RNN_SCORE
0,16,curtin university,경영학과,학부,2016,/partner/expReport.asp?id=13072&page=1&bgbn=R,0.5230967998504639
1,15,curtin university,국어국문학과,학부,2015,/partner/expReport.asp?id=12416&page=1&bgbn=R,0.5230967998504639
2,14,Curtin에서의 행복했던 한 학기,사회학과,학부,2010,/partner/expReport.asp?id=6224&page=1&bgbn=R,0.916967511177063
3,13,Curtin에서의 한 학기,경제학과,학부,2009,/partner/expReport.asp?id=4031&page=1&bgbn=R,0.731432318687439
4,12,"내 생애 최고의 추억, Curtin! ^^",의공학부,학부,2007,/partner/expReport.asp?id=3011&page=1&bgbn=R,0.9845980405807495
5,11,커튼 대학 파견 보고서,전기전자 공학부,학부,2005-2006,/partner/expReport.asp?id=2131&page=1&bgbn=R,0.7174045443534851
6,10,경험보고서,생명공학전공,학부,2004,/partner/expReport.asp?id=1237&page=1&bgbn=R,0.7555708289146423
7,9,Curtin Univ. of Tech.,화공·생명공학부,학부,2003,/partner/expReport.asp?id=1072&page=1&bgbn=R,0.5139521360397339
8,8,Curtin University Of Technology,사회환경시스템공학부,학부,2003,/partner/expReport.asp?id=1009&page=1&bgbn=R,0.5123575925827026
9,7,Curtin U of Technology - 김주희,신학과,학부,2001-2002,/partner/expReport.asp?id=614&page=1&bgbn=R,0.5139521360397339
10,6,Curtin U of Technology - 조재일,천문우주학전공,학부,2001-2002,/partner/expReport.asp?id=610&page=2&bgbn=R,0.5927295088768005
11,5,Curtin U of Technology - 이재영,주거환경전공,학부,2001,/partner/expReport.asp?id=502&page=2&bgbn=R,0.5139521360397339
12,4,Curtin Univ. of Tech. - 이윤주,영어영문학전공,학부,2001,/partner/expReport.asp?id=423&page=2&bgbn=R,0.5188660621643066
13,3,Curtin Univ. of Tech. - 박세란,영어영문학전공,학부,2001,/partner/expReport.asp?id=422&page=2&bgbn=R,0.34910261631011963
14,2,Curtin Univ.- 김의석,생화학전공,학부,2001,/partner/expReport.asp?id=366&page=2&bgbn=R,0.5123575925827026
15,1,Curtin U of Technology-홍수진,사회환경시스템공학부,학부,2000,/partner/expReport.asp?id=325&page=2&bgbn=R,0.5172333121299744
