,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,61,행복한 교환학기를 보내고 싶다면 주저말고 UQ로!,EESE,학부,2020,/partner/expReport.asp?id=16594&page=1&bgbn=R,0,0.8808304071426392
1,60,University of Queensland,응용통계학과,학부,2019,/partner/expReport.asp?id=15784&page=1&bgbn=R,1,0.515648603439331
2,59,UQ,응용통계학과,학부,2018-2019,/partner/expReport.asp?id=15691&page=1&bgbn=R,1,0.50729900598526
3,58,"UQ와 함께한, 한적하고 여유로운 도시에서 즐거웠던 1년",간호학과,학부,2018-2019,/partner/expReport.asp?id=15679&page=1&bgbn=R,1,0.9059256315231323
4,57,Excellent destination for study,Information and Interaction Design,학부,2017,/partner/expReport.asp?id=14812&page=1&bgbn=R,1,0.5123575925827026
5,56,"여유롭고 행복했던, 브리즈번에서의 한 학기",언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14345&page=1&bgbn=R,1,0.9043430089950562
6,55,정말 좋은 경험이 됐어요!,정치외교학과,학부,2015,/partner/expReport.asp?id=14344&page=1&bgbn=R,1,0.9414074420928955
7,54,안 보면 후회할걸요? 전에 없던 파견경험보고서 at UQ,교육학과,학부,2017,/partner/expReport.asp?id=14306&page=1&bgbn=R,1,0.38149985671043396
8,53,꼭 읽어봐야할 UQ교환 보고서. -하루하루가 꿈같은 UQ,불어불문학과,학부,2017,/partner/expReport.asp?id=14218&page=1&bgbn=R,1,0.9538899660110474
9,52,꿈 같았던 교환생활,경영학과,학부,2017,/partner/expReport.asp?id=14090&page=1&bgbn=R,0,0.8055034875869751
10,51,유큐유큐한 유큐,경제학과,학부,2016,/partner/expReport.asp?id=13423&page=2&bgbn=R,0,0.5230967998504639
11,50,항상 그리울 유큐에서의 1년,외교통상학과,학부,2015-2016,/partner/expReport.asp?id=13334&page=2&bgbn=R,0,0.8120521903038025
12,49,교환학생,언더우드국제대학 아시아학,학부,2016,/partner/expReport.asp?id=13197&page=2&bgbn=R,0,0.50729900598526
13,48,UQ에서의 한학기,의류환경학과,학부,2015,/partner/expReport.asp?id=12663&page=2&bgbn=R,1,0.731432318687439
14,47,UQ에서의 잊지 못할 시간,경제학과,학부,2015,/partner/expReport.asp?id=12539&page=2&bgbn=R,1,0.873242974281311
