,No,제목,학과,과정,년도,href,RNN_SCORE
0,34,캠퍼스 타운 루방 라 뇌브에서 보낸 한 학기,심리학과,학부,2018,/partner/expReport.asp?id=15461&page=1&bgbn=R,0.588238537311554
1,33,"벨기에의 송도캠퍼스, 루방라뇌브",경영학과,학부,2017-2018,/partner/expReport.asp?id=14871&page=1&bgbn=R,0.4634151756763458
2,32,평생 잊을 수 없는 자양분이 된 UCL에서의 기억,사회학과,학부,2017-2,/partner/expReport.asp?id=14598&page=1&bgbn=R,0.9181783199310303
3,31,벨기에 그 곳에 녹아들었던 한 학기,교육학과,대학원,2015,/partner/expReport.asp?id=12748&page=1&bgbn=R,0.8474438786506653
4,30,"1년, 치열하게, 유럽식 삶에 녹아들다.",경영학과,대학원,2015-2016,/partner/expReport.asp?id=12652&page=1&bgbn=R,0.931839644908905
5,29,제2의고향 LLN,정치외교학과,학부,2012-2013,/partner/expReport.asp?id=6600&page=1&bgbn=R,0.3778947591781616
6,28,신.세.계,응용통계학과,학부,2013,/partner/expReport.asp?id=6474&page=1&bgbn=R,0.5360027551651001
7,27,"LLN, It was perfect for me!",경영학과,학부,2012,/partner/expReport.asp?id=6109&page=1&bgbn=R,0.5188660621643066
8,26,루벵라뇌브에서의 한학이,불어불문학과,대학원,2012,/partner/expReport.asp?id=5886&page=1&bgbn=R,0.731432318687439
9,25,Louvain-la-neuve 에서의 한학기,경영학과,학부,2011,/partner/expReport.asp?id=5348&page=1&bgbn=R,0.6701934933662415
10,24,"sLow, Lovely, and Nature So LLN",식품영양학,학부,2011,/partner/expReport.asp?id=5216&page=2&bgbn=R,0.5188660621643066
11,23,"클럽 걸의 천국, 루뱅-라-뇌브",지구시스템과학과,학부,2011,/partner/expReport.asp?id=5033&page=2&bgbn=R,0.5062746405601501
12,22,The best experience you can ever have,경영,학부,2009,/partner/expReport.asp?id=4865&page=2&bgbn=R,0.5163494348526001
13,21,LLN과 함께한 나의 2010년,정치외교학과,학부,2010,/partner/expReport.asp?id=4798&page=2&bgbn=R,0.43609532713890076
14,20,"LLN, the best!",정치외교학과,학부,2010,/partner/expReport.asp?id=4352&page=2&bgbn=R,0.5122702717781067
15,19,Louvain 이 아니라 LLN !,경영학과,학부,2008,/partner/expReport.asp?id=3891&page=2&bgbn=R,0.35077834129333496
16,18,호수가 아름다운 마을 LLN에서의 1년,정치외교학과,학부,2008,/partner/expReport.asp?id=3522&page=2&bgbn=R,0.8640182018280029
17,17,LLN에서의 한학기,경영학과,학부,2008,/partner/expReport.asp?id=3008&page=2&bgbn=R,0.731432318687439
18,16,LLN에서의 소중했던 한학기,불어불문학과,학부,2007,/partner/expReport.asp?id=2715&page=2&bgbn=R,0.8446583151817322
19,15,인생에 가장 큰 point를 찍고싶은 당신에게,경제학과,학부,2006-2007,/partner/expReport.asp?id=2712&page=2&bgbn=R,0.5832073092460632
20,14,교환보고서,경영학과,학부,2006,/partner/expReport.asp?id=2521&page=3&bgbn=R,0.7238260507583618
21,13,LLN에서의 소중한 1년,불어불문학과,학부,2006,/partner/expReport.asp?id=2340&page=3&bgbn=R,0.8446583151817322
22,12,1년 같았던 LLN에서의 한 학기,법학과,학부,2006,/partner/expReport.asp?id=2243&page=3&bgbn=R,0.6915494203567505
23,11,LLN에서 보낸 일년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2234&page=3&bgbn=R,0.507738471031189
24,10,Louvain-la-Neuve에서의 1년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2144&page=3&bgbn=R,0.6701934933662415
25,9,LLN 유럽의 중심에서 낭만을~,경영학과,학부,2005,/partner/expReport.asp?id=1988&page=3&bgbn=R,0.5378483533859253
26,8,교환 in Belgium,정외과,학부,2004-2005,/partner/expReport.asp?id=1628&page=3&bgbn=R,0.5412557721138
27,7,벨기에에서의 생활,불어불문학과,학부,2004,/partner/expReport.asp?id=1531&page=3&bgbn=R,0.7055066227912903
28,6,LLN에서 보낸 한 학기,불어불문학과,학부,2004-2005,/partner/expReport.asp?id=1530&page=3&bgbn=R,0.5980356335639954
29,5,Vision or the courage to excecute everything ?,불어불문학전공,학부,2003,/partner/expReport.asp?id=1354&page=3&bgbn=R,0.5188660621643066
30,4,LLN에서의 잊을 수 없는 한학기,경영학전공,학부,2004,/partner/expReport.asp?id=1205&page=4&bgbn=R,0.8490613698959351
31,3,벨기에 루벵 대학에서의 2003년 가을학기,불어불문학전공,학부,2003,/partner/expReport.asp?id=1121&page=4&bgbn=R,0.8318683505058289
32,2,Université Catholique de Louvain-김아라,경영학전공,학부,2001,/partner/expReport.asp?id=126&page=4&bgbn=R,0.39625340700149536
33,1,Univ. Catholique De Louvain-홍효영,불어불문학전공,학부,1998,/partner/expReport.asp?id=32&page=4&bgbn=R,0.4326958656311035
