,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,77,짧지만 굵었던 밴쿠버에서의 한 학기,정보인터랙션디자인,학부,2020,/partner/expReport.asp?id=16619&page=1&bgbn=R,1,0.8616280555725098
1,76,짧다면 짧았고 길다면 길었던 버나비 마운틴에서의 한 학기,국어국문학,학부,2019,/partner/expReport.asp?id=16240&page=1&bgbn=R,1,0.8297628164291382
2,75,캐나다를 느끼러간 SFU에서의 1년,간호학과,학부,2019,/partner/expReport.asp?id=16238&page=1&bgbn=R,1,0.685472846031189
3,74,"2018년 봄학기, 그리울 나의 교환학기",경제학과,학부,2018,/partner/expReport.asp?id=14794&page=1&bgbn=R,1,0.5049811005592346
4,73,SFU에서의 한 학기,교육학부,학부,2017,/partner/expReport.asp?id=14213&page=1&bgbn=R,1,0.731432318687439
5,72,잊을 수 없는 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=13991&page=1&bgbn=R,0,0.8431291580200195
6,71,SFU 경험보고서,경영학과,학부,2017,/partner/expReport.asp?id=13990&page=1&bgbn=R,0,0.6901764869689941
7,70,SFU에서의 즐거웠던 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=13970&page=1&bgbn=R,1,0.9172285795211792
8,69,SFU에서의 행복했던 한 학기,불어불문학과,학부,2015,/partner/expReport.asp?id=13207&page=1&bgbn=R,1,0.916967511177063
9,68,SFU에서의 한학기,의공학부,학부,2015,/partner/expReport.asp?id=13125&page=1&bgbn=R,1,0.731432318687439
10,67,언제나 그리울 SFU에서의 한학기,경영학과,학부,2016-1,/partner/expReport.asp?id=12911&page=2&bgbn=R,0,0.8390375375747681
11,66,힘든만큼 유익했던 시원섭섭한 교환생활,경영학과,학부,2016 1~4,/partner/expReport.asp?id=12870&page=2&bgbn=R,1,0.3753776550292969
12,65,Engage the world!,경제학과,학부,2015,/partner/expReport.asp?id=12584&page=2&bgbn=R,1,0.5123575925827026
13,64,즐거웠던 SFU에서의 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=11881&page=2&bgbn=R,1,0.8622156381607056
14,63,평화롭고 아름다운 SFU,경영학과,학부,2014,/partner/expReport.asp?id=11783&page=2&bgbn=R,1,0.9535688161849976
15,62,SFU 경험보고서,EIC,학부,2014,/partner/expReport.asp?id=10759&page=2&bgbn=R,0,0.6901764869689941
16,61,"행복했어요 벤쿠버, 사랑해요 SFU",정치외교학과,학부,2014,/partner/expReport.asp?id=8646&page=2&bgbn=R,1,0.9364041090011597
17,60,SFU 교환학생 경험보고서,화공생명공학과,학부,2014,/partner/expReport.asp?id=8641&page=2&bgbn=R,0,0.6680845022201538
18,59,평화로웠던 SFU에서의 한 학기,경영학과,학부,2014,/partner/expReport.asp?id=8602&page=2&bgbn=R,1,0.8167432546615601
19,58,SFU에서의 한 학기,아동가족,학부,2014,/partner/expReport.asp?id=8598&page=2&bgbn=R,1,0.731432318687439
20,57,미래에 대한 계획을 송두리째 바꾼 두 학기.,경영학과,학부,2013-2014,/partner/expReport.asp?id=7070&page=3&bgbn=R,1,0.8825415372848511
21,56,SFU 학생으로서의 4개월,영어영문학과,학부,2013,/partner/expReport.asp?id=6937&page=3&bgbn=R,1,0.4240250289440155
22,55,자유로워 질 수 있었던 SFU에서의 생활,교육학과,학부,2013,/partner/expReport.asp?id=6886&page=3&bgbn=R,1,0.8201414942741394
23,54,I'm SFU!,경제학과,학부,2013,/partner/expReport.asp?id=6850&page=3&bgbn=R,1,0.5122702717781067
24,53,소중한 추억을 만들고 온 SFU,영어영문학과,학부,2013,/partner/expReport.asp?id=6830&page=3&bgbn=R,1,0.6912012696266174
25,52,밴쿠버에서 지낸 소중했던 교환학생 기간~,경영대학,학부,2012-2013,/partner/expReport.asp?id=6571&page=3&bgbn=R,1,0.8154435157775879
26,51,교환학생은 SFU,경영학과,학부,2012-2013,/partner/expReport.asp?id=6314&page=3&bgbn=R,0,0.5230967998504639
27,50,SFU에서의 한 학기,국어국문학과,학부,2012,/partner/expReport.asp?id=6228&page=3&bgbn=R,1,0.731432318687439
28,49,SFU에서의 한 학기,국어국문,학부,2012,/partner/expReport.asp?id=6136&page=3&bgbn=R,1,0.731432318687439
29,48,잊지못할 SFU에서 한학기♥,수학과,학부,2012,/partner/expReport.asp?id=6081&page=3&bgbn=R,1,0.8815879821777344
30,47,여유롭고 행복했던 버나비에서의 한학기,화학과,학부,2012,/partner/expReport.asp?id=6033&page=4&bgbn=R,1,0.889541506767273
31,46,돌아가고 싶은 과거가 된 SFU에서의 1년,사학,학부,2011-2012,/partner/expReport.asp?id=5922&page=4&bgbn=R,0,0.7835266590118408
32,45,SFU에서의 한 학기,사회학과,학부,2011,/partner/expReport.asp?id=5783&page=4&bgbn=R,1,0.731432318687439
33,44,그리운 밴쿠버와 SFU,경영학과,학부,2012,/partner/expReport.asp?id=5761&page=4&bgbn=R,1,0.7133967280387878
34,43,버나비 마운틴에서의 한학기,신문방송학과,학부,2011,/partner/expReport.asp?id=5690&page=4&bgbn=R,1,0.7026737928390503
35,42,SFU에서의 한학기,영어영문학과,학부,2011,/partner/expReport.asp?id=5531&page=4&bgbn=R,1,0.731432318687439
36,41,SFU에서의 추억들을 되새기며,영어영문학과,학부,2010,/partner/expReport.asp?id=5195&page=4&bgbn=R,1,0.921252965927124
37,40,비오는 버나비산에서 청춘을 공부하다,법학과,학부,2010-2011,/partner/expReport.asp?id=5164&page=4&bgbn=R,1,0.19387954473495483
38,39,세상을 보는 새로운 눈을 갖게된 1년,교육학과,학부,2010,/partner/expReport.asp?id=5141&page=4&bgbn=R,1,0.8430284261703491
39,38,기억에 남을 SFU에서의 한 학기,사학과,학부,2010,/partner/expReport.asp?id=4796&page=4&bgbn=R,1,0.8017288446426392
40,37,"자연, 여유와 함께했던 1년",경영학과,학부,2010,/partner/expReport.asp?id=4789&page=5&bgbn=R,1,0.8876476883888245
41,36,자연 친화적이고 행복했던 SFU,물리치료학과,학부,2010,/partner/expReport.asp?id=4611&page=5&bgbn=R,1,0.8310580253601074
42,35,SFU에서의 짧았던 봄학기,경영학과,학부,2010,/partner/expReport.asp?id=4373&page=5&bgbn=R,1,0.8982787132263184
43,34,SFU - 교환학생 경험보고서,경영학과,학부,2009,/partner/expReport.asp?id=4051&page=5&bgbn=R,0,0.6584348678588867
44,33,소중한 2009 SFU 교환학생 생활기,경제학과,학부,2009,/partner/expReport.asp?id=3987&page=5&bgbn=R,1,0.4607997238636017
45,32,뜻깊었던 나의 생활 in SFU,불어불문학과/경영학과,학부,2009,/partner/expReport.asp?id=3651&page=5&bgbn=R,1,0.7260569334030151
46,31,잊지못할 SFU,화학과,학부,2008-2009,/partner/expReport.asp?id=3642&page=5&bgbn=R,0,0.9007439613342285
47,30,Wonderful days in SFU!!,언론홍보영상학부,학부,2009,/partner/expReport.asp?id=3574&page=5&bgbn=R,1,0.5122702717781067
48,29,"많은 생각, 여유를 허락한 SFU in Vancouver",영어영문학과,학부,2008-2009,/partner/expReport.asp?id=3569&page=5&bgbn=R,0,0.8161073923110962
49,28,SFU 경험보고서,법학과,학부,2006,/partner/expReport.asp?id=3520&page=5&bgbn=R,0,0.6901764869689941
