,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,46,대학생활 중 가장 행복했던 한 학기,심리학과,학부,2016,/partner/expReport.asp?id=12971&page=1&bgbn=R,1,0.9123967885971069
1,45,행복했던 매니토바 대학교 한 학기 교환학생 자세한 후기!!,사회학과,학부,2016,/partner/expReport.asp?id=12632&page=1&bgbn=R,1,0.9315202236175537
2,44,행복했던 한학기!,신소재공학과,학부,2015,/partner/expReport.asp?id=12631&page=1&bgbn=R,1,0.9039903283119202
3,43,University of Manitoba에서 보낸 한 학기,건축학과,학부,2015,/partner/expReport.asp?id=12453&page=1&bgbn=R,1,0.593500018119812
4,42,U of M 한 학기 파견보고서,행정학과,학부,2015,/partner/expReport.asp?id=12406&page=1&bgbn=R,1,0.5912275910377502
5,41,1년 동안의 U of M 생활,경영학과,학부,2014,/partner/expReport.asp?id=12299&page=1&bgbn=R,1,0.5412189960479736
6,40,A Brief Summary of Life in UofM,경영학과,학부,2014~2015,/partner/expReport.asp?id=12253&page=1&bgbn=R,1,0.5253964066505432
7,39,한 학기 동안의 UofM 경험보고서,경영학과,학부,2014,/partner/expReport.asp?id=10766&page=1&bgbn=R,1,0.7391077876091003
8,38,1년간의 U of M 파견보고서,경영학과,학부,2014,/partner/expReport.asp?id=7578&page=1&bgbn=R,1,0.7212651371955872
9,37,영어와 전공지식을 한꺼번에 얻게 해주었던 학교,경영학과,학부,2014,/partner/expReport.asp?id=7418&page=1&bgbn=R,1,0.5707995891571045
10,36,잊지 못할 UofM!,경제학과,학부,2013,/partner/expReport.asp?id=6836&page=2&bgbn=R,0,0.8639031052589417
11,35,2012년 교환학생 보고서,경영학과,학부,2012,/partner/expReport.asp?id=6129&page=2&bgbn=R,0,0.5819611549377441
12,34,매니토바 대학 경험보고서,경제학과,학부,2012,/partner/expReport.asp?id=6004&page=2&bgbn=R,1,0.5599263906478882
13,33,최대한 자세한 경험보고서,행정학과/경제학과,학부,2011,/partner/expReport.asp?id=5869&page=2&bgbn=R,0,0.8411905765533447
14,32,마니토바 대학교 경험보고서,경영학과,학부,2012,/partner/expReport.asp?id=5661&page=2&bgbn=R,1,0.4711286723613739
15,31,U Of M 경험 보고서 (2010.01-2010.12),경제학과,학부,2010-2010,/partner/expReport.asp?id=4843&page=2&bgbn=R,0,0.669666051864624
16,30,UoM 경험보고서.,경영학과,학부,2008,/partner/expReport.asp?id=3423&page=2&bgbn=R,0,0.6922454237937927
17,29,U of M에서의 한 학기,경영학과,학부,2007,/partner/expReport.asp?id=2965&page=2&bgbn=R,0,0.6529819965362549
18,28,내 생애 가장 아름다운 한학기,건축공학과,학부,2007,/partner/expReport.asp?id=2807&page=2&bgbn=R,1,0.9533340930938721
19,27,"위니펙, 매니토바대학.",경영학과,학부,2006 Fall,/partner/expReport.asp?id=2439&page=2&bgbn=R,1,0.4724951386451721
