,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,23,"아쉬웠던 교환, 다시 가고싶은 제네바",지속개발협력,학부,2020,/partner/expReport.asp?id=16665&page=1&bgbn=R,1,0.783144474029541
1,22,제네바 파견 보고서,불어불문학과,학부,2019,/partner/expReport.asp?id=16392&page=1&bgbn=R,0,0.5819611549377441
2,21,제네바대학교 교환학생 파견보고서,경제학과,학부,2019,/partner/expReport.asp?id=16363&page=1&bgbn=R,0,0.7335938811302185
3,20,"후회없는 선택, 제네바",언더우드학부 경제학 전공,학부,2019,/partner/expReport.asp?id=16309&page=1&bgbn=R,0,0.7555994391441345
4,19,아름다운 스위스 도시 제네바에 가기 전 알면 좋은 것들,International Studies,학부,2019-2020,/partner/expReport.asp?id=16234&page=1&bgbn=R,1,0.8932110071182251
5,18,"기회가 된다면 다시 가고 싶은, 제네바",불어불문학과,학부,2018-2019,/partner/expReport.asp?id=15918&page=1&bgbn=R,1,0.8995620012283325
6,17,살면서도 행복하다 느끼며 살았던 제네바 생활,지속개발협력학과,학부,2017,/partner/expReport.asp?id=14634&page=1&bgbn=R,1,0.9053449034690857
7,16,가장 행복했던 시간들,"아동가족, 영어영문학과",학부,2017,/partner/expReport.asp?id=14353&page=1&bgbn=R,1,0.9444928765296936
8,15,화창하고 매일이 여유로웠던 제네바에서의 한 학기,언더우드학부- 정치외교학과 (PSIR),학부,2017,/partner/expReport.asp?id=14187&page=1&bgbn=R,1,0.8146882653236389
9,14,행복했던 제네바 대학교에서의 육개월,국제학부 HASS SDC(지속개발협력),학부,2017,/partner/expReport.asp?id=14137&page=1&bgbn=R,0,0.9211342930793762
10,13,"인생 최고의 행복, 제네바 대학교 교환생활",언더우드학부-국제학 (UD-IS),학부,2017,/partner/expReport.asp?id=14131&page=2&bgbn=R,1,0.9657073020935059
11,12,제네바에서의 교환학생 생활,정치외교학과,학부,2016-2017,/partner/expReport.asp?id=13936&page=2&bgbn=R,0,0.6777687072753906
12,11,파견보고서,의류환경,학부,2016-2017,/partner/expReport.asp?id=13860&page=2&bgbn=R,1,0.6132471561431885
13,10,유럽의 가운데서 유럽을 느낄 수 있었던 제네바생활,불어불문학과,학부,2016,/partner/expReport.asp?id=13823&page=2&bgbn=R,1,0.6777227520942688
14,9,제네바에서 길면서도 짧았던 5개월,정보인터렉션디자인학과,학부,2016-2017,/partner/expReport.asp?id=13800&page=2&bgbn=R,1,0.6631317734718323
15,8,제네바대학교에서의 뜻 깊었던 한 학기,불어불문학과,학부,2016,/partner/expReport.asp?id=13767&page=2&bgbn=R,1,0.9293781518936157
16,7,국제도시 제네바 대학에서의 한 학기,정치외교학과,학부,2016-2017,/partner/expReport.asp?id=13712&page=2&bgbn=R,1,0.7882972359657288
17,6,스위스 제네바에서의 교환 학생 생활,언론홍보영상학과,학부,2016-2017,/partner/expReport.asp?id=13679&page=2&bgbn=R,1,0.7510958909988403
18,5,알프스의 나라 스위스 남부에 있는 제네바는 유엔본부가 있으며 각종 유엔기구가 있는 국제적인 도시입니다.,문과대학 불어불문학,학부,2015,/partner/expReport.asp?id=12904&page=2&bgbn=R,1,0.832370400428772
19,4,제네바 대학에서의 1년,"UIC 생명과학공학, 불어불문학",학부,2014,/partner/expReport.asp?id=10760&page=2&bgbn=R,0,0.6152286529541016
20,3,제네바대학교에서의 한학기,경영,학부,2011,/partner/expReport.asp?id=5542&page=3&bgbn=R,1,0.7261490821838379
21,2,교환학생 보고서,언더우드국제대학,학부,2009,/partner/expReport.asp?id=3854&page=3&bgbn=R,0,0.6132471561431885
22,1,제네바 대학 경험 보고서,언더우드 국제학부 경제학과,학부,2008-2009,/partner/expReport.asp?id=3802&page=3&bgbn=R,0,0.5599263906478882
