,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,34,"그리운 추억의 도시 홍콩, 그리고 City U",언론홍보영상학,학부,2017,/partner/expReport.asp?id=14164&page=1&bgbn=R,1,0.6719177961349487
1,33,인생에서 잊을 수 없는 홍콩에서의 한학기,의류환경학과,학부,2017,/partner/expReport.asp?id=14071&page=1&bgbn=R,1,0.9316157102584839
2,32,"제 2의 고향, 홍콩",경제학과,학부,2016,/partner/expReport.asp?id=13791&page=1&bgbn=R,0,0.34665626287460327
3,31,씨티유에서의 한학기,신학과,학부,2016,/partner/expReport.asp?id=13481&page=1&bgbn=R,1,0.6956348419189453
4,30,내 집 같았던 홍콩,Energy& Environmental Science Engineering,학부,2016,/partner/expReport.asp?id=13331&page=1&bgbn=R,0,0.3782155513763428
5,29,행복했던 홍콩에서 한학기,보건행정학과,학부,2015,/partner/expReport.asp?id=12854&page=1&bgbn=R,1,0.8181717991828918
6,28,잊지못할 교환학생 경험,행정학과,학부,2014,/partner/expReport.asp?id=12791&page=1&bgbn=R,0,0.9314397573471069
7,27,잊지못할 홍콩 교환학생 생활,토목환경공학과,학부,2015,/partner/expReport.asp?id=12687&page=1&bgbn=R,0,0.8875960111618042
8,26,떠나고 싶지 않았던 홍콩,의류환경학과,학부,2015,/partner/expReport.asp?id=11937&page=1&bgbn=R,0,0.193532794713974
9,25,너무나 그리운 이방인으로서의 홍콩생활,경영학과,학부,2014,/partner/expReport.asp?id=7299&page=1&bgbn=R,0,0.7474787831306458
10,24,CityU에서 1 학기 보고서,공과대학 전기전자공학부,학부,2014,/partner/expReport.asp?id=7154&page=2&bgbn=R,0,0.659591019153595
11,23,City U,International Studies,학부,2012-2013,/partner/expReport.asp?id=6660&page=2&bgbn=R,1,0.5230967998504639
12,22,경험보고서,경영학과,학부,2013,/partner/expReport.asp?id=6644&page=2&bgbn=R,1,0.7555708289146423
13,21,잊을수 없는 추억,영어영문학과,학부,2012,/partner/expReport.asp?id=6370&page=2&bgbn=R,0,0.9664595127105713
14,20,뒤늦게 쓰는 CityU 교환학생,경영학과,학부,2011,/partner/expReport.asp?id=6336&page=2&bgbn=R,0,0.8131567239761353
15,19,City U 에서의 신나는 생활,신문방송학과,학부,2012,/partner/expReport.asp?id=6241&page=2&bgbn=R,1,0.826575517654419
16,18,City University of Hong Kong,신문방송학과,학부,2012,/partner/expReport.asp?id=5824&page=2&bgbn=R,1,0.5122702717781067
17,17,후회 없었던 5개월간의 홍콩 그리고 CityU,영어영문학과,학부,2012,/partner/expReport.asp?id=5707&page=2&bgbn=R,1,0.7182483673095703
18,16,Remarkable Memory of Hong Kong Life,화공생명공학과,학부,2012,/partner/expReport.asp?id=5624&page=2&bgbn=R,1,0.5139521360397339
19,15,이제는 추억이 될 CityU에서의 한학기,생활디자인/중어중문학,학부,2011,/partner/expReport.asp?id=5344&page=2&bgbn=R,1,0.8880823254585266
20,14,홍콩에서의 소중한 추억 :),신문방송학과,학부,2010,/partner/expReport.asp?id=4695&page=3&bgbn=R,1,0.9301033616065979
21,13,홍콩! 어디까지 가봤니?,영어영문,학부,2010,/partner/expReport.asp?id=4509&page=3&bgbn=R,0,0.30890601873397827
22,12,소중한 기억으로 남을 홍콩에서의 한 학기,수학과,학부,2009,/partner/expReport.asp?id=4047&page=3&bgbn=R,1,0.8132226467132568
23,11,최고의 한 학기를 보낼 수 있는 홍콩!,경제학과,학부,2009,/partner/expReport.asp?id=3986&page=3&bgbn=R,1,0.9343341588973999
24,10,"안전하고 즐거운 곳, City U",중어중문/영어영문,학부,2009,/partner/expReport.asp?id=3680&page=3&bgbn=R,1,0.8429667353630066
25,9,꿈의 도시 홍콩에서 나의 미래를 꿈꾸다!,정치외교/경제,학부,2009,/partner/expReport.asp?id=3557&page=3&bgbn=R,1,0.901189923286438
26,8,잊을 수 없는 기억 City University!!,신소재공학과,학부,2008,/partner/expReport.asp?id=3434&page=3&bgbn=R,1,0.8590695858001709
27,7,City University of Hong Kong,문과대학 사학과,학부,2008,/partner/expReport.asp?id=3410&page=3&bgbn=R,1,0.5122702717781067
28,6,알짜배기 교환학생 경험,영문/경영,학부,2007-2008,/partner/expReport.asp?id=3077&page=3&bgbn=R,0,0.6458020806312561
29,5,"다시 가고싶은 홍콩, city U",의공학부,학부,2007,/partner/expReport.asp?id=2855&page=3&bgbn=R,0,0.7774478793144226
30,4,즐거운 교환학생 생활을 꿈꾼다면 씨티유로!,전기전자공학부,학부,2007,/partner/expReport.asp?id=2844&page=4&bgbn=R,0,0.8742667436599731
31,3,City U 체험기,영어영문학,학부,2007,/partner/expReport.asp?id=2645&page=4&bgbn=R,0,0.2699260115623474
32,2,City University of Hong Kong,법학과,학부,2006,/partner/expReport.asp?id=2106&page=4&bgbn=R,1,0.5122702717781067
33,1,동양과 서양이 공존하는 곳 :),경제학과,학부,2006,/partner/expReport.asp?id=2054&page=4&bgbn=R,1,0.7690339088439941
