,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,38,잊을 수 없는 홍콩에서의 한학기,경영학과,학부,2019-2,/partner/expReport.asp?id=16396&page=1&bgbn=R,1,0.8886770009994507
1,37,즐거웠던 홍콩과학기술대학에서의 교환학생 review,경영학과,학부,2019,/partner/expReport.asp?id=16369&page=1&bgbn=R,0,0.7609678506851196
2,36,행복했던 홍콩과기대에서의 한 학기,경영학과,학부,2019,/partner/expReport.asp?id=15911&page=1&bgbn=R,1,0.8898738622665405
3,35,과기대에서의 행복한 순간들,경영,학부,2018,/partner/expReport.asp?id=15181&page=1&bgbn=R,1,0.8104656338691711
4,34,너무나 행복했던 홍콩에서의 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=12772&page=1&bgbn=R,1,0.9455941915512085
5,33,홍콩과기대에서의 교환학기,경영학과,학부,2015,/partner/expReport.asp?id=12752&page=1&bgbn=R,0,0.6599733233451843
6,32,즐거웠던 홍콩에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=11913&page=1&bgbn=R,1,0.8392707705497742
7,31,홍콩과의 인연,독어독문학과,학부,2013,/partner/expReport.asp?id=6978&page=1&bgbn=R,0,0.6306676268577576
8,30,"글로벌 인재들이 모여드는 곳, 홍콩에서의 한 학기",경영학과,학부,2013,/partner/expReport.asp?id=6880&page=1&bgbn=R,1,0.8843255639076233
9,29,젊은 날의 잊을 수 없는 추억을 안겨준 한 학기,행정학과/경영학과,학부,2012,/partner/expReport.asp?id=6110&page=1&bgbn=R,1,0.9738476872444153
10,28,잊지 못할 홍콩과기대에서의 한 학기,경영학과,학부,2012,/partner/expReport.asp?id=5871&page=2&bgbn=R,1,0.8951096534729004
11,27,HKUST,경영학과,학부,2012,/partner/expReport.asp?id=5791&page=2&bgbn=R,1,0.47254469990730286
12,26,"대학생활의 정점, 즐거운 홍콩 교환학생 :-p",행정학과,학부,2009,/partner/expReport.asp?id=4858&page=2&bgbn=R,1,0.6456302404403687
13,25,"홍콩, 그 자유로운 공기. 그리고 그 안에서의 성장",경제학과,학부,2010,/partner/expReport.asp?id=4634&page=2&bgbn=R,1,0.9031575918197632
14,24,홍콩과기대,경영학과,학부,2008-2009,/partner/expReport.asp?id=3812&page=2&bgbn=R,0,0.47254469990730286
15,23,홍콩과기대 파견보고서,경영대학 경영학과,학부,2008-2009,/partner/expReport.asp?id=3580&page=2&bgbn=R,0,0.5819611549377441
16,22,HKUST에서의 자유로운 한 학기.,교육/영문,학부,2008,/partner/expReport.asp?id=3490&page=2&bgbn=R,1,0.8594745397567749
17,21,Why HKUST?,경영학과,학부,2007-2008,/partner/expReport.asp?id=3297&page=2&bgbn=R,0,0.4831991493701935
18,20,홍콩과학기술대학교,경영학과,학부,2007,/partner/expReport.asp?id=3007&page=2&bgbn=R,0,0.4119267165660858
19,19,"Why HK, why UST",사회계열,학부,2007,/partner/expReport.asp?id=2602&page=2&bgbn=R,1,0.5001710653305054
20,18,HKUST,경영학과,학부,2006,/partner/expReport.asp?id=2493&page=3&bgbn=R,1,0.47254469990730286
21,17,잊지 못할 HKUST,경제학과,학부,2006,/partner/expReport.asp?id=2483&page=3&bgbn=R,0,0.898155689239502
22,16,잊을 수 없는 홍콩에서의 추억,경영학과,학부,2006,/partner/expReport.asp?id=2184&page=3&bgbn=R,1,0.975913405418396
23,15,Just for the fabulous life ♡,경영학과,학부,2006,/partner/expReport.asp?id=2178&page=3&bgbn=R,1,0.5123643279075623
24,14,홍콩,경영학과,학부,2005-2006,/partner/expReport.asp?id=2062&page=3&bgbn=R,0,0.18401280045509338
25,13,세계 금융의 중심 홍콩을 이끄는 원동력-HKUST,경제학과,학부,2005,/partner/expReport.asp?id=1948&page=3&bgbn=R,1,0.45599937438964844
26,12,HKUST에서의 잊지 못할 추억,영어영문학과,학부,2005,/partner/expReport.asp?id=1840&page=3&bgbn=R,1,0.9825399518013
27,11,제 2의 고향 홍콩 그리고 UST,도시공학과,학부,2005,/partner/expReport.asp?id=1602&page=3&bgbn=R,0,0.4267325699329376
28,10,포다이 음꼬이,경영학전공,학부,2004,/partner/expReport.asp?id=1473&page=3&bgbn=R,0,0.10170300304889679
29,9,짧지만 강렬했던 HKUST에서의 한학기,경영학전공,학부,2004,/partner/expReport.asp?id=1471&page=3&bgbn=R,1,0.8893311619758606
30,8,HKUST,상경계열,학부,2004,/partner/expReport.asp?id=1156&page=4&bgbn=R,1,0.47254469990730286
31,7,아시아 경영대의 꽃 - HKUST,중어중문학전공,학부,2003,/partner/expReport.asp?id=1106&page=4&bgbn=R,1,0.6542174816131592
32,6,HKUST,상경계열,학부,2003,/partner/expReport.asp?id=1056&page=4&bgbn=R,1,0.47254469990730286
33,5,작지만 실속있는 학교 - HKUST,상경계열,학부,2002,/partner/expReport.asp?id=976&page=4&bgbn=R,1,0.783268392086029
34,4,다시가고싶은 HKUST,정치외교학과,학부,2002,/partner/expReport.asp?id=816&page=4&bgbn=R,1,0.5538042187690735
35,3,Hong Kong U of Sci. and Tech. - 이혜은,문헌정보학전공,학부,2001-2002,/partner/expReport.asp?id=581&page=4&bgbn=R,1,0.4883745312690735
36,2,Hong Kong U of Sci. & Tech. - 정수민,경영학전공,학부,2001,/partner/expReport.asp?id=357&page=4&bgbn=R,1,0.5759351849555969
37,1,HKUST-박경환,경영학전공,학부,1998,/partner/expReport.asp?id=19&page=4&bgbn=R,1,0.4831991493701935
