,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,40,행복하고 평화로웠던 독일에서의 한학기 :),경제학부,학부,2015,/partner/expReport.asp?id=13420&page=1&bgbn=R,1,0.885770320892334
1,39,EBS에서의 한학기,경영학과,학부,2016,/partner/expReport.asp?id=13078&page=1&bgbn=R,1,0.731432318687439
2,38,재미있었던 엡스!,경영학과,학부,2015,/partner/expReport.asp?id=12676&page=1&bgbn=R,1,0.9214850664138794
3,37,교환학생보고서,경제학과,학부,2012-2013,/partner/expReport.asp?id=12321&page=1&bgbn=R,0,0.7255330681800842
4,36,EBS에서의 평화로웠던 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=12065&page=1&bgbn=R,1,0.814393162727356
5,35,EBS에서 보낸 한 학기,경영학과,학부,2014,/partner/expReport.asp?id=11995&page=1&bgbn=R,1,0.5980356335639954
6,34,EBS에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=8659&page=1&bgbn=R,1,0.731432318687439
7,33,2014 EBS에서의 교환학생,경제학부,학부,2014,/partner/expReport.asp?id=7205&page=1&bgbn=R,0,0.7022072076797485
8,32,행복하고 평화로웠던 EBS에서의 1년,경영학과,학부,2013-2014,/partner/expReport.asp?id=7059&page=1&bgbn=R,1,0.9118794202804565
9,31,EBS 교환학생 경험 보고서,경제학과,학부,2013,/partner/expReport.asp?id=6926&page=1&bgbn=R,0,0.6680845022201538
10,30,전원마을에서 지내는 대학생,정치외교학과,학부,2013,/partner/expReport.asp?id=6594&page=2&bgbn=R,0,0.6013134717941284
11,29,최신 EBS 핵심 요점정리,경영학과,학부,2013,/partner/expReport.asp?id=6461&page=2&bgbn=R,1,0.6183258891105652
12,28,조용한 시골의 삶 ebs :),생활 디자인,학부,2011-2012,/partner/expReport.asp?id=5577&page=2&bgbn=R,1,0.8793447613716125
13,27,EBS에서의 생활,주거환경,학부,2011,/partner/expReport.asp?id=5337&page=2&bgbn=R,1,0.7055066227912903
14,26,짧았던 1학기 동안의 EBS,경영학과,학부,2011,/partner/expReport.asp?id=5311&page=2&bgbn=R,1,0.7766364812850952
15,25,EBS에서의 4개월!,경영학과,학부,2011,/partner/expReport.asp?id=5257&page=2&bgbn=R,0,0.7329951524734497
16,24,EBS에서의 1년,경영,학부,2010,/partner/expReport.asp?id=5031&page=2&bgbn=R,0,0.731432318687439
17,23,독일최고의 명문사립대학에서 한학기,경영학과,학부,2010,/partner/expReport.asp?id=4885&page=2&bgbn=R,1,0.7690030336380005
18,22,즐거움이 가득했던 EBS에서의 한학기,경제학과,학부,2010,/partner/expReport.asp?id=4857&page=2&bgbn=R,1,0.8565596342086792
19,21,EBS에서의 행복했던 1년,경제학과,학부,2009-2010,/partner/expReport.asp?id=4554&page=2&bgbn=R,1,0.916967511177063
20,20,"후회없는 선택, EBS",의류환경학과,학부,2010,/partner/expReport.asp?id=4282&page=3&bgbn=R,0,0.8111854195594788
21,19,내 인생 최고의 여유,경영학과,학부,2009,/partner/expReport.asp?id=4234&page=3&bgbn=R,1,0.9544286131858826
22,18,"포도밭, 자전거, 맥주, 파티, 오리, 조깅, 그 외 소수",경영학과,학부,2009,/partner/expReport.asp?id=3849&page=3&bgbn=R,0,0.6565762758255005
