,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,49,자유대에서의 한학기,경영학과,학부,2019-2020,/partner/expReport.asp?id=16393&page=1&bgbn=R,1,0.8509018421173096
1,48,ein Semester als Berliner,독어독문학과,학부,2019-2020,/partner/expReport.asp?id=16292&page=1&bgbn=R,1,0.5123575925827026
2,47,베를린 자유대학교에서의 한 학기,독어독문학과,학부,2019-2020,/partner/expReport.asp?id=16283&page=1&bgbn=R,1,0.8573365211486816
3,46,자유대에서의 한 학기,독어독문학과,학부,2019-2020,/partner/expReport.asp?id=16274&page=1&bgbn=R,1,0.8509018421173096
4,45,FU Berlin에서의 소중한 한 학기,독어독문학과,학부,2019,/partner/expReport.asp?id=16034&page=1&bgbn=R,1,0.8189959526062012
5,44,베를린에서의 한 학기,독어독문학,학부,2019,/partner/expReport.asp?id=16033&page=1&bgbn=R,1,0.7846090793609619
6,43,베를린에서의 한 학기,독어독문학과,학부,2019,/partner/expReport.asp?id=16032&page=1&bgbn=R,1,0.7846090793609619
7,42,뜻 깊은 1년이었습니다.,독어독문학과,학부,2018-2019,/partner/expReport.asp?id=16008&page=1&bgbn=R,1,0.7746325731277466
8,41,베를린 재밌음~!~!~!~!~!~!,독어독문학과,학부,2018-2019,/partner/expReport.asp?id=15531&page=1&bgbn=R,1,0.873076319694519
9,40,베를린 자유대에서의 한학기,독어독문학과,학부,2018,/partner/expReport.asp?id=15053&page=1&bgbn=R,1,0.8546079993247986
10,39,"한 번쯤 꼭 가봐야 할 곳, 베를린",독어독문,학부,2018,/partner/expReport.asp?id=15051&page=2&bgbn=R,1,0.9547545909881592
11,38,"Arm aber sexy, Berlin",독어독문학과,학부,2018,/partner/expReport.asp?id=14993&page=2&bgbn=R,0,0.5122702717781067
12,37,매력적인 도시 베를린. 베를린 자유대 교환학생 보고서,독어독문학과,학부,2017,/partner/expReport.asp?id=14203&page=2&bgbn=R,1,0.9634933471679688
13,36,낯선 도시 베를린에서의 한 학기,생활디자인학과,학부,2016,/partner/expReport.asp?id=13355&page=2&bgbn=R,1,0.8554908037185669
14,35,정말 유익하고 알차게 보냈던 베를린자유대학교에서의 한 학기,독어독문학과,학부,2015-2016,/partner/expReport.asp?id=12842&page=2&bgbn=R,1,0.945517361164093
15,34,FU Berlin에서의 한 학기,독어독문학과,학부,2015-2016,/partner/expReport.asp?id=12747&page=2&bgbn=R,1,0.7022072076797485
16,33,베를린 자유대학에서의 잊을 수 없는 추억,사학과,학부,2015-2016,/partner/expReport.asp?id=12690&page=2&bgbn=R,1,0.9779104590415955
17,32,베를린에서의 한 학기,영어영문학,학부,2014,/partner/expReport.asp?id=12353&page=2&bgbn=R,1,0.7846090793609619
18,31,베를린에서의 행복한 일 년,독어독문학과,학부,2014-2015,/partner/expReport.asp?id=12339&page=2&bgbn=R,1,0.8932927846908569
19,30,자유로운 학생의 도시 베를린,정치외교학과,학부,2014-2015,/partner/expReport.asp?id=11793&page=2&bgbn=R,1,0.8300763368606567
20,29,FU에서의 한 학기 (수정),독어독문학,학부,2013-2014,/partner/expReport.asp?id=7453&page=3&bgbn=R,1,0.4486650228500366
21,28,베를린 자유대학교 교환학생 파견 보고서,독어독문학과,학부,2013,/partner/expReport.asp?id=7361&page=3&bgbn=R,0,0.8856115341186523
22,27,베를린자유대에서의 뜻깊은 한학기,독어독문학과,대학원,2013-2014,/partner/expReport.asp?id=6966&page=3&bgbn=R,1,0.9662488102912903
23,26,베를린 자유대에서 보낸 1년,독어독문학과,학부,2012-2013,/partner/expReport.asp?id=6752&page=3&bgbn=R,1,0.8664480447769165
