,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,31,LMU 경험보고서,독어독문학과,학부,2019,/partner/expReport.asp?id=16606&page=1&bgbn=R,0,0.6353806853294373
1,30,LMU 경험보고서,경제학과,학부,2019-2020,/partner/expReport.asp?id=16479&page=1&bgbn=R,0,0.6353806853294373
2,29,2019-2 LMU!,독어독문학과,학부,2019-2,/partner/expReport.asp?id=16434&page=1&bgbn=R,0,0.4831991493701935
3,28,"살기 좋은 곳, 여행다니기 편한 곳을 원한다면 뮌헨",아시아학부,학부,2018-2019,/partner/expReport.asp?id=15700&page=1&bgbn=R,1,0.9643009305000305
4,27,뮌헨에서의 행복했던 6개월,독어독문학과,학부,2018,/partner/expReport.asp?id=15136&page=1&bgbn=R,1,0.8938486576080322
5,26,LMU 경험보고서,신학과,학부,2018,/partner/expReport.asp?id=15089&page=1&bgbn=R,0,0.6353806853294373
6,25,"살기 좋은 도시, 뮌헨",문화인류학과,학부,2018,/partner/expReport.asp?id=15022&page=1&bgbn=R,1,0.8334681987762451
7,24,LMU 경험보고서,철학과,학부,2017-2018,/partner/expReport.asp?id=14968&page=1&bgbn=R,0,0.6353806853294373
8,23,LMU 파견보고서,독어독문학과,학부,2017-2,/partner/expReport.asp?id=14711&page=1&bgbn=R,0,0.5819611549377441
9,22,LMU 경험보고서,독어독문학과,학부,2017-2,/partner/expReport.asp?id=14646&page=1&bgbn=R,0,0.6353806853294373
10,21,LMU 경험보고서,독어독문학과,학부,2017-1,/partner/expReport.asp?id=14341&page=2&bgbn=R,0,0.6353806853294373
11,20,뮌헨대학교(LMU) 경험보고서,독어독문학과,학부,2017-1,/partner/expReport.asp?id=14303&page=2&bgbn=R,0,0.755443274974823
12,19,뮌헨대학교 경험보고서,독어독문학과,학부,2016-2,/partner/expReport.asp?id=14152&page=2&bgbn=R,0,0.7448160648345947
13,18,뮌헨에서의 즐거웠던 6개월,독어독문학과,학부,2016,/partner/expReport.asp?id=13356&page=2&bgbn=R,1,0.8808964490890503
14,17,"꿈의 대학, 뮌헨대학교에서의 6개월",독어독문학과,학부,2015 WS,/partner/expReport.asp?id=12839&page=2&bgbn=R,1,0.8644339442253113
15,16,드디어 독일에 가다,보건행정학과,학부,2015-2,/partner/expReport.asp?id=12798&page=2&bgbn=R,1,0.8136003613471985
16,15,2014 봄학기,경제학과,학부,2014,/partner/expReport.asp?id=12030&page=2&bgbn=R,1,0.5296416878700256
17,14,뮌헨에서의 꿈 같았던 한 학기,독어독문학과,학부,2014 WS,/partner/expReport.asp?id=11840&page=2&bgbn=R,1,0.9101969599723816
18,13,LMU SS 2014,독어독문학과,학부,2014,/partner/expReport.asp?id=7477&page=2&bgbn=R,0,0.4831991493701935
19,12,LMU 경험보고서,독어독문학과,학부,2013-2014,/partner/expReport.asp?id=7420&page=2&bgbn=R,0,0.6353806853294373
20,11,LMU 파견보고서,독어독문학과,학부,2013,/partner/expReport.asp?id=7378&page=3&bgbn=R,0,0.5819611549377441
21,10,LMU 경험보고서,사학과,학부,2012-2013,/partner/expReport.asp?id=7039&page=3&bgbn=R,0,0.6353806853294373
22,9,an der LMU,독어독문학과,학부,2012-2013,/partner/expReport.asp?id=7016&page=3&bgbn=R,0,0.4831991493701935
23,8,뮌헨에서의 즐거운 2013년 봄 학기를 보내며...,경제학과,학부,2013,/partner/expReport.asp?id=6730&page=3&bgbn=R,1,0.9397082328796387
24,7,LMU 경험보고서,응용통계학과,학부,2012,/partner/expReport.asp?id=5911&page=3&bgbn=R,0,0.6353806853294373
25,6,LMU 경험보고서,문헌정보학과,학부,2011,/partner/expReport.asp?id=5478&page=3&bgbn=R,0,0.6353806853294373
26,5,Muenchen에서의 1년,영어영문학과,학부,2007-2008,/partner/expReport.asp?id=3057&page=3&bgbn=R,0,0.645369291305542
27,4,LMU 경험보고서,영어영문학과,학부,2006-2007,/partner/expReport.asp?id=2475&page=3&bgbn=R,0,0.6353806853294373
28,3,University of Munich(LMU),독어독문학,학부,2005-2006,/partner/expReport.asp?id=2077&page=3&bgbn=R,1,0.5123643279075623
29,2,LMU,법학과,학부,2004,/partner/expReport.asp?id=1463&page=3&bgbn=R,1,0.47254469990730286
30,1,LMU,유럽어문학부,학부,2002,/partner/expReport.asp?id=785&page=4&bgbn=R,1,0.47254469990730286
