,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,72,1년의 휘게!,건축학과,학부,2018-2019,/partner/expReport.asp?id=16597&page=1&bgbn=R,1,0.3462083637714386
1,71,1년의 Hygge,국제학과,학부,2019,/partner/expReport.asp?id=16079&page=1&bgbn=R,1,0.48335328698158264
2,70,코펜하겐 대학교에서의 한 학기! 최고!,경제학과,학부,2019,/partner/expReport.asp?id=16028&page=1&bgbn=R,1,0.9480207562446594
3,69,인생에서 가장 행복했던 1년!,심리학과,학부,2019,/partner/expReport.asp?id=15938&page=1&bgbn=R,1,0.9724869132041931
4,68,코펜하겐대학교 교환 가세요ㅠㅠㅠㅠ 고민하지 마세요!,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=15829&page=1&bgbn=R,0,0.6678072810173035
5,67,코펜하겐대학교에서의 한 학기,경제학과,학부,2019,/partner/expReport.asp?id=15801&page=1&bgbn=R,1,0.7261490821838379
6,66,코펜하겐대학교 경험보고서,정치외교학과,학부,2018,/partner/expReport.asp?id=15277&page=1&bgbn=R,0,0.7448160648345947
7,65,애정하는 코펜하겐,철학과,학부,2017,/partner/expReport.asp?id=15129&page=1&bgbn=R,1,0.7143949866294861
8,64,덴마크 코펜하겐에서의 7개월,비교문학과문화과,학부,2018,/partner/expReport.asp?id=15112&page=1&bgbn=R,1,0.7659161686897278
9,63,코펜하겐에서 보낸 한 학기,철학과,학부,2018,/partner/expReport.asp?id=15050&page=1&bgbn=R,1,0.5509714484214783
10,62,코펜하겐 휘게휘게,문헌정보학과,학부,2017,/partner/expReport.asp?id=14684&page=2&bgbn=R,1,0.28948497772216797
11,61,코펜하겐에서의 1년,영어영문학과/심리학과,학부,2017,/partner/expReport.asp?id=14542&page=2&bgbn=R,0,0.645369291305542
12,60,코펜하겐에서의 겨울,사학과,학부,2017,/partner/expReport.asp?id=14522&page=2&bgbn=R,1,0.5861557722091675
13,59,덴마크 교환에 대한 현실적인 정보들!,사회복지학과/경제학과,학부,2017-2018,/partner/expReport.asp?id=14455&page=2&bgbn=R,1,0.7617034316062927
14,58,"Min trejde hjemby, haber vi ses igen snart <3",경영학과,학부,2016-2017,/partner/expReport.asp?id=14431&page=2&bgbn=R,1,0.5759351849555969
15,57,"누가 왜 왔든지, 어찌됐든 코펜하겐",건축학과,학부,2017,/partner/expReport.asp?id=14333&page=2&bgbn=R,1,0.46190202236175537
16,56,코펜하겐 대학교 경험 보고서,사회학과,학부,2017,/partner/expReport.asp?id=14158&page=2&bgbn=R,0,0.7448160648345947
17,55,코펜하겐에서의 한 학기,정치외교학과/언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14129&page=2&bgbn=R,1,0.645369291305542
