,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,72,1년의 휘게!,건축학과,학부,2018-2019,/partner/expReport.asp?id=16597&page=1&bgbn=R,1,0.4148786962032318
1,71,1년의 Hygge,국제학과,학부,2019,/partner/expReport.asp?id=16079&page=1&bgbn=R,1,0.5230967998504639
2,70,코펜하겐 대학교에서의 한 학기! 최고!,경제학과,학부,2019,/partner/expReport.asp?id=16028&page=1&bgbn=R,1,0.9312565326690674
3,69,인생에서 가장 행복했던 1년!,심리학과,학부,2019,/partner/expReport.asp?id=15938&page=1&bgbn=R,1,0.9670654535293579
4,68,코펜하겐대학교 교환 가세요ㅠㅠㅠㅠ 고민하지 마세요!,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=15829&page=1&bgbn=R,0,0.6513892412185669
5,67,코펜하겐대학교에서의 한 학기,경제학과,학부,2019,/partner/expReport.asp?id=15801&page=1&bgbn=R,1,0.7504055500030518
6,66,코펜하겐대학교 경험보고서,정치외교학과,학부,2018,/partner/expReport.asp?id=15277&page=1&bgbn=R,1,0.7756832838058472
7,65,애정하는 코펜하겐,철학과,학부,2017,/partner/expReport.asp?id=15129&page=1&bgbn=R,1,0.7866561412811279
8,64,덴마크 코펜하겐에서의 7개월,비교문학과문화과,학부,2018,/partner/expReport.asp?id=15112&page=1&bgbn=R,1,0.719271183013916
9,63,코펜하겐에서 보낸 한 학기,철학과,학부,2018,/partner/expReport.asp?id=15050&page=1&bgbn=R,1,0.5980356335639954
10,62,코펜하겐 휘게휘게,문헌정보학과,학부,2017,/partner/expReport.asp?id=14684&page=2&bgbn=R,1,0.35127609968185425
11,61,코펜하겐에서의 1년,영어영문학과/심리학과,학부,2017,/partner/expReport.asp?id=14542&page=2&bgbn=R,1,0.731432318687439
12,60,코펜하겐에서의 겨울,사학과,학부,2017,/partner/expReport.asp?id=14522&page=2&bgbn=R,1,0.7569019198417664
13,59,덴마크 교환에 대한 현실적인 정보들!,사회복지학과/경제학과,학부,2017-2018,/partner/expReport.asp?id=14455&page=2&bgbn=R,1,0.632680356502533
14,58,"Min trejde hjemby, haber vi ses igen snart <3",경영학과,학부,2016-2017,/partner/expReport.asp?id=14431&page=2&bgbn=R,1,0.5248868465423584
15,57,"누가 왜 왔든지, 어찌됐든 코펜하겐",건축학과,학부,2017,/partner/expReport.asp?id=14333&page=2&bgbn=R,0,0.553804337978363
16,56,코펜하겐 대학교 경험 보고서,사회학과,학부,2017,/partner/expReport.asp?id=14158&page=2&bgbn=R,1,0.7756832838058472
17,55,코펜하겐에서의 한 학기,정치외교학과/언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14129&page=2&bgbn=R,1,0.731432318687439
18,54,그리운 코펜하겐에서의 생활!,사회학과,학부,2016,/partner/expReport.asp?id=13824&page=2&bgbn=R,1,0.7745583057403564
19,53,많은 것을 배웠던 코펜하겐,심리학과,학부,2016,/partner/expReport.asp?id=13643&page=2&bgbn=R,1,0.7724497318267822
20,52,Experience at Københavns Universitet,Comparative Literature & Culture,학부,2016,/partner/expReport.asp?id=13584&page=3&bgbn=R,1,0.5139521360397339
21,51,"Du kan tage pigen ud af København, men du kan ikke tage København ud af pigen.",비교문학과 문화,학부,2015-1학기,/partner/expReport.asp?id=12743&page=3&bgbn=R,0,0.5259679555892944
22,50,Report on exchange semester at the University of Copenhagen,Underwood Division,학부,2015,/partner/expReport.asp?id=12734&page=3&bgbn=R,0,0.5212031602859497
23,49,다시 가고싶은 대학 코펜하겐,정치외교학과,학부,2015,/partner/expReport.asp?id=12610&page=3&bgbn=R,1,0.7801514863967896
24,48,교과서 같은 도시 코펜하겐,경제학과,학부,2015-2016,/partner/expReport.asp?id=12594&page=3&bgbn=R,1,0.7826261520385742
25,47,코펜하겐!,중어중문학과,학부,2012,/partner/expReport.asp?id=12354&page=3&bgbn=R,1,0.5230967998504639
26,46,Hej! Mange Tak.,비교문학,학부,2014-2015,/partner/expReport.asp?id=12327&page=3&bgbn=R,0,0.5122702717781067
27,45,코펜하겐에서의 봄학기,언론홍보영상학부/사회학과,학부,2014,/partner/expReport.asp?id=8597&page=3&bgbn=R,1,0.8186861276626587
28,44,꿈같았던 코펜하겐 : ),행정학과,학부,2013-2014,/partner/expReport.asp?id=7446&page=3&bgbn=R,1,0.8516569137573242
29,43,멋진 코펜하겐!,경제학부,학부,2013-2014,/partner/expReport.asp?id=7318&page=3&bgbn=R,1,0.8879216909408569
30,42,고생한만큼 즐거웠던 코펜하겐!,신문방송학과,학부,2011,/partner/expReport.asp?id=6650&page=4&bgbn=R,1,0.9209424257278442
31,41,내사랑코펜하겐,UIC 경제,학부,2012,/partner/expReport.asp?id=6147&page=4&bgbn=R,1,0.8869167566299438
32,40,코펜하겐 경험보고서 :),심리학과,학부,2011-2012,/partner/expReport.asp?id=5991&page=4&bgbn=R,1,0.690637469291687
33,39,사랑스런 코펜하겐!!!!!!!!!!!!!!!!!,경제학과,학부,2011-2012,/partner/expReport.asp?id=5733&page=4&bgbn=R,1,0.9475173950195312
34,38,조용한 코펜하겐!,사회학과,학부,2011,/partner/expReport.asp?id=5537&page=4&bgbn=R,1,0.7310695648193359
35,37,꿈같은 시절의 CPH,정치외교학과,학부,2011,/partner/expReport.asp?id=5454&page=4&bgbn=R,1,0.9083623886108398
36,36,신 맛 코펜하겐,언론홍보영상/사회학,학부,2009,/partner/expReport.asp?id=5327&page=4&bgbn=R,1,0.4971124529838562
37,35,추운 나라 덴마크 따뜻한 도시 코펜하겐,경제학과,학부,2011,/partner/expReport.asp?id=5228&page=4&bgbn=R,1,0.5093982815742493
38,34,"코펜하겐, 언제가는 꼭 돌아가고 싶은 그곳",언더우드국제대학,학부,2010-2011,/partner/expReport.asp?id=5203&page=4&bgbn=R,1,0.8941962718963623
39,33,I love KBH,국제학과,학부,2011,/partner/expReport.asp?id=5148&page=4&bgbn=R,1,0.515648603439331
40,32,행복한 일 년,공과대학 건축학과,학부,2010-2011,/partner/expReport.asp?id=5107&page=5&bgbn=R,1,0.867389440536499
41,31,코펜하겐을 느껴보세요 !,"식품영양학과, 심리학과",학부,2011,/partner/expReport.asp?id=5102&page=5&bgbn=R,1,0.7307153940200806
42,30,"Copenhagen, Denmark !",심리학과,학부,2011,/partner/expReport.asp?id=5094&page=5&bgbn=R,1,0.5123575925827026
43,29,코펜하겐!,국어국문학과/영어영문학과,학부,2011,/partner/expReport.asp?id=5092&page=5&bgbn=R,1,0.5230967998504639
44,28,"나에게 행복을 가르쳐 준 나라, 덴마크",경제학과,학부,2009-2010,/partner/expReport.asp?id=4831&page=5&bgbn=R,1,0.8849403858184814
45,27,코펜하겐 대학 경험보고서,경제학과,학부,2010,/partner/expReport.asp?id=4610&page=5&bgbn=R,1,0.639470100402832
