,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,24,Hola Barcelona y Esade :) 행복했던 한 학기를 돌아보며,경영학과,학부,2016,/partner/expReport.asp?id=14421&page=1&bgbn=R,1,0.8376635909080505
1,23,Barcelona에서의 잊지 못할 한학기,경영학과,학부,2016,/partner/expReport.asp?id=14245&page=1&bgbn=R,1,0.9394807815551758
2,22,대학생활의 꽃인 교환을 제대로 만끽하려면 스페인 바르셀로나로!,경영학과,학부,2016,/partner/expReport.asp?id=13565&page=1&bgbn=R,1,0.5503624081611633
3,21,내 인생 다시없을 휴식,경영학과,대학원,2016,/partner/expReport.asp?id=13344&page=1&bgbn=R,1,0.8540452122688293
4,20,ESADE에서 한 학기,UIC,학부,2015,/partner/expReport.asp?id=12625&page=1&bgbn=R,0,0.4195614159107208
5,19,바르셀로나에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12587&page=1&bgbn=R,1,0.5433378219604492
6,18,바르셀로나에서의 교환학생 생활,경영,학부,2011,/partner/expReport.asp?id=12373&page=1&bgbn=R,0,0.5809844136238098
7,17,Hola! 사랑스러운 바르셀로나에서의 한학기.,경영학과,학부,2014,/partner/expReport.asp?id=12194&page=1&bgbn=R,1,0.8653783202171326
8,16,ESADE와 바르셀로나!,경영학과,학부,2014,/partner/expReport.asp?id=7259&page=1&bgbn=R,1,0.42266470193862915
9,15,에사데에서의 한학기!,경영학과,학부,2013,/partner/expReport.asp?id=6945&page=1&bgbn=R,1,0.724786639213562
10,14,바르셀로나에서 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6923&page=2&bgbn=R,1,0.2705528140068054
11,13,바르셀로나에서의 한 학기 :),경영학과,학부,2012,/partner/expReport.asp?id=6770&page=2&bgbn=R,1,0.6406670212745667
12,12,ESADE 경험보고서,경영학과,학부,2011-2012,/partner/expReport.asp?id=6741&page=2&bgbn=R,0,0.6353806853294373
13,11,바르셀로나에서의 한 학기,EIC,학부,2013,/partner/expReport.asp?id=6658&page=2&bgbn=R,1,0.5433378219604492
14,10,바르셀로나에서 보낸 꿈같은 한 학기,경영학과,학부,2013,/partner/expReport.asp?id=6423&page=2&bgbn=R,1,0.7475581169128418
15,9,ESADE,경영대학 경영학부,학부,2012,/partner/expReport.asp?id=6148&page=2&bgbn=R,1,0.47254469990730286
16,8,최고의 선택 ESADE!,경영학과,학부,2012,/partner/expReport.asp?id=5923&page=2&bgbn=R,1,0.9642048478126526
17,7,에사데,경영학과,학부,2011-2012,/partner/expReport.asp?id=5809&page=2&bgbn=R,1,0.47254469990730286
18,6,바르셀로나에서의 한 학기,경제학과,학부,2011,/partner/expReport.asp?id=5374&page=2&bgbn=R,1,0.5433378219604492
19,5,"Hola, Barcelona!",경영,학부,2010-2011,/partner/expReport.asp?id=5030&page=2&bgbn=R,1,0.4899306297302246
20,4,ESADE에서 보낸 가을학기,경영학과,학부,2005,/partner/expReport.asp?id=1973&page=3&bgbn=R,1,0.730815589427948
21,3,"제 2의 고향, 바르셀로나!",상경계열,학부,2004,/partner/expReport.asp?id=1500&page=3&bgbn=R,1,0.2724318504333496
22,2,24시간 즐거운 도시! 바르셀로나에서의 삶,경영학전공,학부,2004,/partner/expReport.asp?id=1475&page=3&bgbn=R,1,0.9224660396575928
23,1,ESADE,경영학전공,학부,2003,/partner/expReport.asp?id=1089&page=3&bgbn=R,1,0.47254469990730286
