,No,제목,학과,과정,년도,href,RNN_SCORE
0,20,아쉬움은 남지만 후회하지는 않는 2020-1학기 스페인 교환,경영학과,학부,2020,/partner/expReport.asp?id=16643&page=1&bgbn=R,0.8260659575462341
1,19,행복 모먼츠 가득했던 마드리드 교환생활!,실내건축학과,학부,2019,/partner/expReport.asp?id=15702&page=1&bgbn=R,0.8570393323898315
2,18,"다시 돌아가고픈 순간, 마드리드 교환학생 후기",문화인류학과,학부,2018-2019,/partner/expReport.asp?id=15393&page=1&bgbn=R,0.9388668537139893
3,17,더할 나위 없이 좋았던 스페인에서의 한 학기,불어불문학과,학부,2018,/partner/expReport.asp?id=15346&page=1&bgbn=R,0.8783766031265259
4,16,마드리드 UC3M에서의 한 학기 교환생활,정치외교학과,학부,2018-2019,/partner/expReport.asp?id=15343&page=1&bgbn=R,0.6301642656326294
5,15,마드리드에서 완벽한 한 학기,영어영문학과,학부,2018-2019,/partner/expReport.asp?id=15317&page=1&bgbn=R,0.8565245270729065
6,14,마드리드 교환학생 후기,UIC IS,학부,2013,/partner/expReport.asp?id=14420&page=1&bgbn=R,0.5652004480361938
7,13,UC3M 교환학생 파견보고서,언더우드국제대학 사회정의러더십,학부,2017,/partner/expReport.asp?id=14017&page=1&bgbn=R,0.6487526297569275
8,12,UC3M 교환학생 파견보고서,응용통계,학부,2017,/partner/expReport.asp?id=14008&page=1&bgbn=R,0.6487526297569275
9,11,UC3M에서의 한 학기,실내건축학과,학부,2016,/partner/expReport.asp?id=13686&page=1&bgbn=R,0.6876720190048218
10,10,UC3M 교환학생 파견보고서,경영학과,학부,2016,/partner/expReport.asp?id=13607&page=2&bgbn=R,0.6487526297569275
11,9,"사랑스러운 도시, 마드리드♥",화학과,학부,2016,/partner/expReport.asp?id=13401&page=2&bgbn=R,0.8828613758087158
12,8,마드리드에서의 6개월,문화인류학과,학부,2015,/partner/expReport.asp?id=13373&page=2&bgbn=R,0.7203809022903442
13,7,A Semester Abroad at UC3M,UIC,학부,2016,/partner/expReport.asp?id=13216&page=2&bgbn=R,0.5163494348526001
14,6,"제 2의 고향, 마드리드에서의 한 학기",경영학과,학부,2015,/partner/expReport.asp?id=12125&page=2&bgbn=R,0.5858989953994751
15,5,마드리드 까를로스 3세 대학 교환학생,언더우드 국제학부,학부,2014,/partner/expReport.asp?id=7394&page=2&bgbn=R,0.6261829137802124
16,4,Universidad Carlos III de Madrid 파견보고서,사학과,학부,2013,/partner/expReport.asp?id=6692&page=2&bgbn=R,0.6455115079879761
17,3,2013-1 마드리드 카를로스 3세 대학 파견보고서,신문방송학과,학부,2013,/partner/expReport.asp?id=6609&page=2&bgbn=R,0.6620874404907227
18,2,Real 마드리드,경제학과,학부,2012-2013,/partner/expReport.asp?id=6195&page=2&bgbn=R,0.5230967998504639
19,1,마드리드에서의 가을학기,신문방송학과,학부,2012,/partner/expReport.asp?id=6188&page=2&bgbn=R,0.8365696668624878
