,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,38,"Kiitos, Joensuu!",신학과,학부,2019,/partner/expReport.asp?id=16690&page=1&bgbn=R,1,0.4899306297302246
1,37,평화로웠던 요엔수에서의 한학기,아동가족학과,학부,2019- 2 학,/partner/expReport.asp?id=16563&page=1&bgbn=R,1,0.7879835963249207
2,36,평화로웠던 요엔수,교육학과,학부,2019,/partner/expReport.asp?id=16423&page=1&bgbn=R,1,0.7200877666473389
3,35,Ole hyva 핀란드 요엔수,사회복지학과,학부,2018,/partner/expReport.asp?id=16328&page=1&bgbn=R,1,0.564398467540741
4,34,요앤수에서의 여유로운 한 학기,불어불문학과,학부,2018,/partner/expReport.asp?id=16235&page=1&bgbn=R,1,0.8963451981544495
5,33,"Kittos Paljon, Joensuu",교육학과,학부,2018-2019,/partner/expReport.asp?id=16049&page=1&bgbn=R,0,0.4899306297302246
6,32,"자연자연한 진정한 핀란드, 요엔수",화학과,학부,2018,/partner/expReport.asp?id=15025&page=1&bgbn=R,1,0.8499780893325806
7,31,"아름다운 북유럽의 자연을 느낄 수 있는 핀란드, 쿠오피오",천문우주학과,학부,2018,/partner/expReport.asp?id=14944&page=1&bgbn=R,1,0.8598874807357788
8,30,바쁘게 앞만 보고 달려온 대학 생활을 뒤돌아보는 '여유'를 찾게 해 준 핀란드!,의공학부,학부,2016,/partner/expReport.asp?id=13880&page=1&bgbn=R,1,0.7767109274864197
9,29,"진정한 핀란드를 느끼고 싶다면, 요엔수로 가세요!",교육학과,학부,2016,/partner/expReport.asp?id=13807&page=1&bgbn=R,1,0.7179558873176575
10,28,"무민과 사우나의 고향, 핀란드",신학,학부,2016,/partner/expReport.asp?id=13744&page=2&bgbn=R,1,0.5504021644592285
11,27,삶의 여유와 행복의 의미를 찾을 Joensuu,신소재공학과,학부,2016,/partner/expReport.asp?id=13699&page=2&bgbn=R,1,0.9702699780464172
12,26,잊지못할 핀란드에서의 한 학기.,교육학과,학부,2016,/partner/expReport.asp?id=13231&page=2&bgbn=R,1,0.9026494026184082
13,25,신비로운 자연 속에서 평화롭게 보냈던 한 학기,생활과학대학 생활디자인학과,학부,2016,/partner/expReport.asp?id=13187&page=2&bgbn=R,1,0.9275017976760864
14,24,핀란드에서의 꿈같은 한 학기,아동가족학과,학부,2015,/partner/expReport.asp?id=12464&page=2&bgbn=R,1,0.9214535355567932
15,23,University of Eastern Finland - Joensuu campus 에서의 한 학기,정치외교학과,학부,2015,/partner/expReport.asp?id=12417&page=2&bgbn=R,1,0.6849377751350403
16,22,요엔수에서의 한 학기,사학과,학부,2015,/partner/expReport.asp?id=12011&page=2&bgbn=R,1,0.645369291305542
17,21,재미가 쏠쏠한 요엔수,수학과,학부,2014,/partner/expReport.asp?id=8635&page=2&bgbn=R,1,0.9346101880073547
18,20,마음이 차분해지는 한학기,문헌정보학과,학부,2014,/partner/expReport.asp?id=8582&page=2&bgbn=R,1,0.8665603995323181
