,No,제목,학과,과정,년도,href,RNN_SCORE
0,52,ESCE,불어불문학과,학부,2020,/partner/expReport.asp?id=16670&page=1&bgbn=R,0.50729900598526
1,51,ESCE 에서의 한 학기,생활디자인학과,학부,2018,/partner/expReport.asp?id=15933&page=1&bgbn=R,0.731432318687439
2,50,ESCE,문헌정보학과,학부,2018,/partner/expReport.asp?id=15391&page=1&bgbn=R,0.50729900598526
3,49,2018-2 ESCE 생활,불어불문학과,학부,2018,/partner/expReport.asp?id=15304&page=1&bgbn=R,0.47574377059936523
4,48,ESCE,행정학과,학부,2018,/partner/expReport.asp?id=14896&page=1&bgbn=R,0.50729900598526
5,47,ESCE,글로벌인재학부,학부,2018,/partner/expReport.asp?id=14877&page=1&bgbn=R,0.50729900598526
6,46,ESCE,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=14868&page=1&bgbn=R,0.50729900598526
7,45,ESCE,문화디자인경영학과,학부,2017,/partner/expReport.asp?id=14691&page=1&bgbn=R,0.50729900598526
8,44,ESCE Business School에서의 한 학기,불어불문학과,학부,2017,/partner/expReport.asp?id=14682&page=1&bgbn=R,0.6876720190048218
9,43,파리 & ESCE,경영학과,학부,2017,/partner/expReport.asp?id=14670&page=1&bgbn=R,0.6879294514656067
10,42,파리,경영학과,학부,2017,/partner/expReport.asp?id=14625&page=2&bgbn=R,0.7238823175430298
11,41,파리,UIC 문화디자인경영학과,학부,2017,/partner/expReport.asp?id=14578&page=2&bgbn=R,0.7238823175430298
12,40,파리에서 한학기,UIC,학부,2014,/partner/expReport.asp?id=14496&page=2&bgbn=R,0.6461329460144043
13,39,파리 교환학생,경영학과,학부,2017,/partner/expReport.asp?id=14432&page=2&bgbn=R,0.7136441469192505
14,38,파리,경영학과,학부,2017,/partner/expReport.asp?id=14249&page=2&bgbn=R,0.7238823175430298
15,37,ESCE a Paris,정치외교학과,학부,2017,/partner/expReport.asp?id=14173&page=2&bgbn=R,0.515648603439331
16,36,파리에서의 잊지 못 할 교환 생활,문헌정보학과(복수 불어불문),학부,2016-2017,/partner/expReport.asp?id=14115&page=2&bgbn=R,0.903103768825531
