,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,27,파리교환,국제학부,학부,2016-2017,/partner/expReport.asp?id=14118&page=1&bgbn=R,1,0.45222193002700806
1,26,파리에서의 두 학기,불어불문학과,학부,2016-2017,/partner/expReport.asp?id=14066&page=1&bgbn=R,0,0.7848275303840637
2,25,행복했던 파리 생활,문화디자인경영,학부,2016,/partner/expReport.asp?id=13738&page=1&bgbn=R,1,0.9216176271438599
3,24,색다른 경험을 느끼게 해준 파리 교환학생 생활,국제대학 아시아학과,학부,2016,/partner/expReport.asp?id=13113&page=1&bgbn=R,1,0.9195210933685303
4,23,많은 걸 배우게 해준 파리,국제학과,학부,2016,/partner/expReport.asp?id=13061&page=1&bgbn=R,1,0.5867682695388794
5,22,파리에서의 한 학기,문화디자인경영,학부,2015,/partner/expReport.asp?id=12753&page=1&bgbn=R,0,0.7179952263832092
6,21,다시가고싶은파리,경제학과,학부,2015,/partner/expReport.asp?id=12611&page=1&bgbn=R,1,0.5779482126235962
7,20,파리에서의 7개월,국제학,대학원,2015,/partner/expReport.asp?id=12262&page=1&bgbn=R,1,0.7679705023765564
8,19,심심하지만 지루하지 않은 파리,의류환경학과,학부,2014,/partner/expReport.asp?id=7235&page=1&bgbn=R,1,0.8302593231201172
9,18,아 파리 그리운 파리,언더우드국제학과,대학원,2014,/partner/expReport.asp?id=7133&page=1&bgbn=R,0,0.7972152233123779
10,17,파리에서 보낸 한학기,의류환경학과,대학원,2014,/partner/expReport.asp?id=7109&page=2&bgbn=R,1,0.7006086111068726
11,16,Pole ESG에서의 한 학기,언더우드국제대학 경제학,학부,2013,/partner/expReport.asp?id=6938&page=2&bgbn=R,1,0.6468037962913513
12,15,파리에서의 한학기,신문방송학과,학부,2012,/partner/expReport.asp?id=6671&page=2&bgbn=R,1,0.7179952263832092
13,14,"파리에서, 가장 빛날 시기를 보내다",언론홍보영상학부,학부,2013,/partner/expReport.asp?id=6624&page=2&bgbn=R,1,0.8892675042152405
14,13,파리에서의 1년,동아시아국제학부,학부,2012-2013,/partner/expReport.asp?id=6509&page=2&bgbn=R,0,0.7179952263832092
15,12,"파리에서의 생활, 교환학생의 생활",행정학과,학부,2012,/partner/expReport.asp?id=6381&page=2&bgbn=R,1,0.6988292932510376
16,11,1년간의 교환학생 생활을 마치고,의류환경학과,학부,2012,/partner/expReport.asp?id=6305&page=2&bgbn=R,1,0.6538885831832886
17,10,파리에서의 한 학기,언론홍보영상학부,학부,2012,/partner/expReport.asp?id=6219&page=2&bgbn=R,0,0.7179952263832092
18,9,"애증의 도시, 파리",불어불문학과,학부,2012,/partner/expReport.asp?id=6000&page=2&bgbn=R,0,0.7791182994842529
19,8,정말로 소중한 경험,경영학과,학부,2011-2012,/partner/expReport.asp?id=5918&page=2&bgbn=R,1,0.8281940817832947
20,7,파리에서의 소중한 경험,경영학과,학부,2011-2012,/partner/expReport.asp?id=5903&page=3&bgbn=R,1,0.8886975646018982
21,6,파리에서의 10개월,경영학과,학부,2011-2012,/partner/expReport.asp?id=5676&page=3&bgbn=R,1,0.7679705023765564
22,5,파리 사세요. 두번 사세요.,신문방송학과,학부,2011,/partner/expReport.asp?id=5480&page=3&bgbn=R,0,0.8328837752342224
23,4,파리에서의 4개월,불어불문학과,학부,2011,/partner/expReport.asp?id=5387&page=3&bgbn=R,1,0.7679705023765564
24,3,"A Moveable Feast, Paris",언더우드국제대학,학부,2011,/partner/expReport.asp?id=5286&page=3&bgbn=R,0,0.5001710653305054
25,2,je t'aime 파리!,의류환경학과,학부,2010-2011,/partner/expReport.asp?id=4761&page=3&bgbn=R,1,0.594276487827301
26,1,파리에서의 낭만적인 삶....,경제학과,학부,2010,/partner/expReport.asp?id=4252&page=3&bgbn=R,1,0.9600900411605835
