,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,69,프랑스 isc에서의 4개월,문헌정보학과,학부,2019,/partner/expReport.asp?id=16205&page=1&bgbn=R,0,0.7610080242156982
1,68,불란서 탐방기,영어영문학과,학부,2019년,/partner/expReport.asp?id=16185&page=1&bgbn=R,1,0.20303034782409668
2,67,파리에서의 1년,불어불문학과,학부,2018-2019,/partner/expReport.asp?id=16139&page=1&bgbn=R,0,0.7179952263832092
3,66,잊지못할 교환생활을 떠올리며,불어불문학과,학부,2019,/partner/expReport.asp?id=15977&page=1&bgbn=R,0,0.9310089945793152
4,65,파리에서의 6개월,의류환경학과,학부,2018-1,/partner/expReport.asp?id=15952&page=1&bgbn=R,1,0.7679705023765564
5,64,ISC PARIS에서의 6개월,의류환경학과,학부,2019,/partner/expReport.asp?id=15813&page=1&bgbn=R,1,0.7406201958656311
6,63,isc 에서의 1년,영어영문학과,학부,2018-2019,/partner/expReport.asp?id=15657&page=1&bgbn=R,0,0.645369291305542
7,62,ISC Paris 파견 경험보고서,정치외교학과,학부,2018,/partner/expReport.asp?id=15285&page=1&bgbn=R,0,0.6099135279655457
8,61,"다시 돌아가고 싶은 ISC Paris, 프랑스 파리!",의류환경학과,학부,2017,/partner/expReport.asp?id=14716&page=1&bgbn=R,1,0.8851504325866699
9,60,ISC PARIS,정치외교학과,학부,2017,/partner/expReport.asp?id=14134&page=1&bgbn=R,1,0.48335328698158264
10,59,ISC PARIS,경영학과,학부,2015,/partner/expReport.asp?id=13361&page=2&bgbn=R,1,0.48335328698158264
11,58,ISC Paris,국제학과,학부,2015,/partner/expReport.asp?id=12036&page=2&bgbn=R,0,0.48335328698158264
12,57,ISC Paris,경영학과,학부,2015,/partner/expReport.asp?id=11976&page=2&bgbn=R,0,0.48335328698158264
13,56,ISC Paris,언더우드 국제학부,학부,2014,/partner/expReport.asp?id=11800&page=2&bgbn=R,0,0.48335328698158264
14,55,"Paris, comment puis-je definir l'amour sans toi!",Asian Studies,학부,2014,/partner/expReport.asp?id=10670&page=2&bgbn=R,1,0.5975415706634521
15,54,매력적이었던 파리,신문방송학과,학부,2014,/partner/expReport.asp?id=7130&page=2&bgbn=R,1,0.8856691122055054
16,53,ISC Paris,문화디자인경영,학부,2013-2014,/partner/expReport.asp?id=7129&page=2&bgbn=R,0,0.48335328698158264
17,52,ISC Paris,실내건축학과,학부,2012,/partner/expReport.asp?id=7123&page=2&bgbn=R,0,0.48335328698158264
18,51,ISC Paris,실내건축학과,학부,2012,/partner/expReport.asp?id=7122&page=2&bgbn=R,0,0.48335328698158264
19,50,ISC Paris,실내건축학과,학부,2012,/partner/expReport.asp?id=7121&page=2&bgbn=R,0,0.48335328698158264
20,49,ISC에서 한 학기,불어불문학과,학부,2013,/partner/expReport.asp?id=7107&page=3&bgbn=R,0,0.4195614159107208
21,48,ISC Paris,경영학과,학부,2013,/partner/expReport.asp?id=6899&page=3&bgbn=R,0,0.48335328698158264
22,47,ISC Paris,사학과,학부,2013,/partner/expReport.asp?id=6864&page=3&bgbn=R,0,0.48335328698158264
23,46,ISC와 함께하여 더 행복했던 Paris에서의 날들,사학과,학부,2013,/partner/expReport.asp?id=6753&page=3&bgbn=R,1,0.8137676119804382
24,45,"파리, 가장 아름다웠던 나날들",언더우드국제학부,학부,2012,/partner/expReport.asp?id=6524&page=3&bgbn=R,1,0.9326230883598328
25,44,추억의 파리,경영학과,학부,2012,/partner/expReport.asp?id=6376&page=3&bgbn=R,1,0.8704112768173218
26,43,파리에서의 소중한 1년,언론홍보영상학부,학부,2010,/partner/expReport.asp?id=6341&page=3&bgbn=R,0,0.8675088882446289
27,42,즐거웠던 교환학생 생활,경영학과,학부,2012,/partner/expReport.asp?id=6325&page=3&bgbn=R,0,0.8893452882766724
28,41,더 좋아진 학교 주변,경영학과,학부,2012,/partner/expReport.asp?id=6295&page=3&bgbn=R,1,0.6616467833518982
29,40,빠리에서의 행복했던 한 학기,신문방송학과,학부,2012,/partner/expReport.asp?id=6152&page=3&bgbn=R,1,0.8466684222221375
30,39,ISC에서의 한 학기.,경영학과,학부,2012,/partner/expReport.asp?id=6108&page=4&bgbn=R,0,0.724786639213562
31,38,파리.다시 만날 것을 기약하며!,의류환경학과,학부,2011-2012,/partner/expReport.asp?id=5968&page=4&bgbn=R,1,0.829079806804657
32,37,ESP경험보고서,불어불문,학부,2011,/partner/expReport.asp?id=5936&page=4&bgbn=R,0,0.6353806853294373
33,36,파리에서의 즐거웠던 한 학기,신문방송학과,학부,2012,/partner/expReport.asp?id=5648&page=4&bgbn=R,1,0.9258395433425903
34,35,파리,국어국문학,학부,2011,/partner/expReport.asp?id=5546&page=4&bgbn=R,0,0.5758985280990601
35,34,"Au revoir, Paris !!",신소재공학과,학부,2011,/partner/expReport.asp?id=5467&page=4&bgbn=R,1,0.5001710653305054
36,33,낭만의 도시 파리에서의 한학기 :-),행정학과,학부,2011,/partner/expReport.asp?id=5461&page=4&bgbn=R,1,0.880037784576416
37,32,ISC PARIS,경제학과,학부,2011,/partner/expReport.asp?id=5325&page=4&bgbn=R,1,0.48335328698158264
38,31,"ISC Paris, School of Management",경영학과,학부,2011,/partner/expReport.asp?id=5282&page=4&bgbn=R,1,0.5123643279075623
39,30,ISC Paris,경영학과,학부,2007-2008,/partner/expReport.asp?id=5193&page=4&bgbn=R,0,0.48335328698158264
40,29,ISC Paris,경영학과,학부,2010-2011,/partner/expReport.asp?id=5191&page=5&bgbn=R,0,0.48335328698158264
41,28,Paris-ISC,국제학,학부,2010,/partner/expReport.asp?id=5136&page=5&bgbn=R,0,0.4831991493701935
42,27,Paris-ISC,국제학부,학부,2010,/partner/expReport.asp?id=5069&page=5&bgbn=R,0,0.4831991493701935
43,26,"파리, 쥬뗌므.",불어불문학과,학부,2010-2011,/partner/expReport.asp?id=4691&page=5&bgbn=R,0,0.6198962330818176
44,25,파리에서의1년,의류환경,학부,2009-2010,/partner/expReport.asp?id=4499&page=5&bgbn=R,0,0.7179952263832092
45,24,ISC PARIS,경영학과,학부,2009,/partner/expReport.asp?id=4420&page=5&bgbn=R,1,0.48335328698158264
46,23,ISC Paris,경제학과,학부,2009,/partner/expReport.asp?id=4344&page=5&bgbn=R,0,0.48335328698158264
47,22,Paris-ISC,UIC 경제학과,학부,2009,/partner/expReport.asp?id=4308&page=5&bgbn=R,0,0.4831991493701935
48,21,ISC paris,불어불문학과,학부,2009,/partner/expReport.asp?id=4211&page=5&bgbn=R,1,0.48335328698158264
49,20,ISC Paris 에서의 1년,불어불문학과,학부,2009-2010,/partner/expReport.asp?id=4169&page=5&bgbn=R,0,0.6468037962913513
50,19,ISC PARIS,행정학과,학부,2009,/partner/expReport.asp?id=4168&page=6&bgbn=R,1,0.48335328698158264
51,18,ISC Paris,언론홍보영상학부,학부,2009,/partner/expReport.asp?id=4095&page=6&bgbn=R,0,0.48335328698158264
52,17,ISC Paris,경영학과,학부,2009,/partner/expReport.asp?id=3917&page=6&bgbn=R,0,0.48335328698158264
53,16,ISC paris,불어불문학과,학부,2008-2009,/partner/expReport.asp?id=3887&page=6&bgbn=R,1,0.48335328698158264
54,15,ISC Paris!,응용통계학과,학부,2008-2009,/partner/expReport.asp?id=3719&page=6&bgbn=R,1,0.4831991493701935
55,14,ISC Paris,경영학과,학부,2008-2009,/partner/expReport.asp?id=3709&page=6&bgbn=R,0,0.48335328698158264
56,13,ISC 파견 보고서,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3586&page=6&bgbn=R,1,0.5819611549377441
57,12,ISC,경영학과,학부,2008,/partner/expReport.asp?id=3353&page=6&bgbn=R,0,0.47254469990730286
58,11,"파리, 제대로 보기.",불어불문학과,학부,2007-2008,/partner/expReport.asp?id=3273&page=6&bgbn=R,0,0.6312428712844849
59,10,"6개월 간의 잊지 못할 추억, 파리^^",영어영문학과,학부,2007,/partner/expReport.asp?id=3187&page=6&bgbn=R,1,0.9681174755096436
60,9,사랑하는 Paris,"불어불문학과, 경영학과",학부,2007,/partner/expReport.asp?id=3181&page=7&bgbn=R,1,0.8896722197532654
61,8,"모든 것이 풍성했던 곳, 파리.",경영학과,학부,2007,/partner/expReport.asp?id=2775&page=7&bgbn=R,1,0.7017656564712524
62,7,매력적인 도시 빠리,생활디자인,학부,2006-2007,/partner/expReport.asp?id=2720&page=7&bgbn=R,1,0.8291652202606201
63,6,즐거웠던 파리생활!,경영학과,학부,2007,/partner/expReport.asp?id=2655&page=7&bgbn=R,1,0.9264733195304871
64,5,"Paris, Je T'Aime",경영학과,학부,2006-2007,/partner/expReport.asp?id=2620&page=7&bgbn=R,1,0.5123643279075623
65,4,파리에서의 1년,불어불문학과,학부,2006,/partner/expReport.asp?id=2347&page=7&bgbn=R,0,0.7179952263832092
66,3,ISC,경영학과,학부,2005-2006,/partner/expReport.asp?id=2155&page=7&bgbn=R,0,0.47254469990730286
67,2,ISC Paris,경영학과,학부,2006,/partner/expReport.asp?id=2075&page=7&bgbn=R,0,0.48335328698158264
68,1,파리 문화를 제대로 느낄 수 있는 곳!,불어불문,학부,2005,/partner/expReport.asp?id=1984&page=7&bgbn=R,1,0.9318172931671143
