,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,11,파리에서의 짧지만 즐거웠던 추억,의류환경학과,학부,2020,/partner/expReport.asp?id=16686&page=1&bgbn=R,1,0.9869940280914307
1,10,PSB에서 한학기,에너지환경공학과,학부,2020,/partner/expReport.asp?id=16560&page=1&bgbn=R,1,0.469870924949646
2,9,PSB 에서의 한 학기!,정보인터랙션디자인학과,학부,2018,/partner/expReport.asp?id=16480&page=1&bgbn=R,1,0.7415863871574402
3,8,평생 가져갈 인생의 자산,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=15464&page=1&bgbn=R,1,0.7805240154266357
4,7,파리에서 1년,국제통상전공,학부,2018,/partner/expReport.asp?id=15262&page=1&bgbn=R,0,0.6461329460144043
5,6,파리에서 보낸 1년,불어불문학과,학부,2017-2018,/partner/expReport.asp?id=15068&page=1&bgbn=R,0,0.772162675857544
6,5,프랑스 파리 교환학생,경제학과,학부,2017,/partner/expReport.asp?id=14647&page=1&bgbn=R,0,0.7113202810287476
7,4,파리에서의 일년,테크노아트학과,학부,2017-2018,/partner/expReport.asp?id=14613&page=1&bgbn=R,1,0.7966955900192261
8,3,파리에서의 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=14391&page=1&bgbn=R,1,0.7871429920196533
9,2,파리 교환학생 너무너무너무 좋았어요...! 호불호 심한 파리는 저에게 완전 호!!!!!,의류환경학과,학부,2017,/partner/expReport.asp?id=14047&page=1&bgbn=R,1,0.8707798719406128
10,1,애증의 도시 파리,정치외교학과,학부,2017,/partner/expReport.asp?id=13907&page=2&bgbn=R,1,0.7235382795333862
