,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,89,셰필드에서의 1학기,나노과학공학과,학부,2019-2020,/partner/expReport.asp?id=16679&page=1&bgbn=R,1,0.7415863871574402
1,88,아쉬웠던 조기귀국과 사이버교환생활,언론홍보영상학부,학부,2020,/partner/expReport.asp?id=16677&page=1&bgbn=R,0,0.6532359719276428
2,87,행복했던 교환생활,영어영문학과,학부,2019-2020,/partner/expReport.asp?id=16581&page=1&bgbn=R,1,0.8080487847328186
3,86,언제나 그리운 Sheffield에서의 한 학기,영어영문학과,학부,2018,/partner/expReport.asp?id=16452&page=1&bgbn=R,0,0.8888576030731201
4,85,환상만 품고 떠나기에는 준비할 것들이 많다.,국어국문학과,학부,2019-2020,/partner/expReport.asp?id=16447&page=1&bgbn=R,0,0.8188750743865967
5,84,Sheffield 에서의 잊지못할 한학기를 보내고,영어영문학과,학부,2019-2020,/partner/expReport.asp?id=16415&page=1&bgbn=R,1,0.9649190306663513
6,83,잊지 못할 셰필드에서의 가을학기,영어영문학과,학부,2019-2020,/partner/expReport.asp?id=16404&page=1&bgbn=R,1,0.9236726760864258
7,82,Sheffield에서 즐거웠던 한 학기,영어영문학과,학부,2019-2020,/partner/expReport.asp?id=16378&page=1&bgbn=R,0,0.8267647624015808
8,81,너무나 빨리 흘러간 셰필드에서의 한 학기,경제학과,학부,2019,/partner/expReport.asp?id=16322&page=1&bgbn=R,0,0.8312594890594482
9,80,셰필드에서의 여유로운 생활,영어영문학과,학부,2019,/partner/expReport.asp?id=15945&page=1&bgbn=R,1,0.8587908744812012
10,79,셰필드에서의 가을학기,화공생명공학과,학부,2017-2018,/partner/expReport.asp?id=15928&page=2&bgbn=R,1,0.8365696668624878
11,78,셰필드대학교 교환학생(19-1),경제학과,학부,2019,/partner/expReport.asp?id=15850&page=2&bgbn=R,0,0.6528607606887817
12,77,University of Sheffield,UIC 국제학과,학부,2018-2019,/partner/expReport.asp?id=15677&page=2&bgbn=R,1,0.515648603439331
13,76,A semester in Sheffield,국제대-정치외교학과,학부,2019,/partner/expReport.asp?id=15574&page=2&bgbn=R,1,0.5123575925827026
14,75,행복했던 셰필드 대학에서의 한 학기,심리학과,학부,2018,/partner/expReport.asp?id=15525&page=2&bgbn=R,1,0.8799424171447754
15,74,셰필드에서 보낸 가을학기,경제학부,학부,2018-2019,/partner/expReport.asp?id=15405&page=2&bgbn=R,1,0.7381607890129089
16,73,영국에서 한 학기,생명공학과,학부,2018-2019,/partner/expReport.asp?id=15383&page=2&bgbn=R,1,0.49893462657928467
17,72,University of Sheffield에서의 한 학기,영어영문학과,학부,2017,/partner/expReport.asp?id=15164&page=2&bgbn=R,1,0.6876720190048218
18,71,아름다운 셰필드에서의 봄학기,정치외교,학부,2018,/partner/expReport.asp?id=15162&page=2&bgbn=R,1,0.9084117412567139
19,70,셰필드에서의 가을학기,국제학과,학부,2017-2018,/partner/expReport.asp?id=15078&page=2&bgbn=R,1,0.8365696668624878
20,69,Sheffield University 2018 Spring Semester,Economics,학부,2018,/partner/expReport.asp?id=15067&page=3&bgbn=R,1,0.5122702717781067
21,68,University of Sheffield 가을학기,시스템생물학과,학부,2017-2018,/partner/expReport.asp?id=14534&page=3&bgbn=R,1,0.6846463680267334
22,67,Life in Sheffield,아시아학부,학부,2016,/partner/expReport.asp?id=14294&page=3&bgbn=R,1,0.515648603439331
23,66,잊지 못 할 셰필드에서의 값진 경험,경영학과,학부,2016-2017,/partner/expReport.asp?id=14284&page=3&bgbn=R,1,0.9506981372833252
24,65,University of Sheffield,경제학과,학부,2017,/partner/expReport.asp?id=14257&page=3&bgbn=R,1,0.515648603439331
25,64,"University of Sheffield, what a experience",사회학과,학부,2017,/partner/expReport.asp?id=14206&page=3&bgbn=R,1,0.5163494348526001
26,63,낯설면서 익숙한 Sheffield라는 도시에서의 한학기,경영학과,학부,2017,/partner/expReport.asp?id=14205&page=3&bgbn=R,1,0.8264293670654297
27,62,셰필드대학교에서의 한학기,사학과,학부,2017,/partner/expReport.asp?id=14083&page=3&bgbn=R,1,0.7504055500030518
28,61,University of Sheffield,UIC Information and Interaction Design Major,학부,2017,/partner/expReport.asp?id=14056&page=3&bgbn=R,1,0.515648603439331
29,60,sheffield에서 한학기,사학과,학부,2016,/partner/expReport.asp?id=13886&page=3&bgbn=R,1,0.469870924949646
30,59,셰필드에서 한학기,사회복지학과,학부,2016,/partner/expReport.asp?id=13820&page=4&bgbn=R,1,0.469870924949646
31,58,셰필드에서 한 학기,행정학과,학부,2016-2017,/partner/expReport.asp?id=13761&page=4&bgbn=R,1,0.469870924949646
32,57,University of Sheffield,생활디자인학과,학부,2016,/partner/expReport.asp?id=13758&page=4&bgbn=R,1,0.515648603439331
33,56,University of Sheffield 교환학생 경험보고서,영어영문학과,학부,2015-2016,/partner/expReport.asp?id=13657&page=4&bgbn=R,0,0.6532838344573975
34,55,Sheffield에서의 한 학기,영어영문학과,학부,2016,/partner/expReport.asp?id=13396&page=4&bgbn=R,1,0.731432318687439
35,54,셰필드에서의 한 학기,영어영문학과,학부,2016,/partner/expReport.asp?id=13394&page=4&bgbn=R,1,0.731432318687439
36,53,대학 생활 중 가장 뜻 깊었던 시간,국제학부 국제학,학부,2015-2016,/partner/expReport.asp?id=13393&page=4&bgbn=R,1,0.901665449142456
37,52,셰필드 교환학생,국어국문학과,학부,2016,/partner/expReport.asp?id=13352&page=4&bgbn=R,0,0.5230967998504639
38,51,셰필드대학교에서의 한 학기,영어영문학과,학부,2016,/partner/expReport.asp?id=13260&page=4&bgbn=R,1,0.7504055500030518
39,50,University of Sheffield,경영학과,학부,2014,/partner/expReport.asp?id=12872&page=4&bgbn=R,1,0.515648603439331
40,49,대학도시에서의 한 학기,불어불문학과/사회학과,학부,2015,/partner/expReport.asp?id=12235&page=5&bgbn=R,1,0.731432318687439
41,48,참 좋았던 세필드,아시아학과,학부,2015,/partner/expReport.asp?id=12175&page=5&bgbn=R,1,0.705222487449646
42,47,여유로운 셰필드에서의 한 학기,경제학과,학부,2015,/partner/expReport.asp?id=12154&page=5&bgbn=R,1,0.850849986076355
43,46,잊지 못할 한학기,국제학부 경제학과,학부,2014,/partner/expReport.asp?id=11826&page=5&bgbn=R,1,0.8669974207878113
44,45,Experiences at Sheffield,국제학부,학부,2014,/partner/expReport.asp?id=7445&page=5&bgbn=R,1,0.515648603439331
45,44,Sheffield에서의 한 학기,심리학과,학부,2014,/partner/expReport.asp?id=7358&page=5&bgbn=R,1,0.731432318687439
46,43,벌써 그리운 셰필드...,경영학과,학부,2014,/partner/expReport.asp?id=7357&page=5&bgbn=R,1,0.8332546949386597
47,42,셰필드 교환생활,경영학과,학부,2013,/partner/expReport.asp?id=6667&page=5&bgbn=R,0,0.4847922921180725
48,41,셰필드에서 한 학기,경제학과,학부,2013,/partner/expReport.asp?id=6484&page=5&bgbn=R,1,0.469870924949646
49,40,University of Sheffield 에서의 1년,경영학과,학부,2012-2013,/partner/expReport.asp?id=6435&page=5&bgbn=R,1,0.6876720190048218
50,39,University of Sheffield,경영학과,학부,2013,/partner/expReport.asp?id=6396&page=6&bgbn=R,1,0.515648603439331
51,38,University of Sheffield,경영학과,학부,2012,/partner/expReport.asp?id=6275&page=6&bgbn=R,1,0.515648603439331
52,37,2012 가을학기 in Sheffield,언더우드국제학부,학부,2012,/partner/expReport.asp?id=6236&page=6&bgbn=R,1,0.6782628297805786
53,36,Exchange to the University of Sheffield in ENGLISH,언더우드국제학부,학부,2012,/partner/expReport.asp?id=6235&page=6&bgbn=R,1,0.5188660621643066
54,35,Sheffield Uni.에서의 한 학기,의류환경학과,학부,2012,/partner/expReport.asp?id=6134&page=6&bgbn=R,1,0.6876720190048218
55,34,셰필드 대학에서의 1년,경제학과,학부,2012,/partner/expReport.asp?id=6097&page=6&bgbn=R,1,0.7197685837745667
56,33,여유가 넘치는 Sheffield,영어영문학과,학부,2011-2012,/partner/expReport.asp?id=5893&page=6&bgbn=R,1,0.8271811008453369
57,32,아름다운 잉글랜드 북부에서의 생활하기,정치외교학과,학부,2012,/partner/expReport.asp?id=5862&page=6&bgbn=R,1,0.8243204355239868
58,31,소중한 쉼표 Sheffield University,경영학과,학부,2011-2012,/partner/expReport.asp?id=5853&page=6&bgbn=R,1,0.6373759508132935
59,30,셰필드에서의 한학기,경영학과,학부,2012,/partner/expReport.asp?id=5740&page=6&bgbn=R,1,0.731432318687439
60,29,"녹색의 낭만, 셰필드",경영학과,학부,2011-2012,/partner/expReport.asp?id=5711&page=7&bgbn=R,1,0.7605078220367432
61,28,University of Sheffield,화공생명공학과,학부,2012,/partner/expReport.asp?id=5693&page=7&bgbn=R,1,0.515648603439331
62,27,지금도 그리운 셰필드,영어영문학과,학부,2011,/partner/expReport.asp?id=5512&page=7&bgbn=R,1,0.8788460493087769
63,26,셰필드에서의 1년을 마치고,이과대학 화학과,학부,2011,/partner/expReport.asp?id=5442&page=7&bgbn=R,1,0.7060657739639282
64,25,셰필드에서의 일년,공과대학 건축공학과,학부,2010,/partner/expReport.asp?id=5145&page=7&bgbn=R,1,0.727751612663269
65,24,University of Sheffield,정치외교학과,학부,2011,/partner/expReport.asp?id=5103&page=7&bgbn=R,1,0.515648603439331
66,23,셰필드대학교^^*,정치외교학과,학부,2010-2011,/partner/expReport.asp?id=5013&page=7&bgbn=R,1,0.6642212867736816
67,22,The University of Sheffield!,언더우드국제학부 (UIC),학부,2010-2011,/partner/expReport.asp?id=4867&page=7&bgbn=R,1,0.5122702717781067
68,21,Uni Shef에서의 교환학생 생활,수학과,학부,2009-2010,/partner/expReport.asp?id=4531&page=7&bgbn=R,0,0.6846002340316772
69,20,셰필드 대학교 정보,경영학과,학부,2010,/partner/expReport.asp?id=4516&page=7&bgbn=R,1,0.538530707359314
70,19,쉐필드에서의 1년,경영학과,학부,2009-2010,/partner/expReport.asp?id=4364&page=8&bgbn=R,0,0.731432318687439
71,18,언제나 맑은 셰필드,영어영문학과,학부,2009,/partner/expReport.asp?id=4123&page=8&bgbn=R,1,0.9034144878387451
72,17,University of Sheffield,사학/신문방송학,학부,2009,/partner/expReport.asp?id=3679&page=8&bgbn=R,1,0.515648603439331
73,16,두드리면 열릴 것입니다.,신문방송학과,학부,2007-2008,/partner/expReport.asp?id=3229&page=8&bgbn=R,1,0.4988628029823303
74,15,University of Sheffield,영어영문학,학부,2007-2008,/partner/expReport.asp?id=3152&page=8&bgbn=R,1,0.515648603439331
75,14,1년간의 교환학생 생활,컴퓨터 산업공학과,학부,2006-2007,/partner/expReport.asp?id=2729&page=8&bgbn=R,0,0.6429280042648315
76,13,University of Sheffield,경영학과,학부,2006-2007,/partner/expReport.asp?id=2622&page=8&bgbn=R,1,0.515648603439331
77,12,느긋한 흐름의 도시에서,사학과,학부,2005-2006,/partner/expReport.asp?id=2570&page=8&bgbn=R,0,0.34111571311950684
78,11,University of Sheffield,경영학과,학부,2005-2006,/partner/expReport.asp?id=2085&page=8&bgbn=R,1,0.515648603439331
79,10,University of Sheffield,사학과,학부,2004-5,/partner/expReport.asp?id=1686&page=8&bgbn=R,1,0.515648603439331
80,9,The Univ. of Sheffield,영어영문학전공,학부,2003-2004,/partner/expReport.asp?id=1274&page=9&bgbn=R,1,0.5122702717781067
81,8,U of Sheffield,경영학전공,학부,2003-2004,/partner/expReport.asp?id=1272&page=9&bgbn=R,1,0.515648603439331
82,7,넓은 세계와 진솔한 자기 자신을 만날 수 있었던 시간,사회학전공,학부,2002-2003,/partner/expReport.asp?id=943&page=9&bgbn=R,1,0.5328177809715271
