,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,25,영국의 한가로움을 담뿍 담음 UH,사회과학대학 언론홍보영상학부,학부,2019,/partner/expReport.asp?id=16528&page=1&bgbn=R,1,0.6647208333015442
1,24,허트포드셔와 런던에서의 1년,사회과학대학 언론홍보영상학부,학부,2019,/partner/expReport.asp?id=16367&page=1&bgbn=R,1,0.7060401439666748
2,23,나를 돌아보는 시간,경영,학부,2019-2,/partner/expReport.asp?id=16311&page=1&bgbn=R,1,0.9422490000724792
3,22,하트포트셔 교환학기 파견경험보고서,언더우드국제대학 계량위험관리학,학부,2019,/partner/expReport.asp?id=15868&page=1&bgbn=R,0,0.7584912776947021
4,21,요양과 여행과 공부하기 좋은 곳 허트포드셔,정치외교학과,학부,2019,/partner/expReport.asp?id=15642&page=1&bgbn=R,1,0.7667855620384216
5,20,런던 근교 도시에서의 가을,사학과,학부,2018-2,/partner/expReport.asp?id=15476&page=1&bgbn=R,1,0.8769795298576355
6,19,런던외곽에서의 평화로운 교환생활,언론홍보영상학부,학부,2018-2,/partner/expReport.asp?id=15363&page=1&bgbn=R,1,0.7757709622383118
7,18,University of Hertfordshire 에서의 사계절,UIC HASS CDM,학부,2018,/partner/expReport.asp?id=15272&page=1&bgbn=R,0,0.6529819965362549
8,17,"넘치는 여유와 행복 , 햇필드",언더우드학부 경제학과,학부,2018,/partner/expReport.asp?id=15221&page=1&bgbn=R,1,0.9282529354095459
9,16,꿈과 같은 영국에서의 한 학기,아동가족학과,학부,2017-2,/partner/expReport.asp?id=14662&page=1&bgbn=R,0,0.8881974816322327
10,15,UH에서의 한 학기,언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14652&page=2&bgbn=R,1,0.645369291305542
11,14,너무 좋았던 UH에서의 한학기,기계공학과,학부,2017-2,/partner/expReport.asp?id=14567&page=2&bgbn=R,1,0.8722124695777893
12,13,허트포드셔에서의 충분했던 한 학기,영어영문학과,학부,2017-1,/partner/expReport.asp?id=14052&page=2&bgbn=R,1,0.8385937213897705
13,12,uh에서의 한 학기,실내건축학과,학부,2016,/partner/expReport.asp?id=13762&page=2&bgbn=R,1,0.645369291305542
14,11,Hatfield에서 보낸 한 학기,사학과,학부,2016,/partner/expReport.asp?id=13652&page=2&bgbn=R,0,0.5509714484214783
15,10,University of Hertfordshire에서의 한 학기,언론홍보영상학부,대학원,2016,/partner/expReport.asp?id=13079&page=2&bgbn=R,1,0.6529819965362549
16,9,Hertfordshire에서 보낸 한 학기,영어영문학과,학부,2016,/partner/expReport.asp?id=12942&page=2&bgbn=R,1,0.5509714484214783
17,8,UH에서의 한 학기,영어영문학과,학부,2015,/partner/expReport.asp?id=12239&page=2&bgbn=R,1,0.645369291305542
18,7,University of Hertfordshire에서의 교환학생,신문방송학과,학부,2015,/partner/expReport.asp?id=12000&page=2&bgbn=R,0,0.6529819965362549
19,6,Hatfield에서 한 학기 보내기,신학과,학부,2013,/partner/expReport.asp?id=7363&page=2&bgbn=R,0,0.542679488658905
20,5,영국에서의 1년,경영학과,학부,2013,/partner/expReport.asp?id=7362&page=3&bgbn=R,0,0.6354957818984985
21,4,UH 파견 경험보고서,영어영문학과,학부,2014,/partner/expReport.asp?id=7356&page=3&bgbn=R,0,0.6136277318000793
22,3,University of Hertfordshire에서의 6개월을 보낸 학생으로부터의 팁,언더우드 국제대학 경제학과,학부,2014,/partner/expReport.asp?id=7277&page=3&bgbn=R,1,0.790714681148529
23,2,hertfordshire에서의 한학기,신문방송학과,학부,2013-2014,/partner/expReport.asp?id=7022&page=3&bgbn=R,1,0.645369291305542
24,1,영국에서의 일 년,국어국문학과,학부,2013,/partner/expReport.asp?id=7018&page=3&bgbn=R,1,0.5846816301345825
