,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,24,"아주 특별한 교환 생활, 더블린",언론홍보영상학,학부,2018,/partner/expReport.asp?id=15396&page=1&bgbn=R,0,0.7008650898933411
1,23,더블린에서의 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=14617&page=1&bgbn=R,1,0.645369291305542
2,22,더블린에서의 한학기,경영대학,학부,2016,/partner/expReport.asp?id=13308&page=1&bgbn=R,1,0.645369291305542
3,21,즐거웠던만큼 아쉬웠던 시간,경영학과,학부,2015,/partner/expReport.asp?id=12807&page=1&bgbn=R,0,0.8288651704788208
4,20,즐거웠던 DIT의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12796&page=1&bgbn=R,1,0.8983286023139954
5,19,"돌아가고 싶은 그 곳, DIT",경영학과,학부,2015,/partner/expReport.asp?id=12120&page=1&bgbn=R,1,0.8473507165908813
6,18,"작지만 참 큰 나라, 아일랜드에서의 한 학기",경영학과,학부,2015,/partner/expReport.asp?id=12071&page=1&bgbn=R,1,0.6196469664573669
7,17,"마음 속 제2의 고향 더블린, 그리고 DIT",스포츠레저학과,학부,2014,/partner/expReport.asp?id=12025&page=1&bgbn=R,1,0.7412886619567871
8,16,DIT에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=10772&page=1&bgbn=R,1,0.645369291305542
9,15,"짧지만 강했던 기억들, DIT",상경대학 경제학과,학부,2013,/partner/expReport.asp?id=6933&page=1&bgbn=R,1,0.8405647277832031
10,14,DIT에서의 아련한 기억,경영학과,학부,2013,/partner/expReport.asp?id=6763&page=2&bgbn=R,1,0.9557346105575562
11,13,아일랜드에서의 교환학생,경영학부,학부,2013,/partner/expReport.asp?id=6354&page=2&bgbn=R,1,0.5606155395507812
12,12,매력적인도시 더블린에서의 소중한 한학기 !,경제학/의류환경학,학부,2012-2013,/partner/expReport.asp?id=6254&page=2&bgbn=R,1,0.9385414123535156
13,11,DIT in Ireland.,영어영문학과/경영학과,학부,2012-2013,/partner/expReport.asp?id=6186&page=2&bgbn=R,1,0.4899306297302246
14,10,더블린에서의 한 학기,경영학과,학부,2012,/partner/expReport.asp?id=5906&page=2&bgbn=R,1,0.645369291305542
15,9,"아일랜드, 더블린",화공생명공학과,학부,2012,/partner/expReport.asp?id=5775&page=2&bgbn=R,0,0.37127119302749634
16,8,더블린,영어영문학과,학부,2012,/partner/expReport.asp?id=5741&page=2&bgbn=R,1,0.47254469990730286
17,7,Dublin에서의 일년,경영학과,학부,2010-2011,/partner/expReport.asp?id=4975&page=2&bgbn=R,0,0.6775053143501282
18,6,DIT에서의 한 학기,생물학,학부,2010,/partner/expReport.asp?id=4739&page=2&bgbn=R,0,0.645369291305542
19,5,더블린에서의 한학기,경영학과,학부,2010,/partner/expReport.asp?id=4719&page=2&bgbn=R,1,0.645369291305542
20,4,여유로운 아일랜드에서의 한 학기,경영학과,학부,2010,/partner/expReport.asp?id=4606&page=3&bgbn=R,1,0.8539182543754578
21,3,"초록의 땅, 아일랜드",사학,학부,2008-2009,/partner/expReport.asp?id=3765&page=3&bgbn=R,1,0.6941817402839661
22,2,이국땅에서의 생활,경영학과,학부,2008-2009,/partner/expReport.asp?id=3627&page=3&bgbn=R,1,0.6444820761680603
23,1,더블린에서의 1년,경영학과,학부,2007,/partner/expReport.asp?id=3036&page=3&bgbn=R,0,0.645369291305542
