,No,제목,학과,과정,년도,href,RNN_SCORE
0,24,"아주 특별한 교환 생활, 더블린",언론홍보영상학,학부,2018,/partner/expReport.asp?id=15396&page=1&bgbn=R,0.7235446572303772
1,23,더블린에서의 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=14617&page=1&bgbn=R,0.731432318687439
2,22,더블린에서의 한학기,경영대학,학부,2016,/partner/expReport.asp?id=13308&page=1&bgbn=R,0.731432318687439
3,21,즐거웠던만큼 아쉬웠던 시간,경영학과,학부,2015,/partner/expReport.asp?id=12807&page=1&bgbn=R,0.7946128845214844
4,20,즐거웠던 DIT의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12796&page=1&bgbn=R,0.8958421945571899
5,19,"돌아가고 싶은 그 곳, DIT",경영학과,학부,2015,/partner/expReport.asp?id=12120&page=1&bgbn=R,0.8375556468963623
6,18,"작지만 참 큰 나라, 아일랜드에서의 한 학기",경영학과,학부,2015,/partner/expReport.asp?id=12071&page=1&bgbn=R,0.677821934223175
7,17,"마음 속 제2의 고향 더블린, 그리고 DIT",스포츠레저학과,학부,2014,/partner/expReport.asp?id=12025&page=1&bgbn=R,0.7765403389930725
8,16,DIT에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=10772&page=1&bgbn=R,0.731432318687439
9,15,"짧지만 강했던 기억들, DIT",상경대학 경제학과,학부,2013,/partner/expReport.asp?id=6933&page=1&bgbn=R,0.848984956741333
10,14,DIT에서의 아련한 기억,경영학과,학부,2013,/partner/expReport.asp?id=6763&page=2&bgbn=R,0.9813253879547119
11,13,아일랜드에서의 교환학생,경영학부,학부,2013,/partner/expReport.asp?id=6354&page=2&bgbn=R,0.669170081615448
12,12,매력적인도시 더블린에서의 소중한 한학기 !,경제학/의류환경학,학부,2012-2013,/partner/expReport.asp?id=6254&page=2&bgbn=R,0.9175102710723877
13,11,DIT in Ireland.,영어영문학과/경영학과,학부,2012-2013,/partner/expReport.asp?id=6186&page=2&bgbn=R,0.5123575925827026
14,10,더블린에서의 한 학기,경영학과,학부,2012,/partner/expReport.asp?id=5906&page=2&bgbn=R,0.731432318687439
15,9,"아일랜드, 더블린",화공생명공학과,학부,2012,/partner/expReport.asp?id=5775&page=2&bgbn=R,0.3398163318634033
16,8,더블린,영어영문학과,학부,2012,/partner/expReport.asp?id=5741&page=2&bgbn=R,0.50729900598526
17,7,Dublin에서의 일년,경영학과,학부,2010-2011,/partner/expReport.asp?id=4975&page=2&bgbn=R,0.727751612663269
18,6,DIT에서의 한 학기,생물학,학부,2010,/partner/expReport.asp?id=4739&page=2&bgbn=R,0.731432318687439
19,5,더블린에서의 한학기,경영학과,학부,2010,/partner/expReport.asp?id=4719&page=2&bgbn=R,0.731432318687439
20,4,여유로운 아일랜드에서의 한 학기,경영학과,학부,2010,/partner/expReport.asp?id=4606&page=3&bgbn=R,0.8237191438674927
21,3,"초록의 땅, 아일랜드",사학,학부,2008-2009,/partner/expReport.asp?id=3765&page=3&bgbn=R,0.6671015024185181
22,2,이국땅에서의 생활,경영학과,학부,2008-2009,/partner/expReport.asp?id=3627&page=3&bgbn=R,0.6917486786842346
23,1,더블린에서의 1년,경영학과,학부,2007,/partner/expReport.asp?id=3036&page=3&bgbn=R,0.731432318687439
