,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,34,torino,건축학과,학부,2016-2017,/partner/expReport.asp?id=14093&page=1&bgbn=R,1,0.47254469990730286
1,33,한 한기 동안의 토리노 교환학생 생활,건축공학과,학부,2016,/partner/expReport.asp?id=13696&page=1&bgbn=R,0,0.5467911958694458
2,32,토리노 이야기,국어국문학과,학부,2016,/partner/expReport.asp?id=13519&page=1&bgbn=R,0,0.45608484745025635
3,31,젤라또와의 한학기,경영학과,학부,2016,/partner/expReport.asp?id=13258&page=1&bgbn=R,1,0.41148847341537476
4,30,자꾸 생각나는 토리노에서의 한 학기♡,UIC,학부,2016,/partner/expReport.asp?id=13155&page=1&bgbn=R,1,0.9251164197921753
5,29,삶의 여백을 만들 수 있었던 한 학기,건축학과,학부,2015,/partner/expReport.asp?id=12780&page=1&bgbn=R,1,0.9197620749473572
6,28,"이탈리아에서의 환상적인 1학기, Mi piace molto Torino!",의류환경학과,학부,2015,/partner/expReport.asp?id=12588&page=1&bgbn=R,1,0.8220908641815186
7,27,다시 돌아가고 싶은 토리노에서의 1학기:),의류환경학과,학부,2015,/partner/expReport.asp?id=12290&page=1&bgbn=R,1,0.8895792961120605
8,26,토리노? Perche no?,건축학과,학부,2014,/partner/expReport.asp?id=8610&page=1&bgbn=R,0,0.5001710653305054
9,25,이태리에서의 한학기,영어영문,학부,2014,/partner/expReport.asp?id=7564&page=1&bgbn=R,1,0.6579816341400146
10,24,"찬란한 역사와 문화의 나라, 이탈리아에서의 삶!",실내건축학과,학부,2014,/partner/expReport.asp?id=7086&page=2&bgbn=R,1,0.8988749980926514
11,23,"이탈리아와 미국 생활을 동시에, la dolce vita!",아동가족학과,학부,2013,/partner/expReport.asp?id=6999&page=2&bgbn=R,1,0.6859132051467896
12,22,정말 짦았던 이태리에서의 4개월,스포츠레저학과,학부,2013,/partner/expReport.asp?id=6906&page=2&bgbn=R,1,0.7686223983764648
13,21,USAC TORINO 2013,건축학과,학부,2013,/partner/expReport.asp?id=6888&page=2&bgbn=R,1,0.4831991493701935
14,20,토리노에서의 한학기!,의류환경학과,학부,2013,/partner/expReport.asp?id=6846&page=2&bgbn=R,1,0.724786639213562
15,19,토리노에서의 두학기 :),의류환경학과,학부,2012-2013,/partner/expReport.asp?id=6748&page=2&bgbn=R,1,0.7281253337860107
16,18,토리노 :),신문방송학과,학부,2013,/partner/expReport.asp?id=6733&page=2&bgbn=R,0,0.48335328698158264
17,17,토리노에서의 1년 !,건축학과,학부,2012,/partner/expReport.asp?id=6457&page=2&bgbn=R,1,0.724786639213562
18,16,평생 최고의 선택 :),생활디자인과,학부,2010,/partner/expReport.asp?id=6424&page=2&bgbn=R,1,0.970527172088623
19,15,꿈만 같았던 1년,행정학과,학부,2012,/partner/expReport.asp?id=6329&page=2&bgbn=R,0,0.8302287459373474
20,14,Torino♥,국어국문학과,학부,2012,/partner/expReport.asp?id=6185&page=3&bgbn=R,1,0.48335328698158264
21,13,토리노에서의 두 학기를 마치고,영어영문학과,학부,2011,/partner/expReport.asp?id=6149&page=3&bgbn=R,1,0.6863265037536621
22,12,재미있는 비테르보,건축학과,학부,2012,/partner/expReport.asp?id=5987&page=3&bgbn=R,1,0.9030114412307739
23,11,"mia casa, TORINO",사학과,학부,2011,/partner/expReport.asp?id=5389&page=3&bgbn=R,0,0.4899306297302246
24,10,"Torino, Torinese의 기억",법학과,학부,2011,/partner/expReport.asp?id=5249&page=3&bgbn=R,1,0.5655542016029358
25,9,토리노와 비테르보!!!!!,사학과,학부,2010-2011,/partner/expReport.asp?id=5088&page=3&bgbn=R,1,0.4831991493701935
26,8,토리노에서 한학기 !,건축학,학부,2010,/partner/expReport.asp?id=4950&page=3&bgbn=R,1,0.4589718282222748
27,7,"Amore mio, Italia ♥",응용통계학과,학부,2009-2010,/partner/expReport.asp?id=4546&page=3&bgbn=R,1,0.5001710653305054
28,6,그리운 토리노!,의류환경학과,학부,2009,/partner/expReport.asp?id=4105&page=3&bgbn=R,1,0.7024350166320801
29,5,토리노에서의 한 학기,경영학과,학부,2009,/partner/expReport.asp?id=3994&page=3&bgbn=R,1,0.645369291305542
30,4,경험보고서 작성,도시공학과,학부,2009,/partner/expReport.asp?id=3875&page=4&bgbn=R,0,0.6766663193702698
31,3,University of Torino-SAA,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3736&page=4&bgbn=R,0,0.5001710653305054
32,2,토리노의 이모저모,국어국문학과,학부,2009,/partner/expReport.asp?id=3582&page=4&bgbn=R,0,0.48335328698158264
33,1,USAC 토리노에서의 일년 교환학기,의류환경학과,학부,2008-2009,/partner/expReport.asp?id=3578&page=4&bgbn=R,0,0.6833485960960388
