,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,28,츄오대학 타마캠퍼스,언더우드비교문학과문화,학부,2016,/partner/expReport.asp?id=13436&page=1&bgbn=R,0,0.2787666916847229
1,27,츄오대학교,심리학과,학부,2016,/partner/expReport.asp?id=13398&page=1&bgbn=R,1,0.26274845004081726
2,26,즐거웠던 일본 교환학생 경험기(문과),경영학부,학부,2013-2014,/partner/expReport.asp?id=7468&page=1&bgbn=R,0,0.822770357131958
3,25,일본 Chuo대학교에서의 색다른 1년,기계공학과,학부,2012,/partner/expReport.asp?id=6169&page=1&bgbn=R,1,0.7987916469573975
4,24,츄오대학에서의 행복하고 소중한 1년!,국제관계학과,학부,2011-2012,/partner/expReport.asp?id=5900&page=1&bgbn=R,1,0.9245948791503906
5,23,즐거웠던 Chuo 대학교에서의 한 학기,사회학과,학부,2012,/partner/expReport.asp?id=5898&page=1&bgbn=R,1,0.8940342664718628
6,22,2011년 가을학기를 보내고.,국어국문학과,대학원,2011,/partner/expReport.asp?id=5517&page=1&bgbn=R,1,0.7889999151229858
7,21,추오대에서의 한 학기,정치외교학과,학부,2010,/partner/expReport.asp?id=4762&page=1&bgbn=R,1,0.7043737769126892
8,20,독립의 즐거움. 배움의 즐거움.,화학공학과,학부,2010,/partner/expReport.asp?id=4693&page=1&bgbn=R,1,0.8830045461654663
9,19,아직도 생생한 1년..,화학과,학부,2009,/partner/expReport.asp?id=4192&page=1&bgbn=R,1,0.9538203477859497
10,18,도쿄 중심에서의 1년,정보통신공학과,학부,2009,/partner/expReport.asp?id=4059&page=2&bgbn=R,0,0.8399357199668884
11,17,평생 잊지 못할 츄오대학교에서의 1년,주거환경학과,학부,2008-2009,/partner/expReport.asp?id=3528&page=2&bgbn=R,1,0.736453652381897
12,16,"츄오대학, 타마캠퍼스",패키징학,학부,2007,/partner/expReport.asp?id=3321&page=2&bgbn=R,0,0.3032819330692291
13,15,자연으로 돌아가 생활한 1년,국제관계학과,학부,2007-2008,/partner/expReport.asp?id=3042&page=2&bgbn=R,0,0.8255066871643066
14,14,이공계(특히. 공학계)학생의 교환학생 tip,기계공학과,학부,2006,/partner/expReport.asp?id=2470&page=2&bgbn=R,0,0.6424999237060547
15,13,츄오대학,수학과,학부,2006,/partner/expReport.asp?id=2468&page=2&bgbn=R,0,0.2566019296646118
16,12,Chuo 대학에서 일년 간 얻은 값진 경험,행정,학부,2006-2007,/partner/expReport.asp?id=2429&page=2&bgbn=R,1,0.789696991443634
17,11,츄오에서의 즐거운 교환생활,경영학과,학부,2006,/partner/expReport.asp?id=2237&page=2&bgbn=R,0,0.8143692016601562
18,10,길고도 짧았던 시간들,주거환경학과,학부,2005,/partner/expReport.asp?id=1944&page=2&bgbn=R,1,0.517156720161438
19,9,츄오대학에서의 짧지만 즐거웠던 한학기,정치외교학과,학부,2005,/partner/expReport.asp?id=1909&page=2&bgbn=R,1,0.9161447286605835
20,8,Chuo Uni.-이민아,국제학대학원,대학원,2005,/partner/expReport.asp?id=1895&page=3&bgbn=R,0,0.5123575925827026
21,7,Chuo Univ. - 송성준,사회환경시스템공학부,학부,2005,/partner/expReport.asp?id=1737&page=3&bgbn=R,1,0.5122702717781067
22,6,조용한 추오대에서의 1년,심리학과,학부,2004-2005,/partner/expReport.asp?id=1690&page=3&bgbn=R,0,0.8273000121116638
23,5,꿈만 같아,의류환경전공,학부,2003,/partner/expReport.asp?id=1365&page=3&bgbn=R,0,0.7630120515823364
24,4,Chuo univ.,경제학전공,학부,2003-2004,/partner/expReport.asp?id=1345&page=3&bgbn=R,1,0.515648603439331
25,3,재미있었던 교환학생 생활!,의류환경전공,학부,2004,/partner/expReport.asp?id=1254&page=3&bgbn=R,1,0.9143322110176086
26,2,Chuo Univ. - 이홍이,심리학전공,학부,2002,/partner/expReport.asp?id=669&page=3&bgbn=R,1,0.5122702717781067
27,1,Chuo Univ. - 이선경,사회과학대학,학부,2002,/partner/expReport.asp?id=668&page=3&bgbn=R,1,0.5122702717781067
