,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,35,어서와 리투아니아는 처음이지?,신소재공학과,학부,2019,/partner/expReport.asp?id=16356&page=1&bgbn=R,1,0.7146354913711548
1,34,졸업 전 KTU에서의 한 학기,정치외교학과,학부,2019,/partner/expReport.asp?id=16296&page=1&bgbn=R,1,0.3944084346294403
2,33,정말정말정말정말 행복했던 교환생활,정치외교학과,학부,2019,/partner/expReport.asp?id=15922&page=1&bgbn=R,1,0.9731400012969971
3,32,리투아니아에서의 6개월,문헌정보학과,학부,2019,/partner/expReport.asp?id=15861&page=1&bgbn=R,1,0.7203809022903442
4,31,인생에서 가장 자유로웠던 시기를 카우나스에서,간호학과,학부,2018,/partner/expReport.asp?id=15471&page=1&bgbn=R,1,0.9095891118049622
5,30,5개월 간의 휴식,사회복지,학부,2018,/partner/expReport.asp?id=15344&page=1&bgbn=R,1,0.7623689770698547
6,29,행복의 의미를 깨달았던 카우나스에서의 겨울,경영학과,학부,2018,/partner/expReport.asp?id=15291&page=1&bgbn=R,1,0.8967804908752441
7,28,내 인생의 꿈 같던 시간,정치외교학과,학부,2018,/partner/expReport.asp?id=15072&page=1&bgbn=R,1,0.8838202357292175
8,27,"제 2의 스무 살, 리투아니아 교환 학생 파견",신학과 / 경제학과,학부,2018,/partner/expReport.asp?id=15041&page=1&bgbn=R,1,0.7284905910491943
9,26,6개월의 방학,도시공학과,학부,2017,/partner/expReport.asp?id=14075&page=1&bgbn=R,0,0.6376118659973145
10,25,후회하지 않을 선택 리투아니아,경제학과,학부,2017,/partner/expReport.asp?id=14024&page=2&bgbn=R,0,0.8820888996124268
11,24,"잊을 수 없는 추억, 리투아니아",화공생명공학,학부,2016,/partner/expReport.asp?id=13665&page=2&bgbn=R,1,0.9123643636703491
12,23,"다시 없을 특별한 추억, 리투아니아",신소재공학과,학부,2015,/partner/expReport.asp?id=13555&page=2&bgbn=R,1,0.7525814771652222
13,22,LITHUANIA - Kaunas University of Technology,UIC,학부,2016,/partner/expReport.asp?id=13455&page=2&bgbn=R,1,0.5139521360397339
14,21,다시 선택한다해도 리투아니아!,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13418&page=2&bgbn=R,1,0.7270033359527588
15,20,"더할나위 없었던 도전, 리투아니아",아동가족학과/신문방송학과,학부,2015,/partner/expReport.asp?id=12774&page=2&bgbn=R,0,0.7117843627929688
16,19,희소성 넘치는 리투아니아의 아름다움,행정학과 / 경제학과,학부,2015,/partner/expReport.asp?id=12325&page=2&bgbn=R,1,0.9607806205749512
17,18,"유럽의 숨은 진주, 리투아니아",경제학과,학부,2015,/partner/expReport.asp?id=12147&page=2&bgbn=R,1,0.691367506980896
18,17,리투아니아에서 한 학기,경제학과,학부,2014,/partner/expReport.asp?id=11799&page=2&bgbn=R,1,0.469870924949646
19,16,KTU 가을학기 경험 보고서,사회학과,학부,2014,/partner/expReport.asp?id=10756&page=2&bgbn=R,1,0.8112961053848267
20,15,내 생애 가장 긴 휴일,전기전자공학부,학부,2014,/partner/expReport.asp?id=7559&page=3&bgbn=R,1,0.49645522236824036
21,14,"색다른 도전, 어메이징한 한 학",아동가족학과,학부,2014-1,/partner/expReport.asp?id=7114&page=3&bgbn=R,1,0.7783552408218384
22,13,가장 자유로웠던 한 학기,문화인류학과,학부,2013-1,/partner/expReport.asp?id=6791&page=3&bgbn=R,1,0.900992751121521
23,12,잊을 수 없는 잼도넛과 친구들,사회학과,학부,2012,/partner/expReport.asp?id=6362&page=3&bgbn=R,1,0.9356666803359985
24,11,카우나스에서의 한 학기,경제학과,학부,2012,/partner/expReport.asp?id=6303&page=3&bgbn=R,1,0.731432318687439
25,10,카우나스에서의 생활,전기전자공학과,학부,2012,/partner/expReport.asp?id=6016&page=3&bgbn=R,0,0.7055066227912903
26,9,나만의 특별한 경험,전기전자공학과,학부,2012,/partner/expReport.asp?id=5912&page=3&bgbn=R,0,0.8757936954498291
27,8,남들보다 조금은 더 특별한!,건축학과 (5년제),학부,2011,/partner/expReport.asp?id=5473&page=3&bgbn=R,1,0.697307288646698
28,7,"biso gero, Lithuania!",행정학과,학부,2011,/partner/expReport.asp?id=5377&page=3&bgbn=R,1,0.5122702717781067
29,6,"잊을 수 없는 추억, 리투아니아",철학과,학부,2011-1,/partner/expReport.asp?id=4979&page=3&bgbn=R,1,0.9123643636703491
30,5,카우나스 과학기술대를 소개합니다.,사회학과,학부,2010,/partner/expReport.asp?id=4795&page=4&bgbn=R,0,0.40196341276168823
31,4,리투아니아를 다녀오고,전기전자공학,학부,2010,/partner/expReport.asp?id=4363&page=4&bgbn=R,1,0.7542330026626587
32,3,KTU에서의 4개월,세라믹공학과,학부,2009,/partner/expReport.asp?id=4121&page=4&bgbn=R,1,0.7203809022903442
33,2,KTU,생활과학대학,학부,2009,/partner/expReport.asp?id=3971&page=4&bgbn=R,1,0.50729900598526
34,1,나의 경험보고서,전기전자공학부,학부,2008,/partner/expReport.asp?id=3139&page=4&bgbn=R,1,0.6810358762741089
