,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,58,틸버그 대학교에서의 1학기,정치외교학과,학부,2019,/partner/expReport.asp?id=16269&page=1&bgbn=R,1,0.8022788763046265
1,57,틸버그에서의 한학기,지속개발협력학과,학부,2019,/partner/expReport.asp?id=16170&page=1&bgbn=R,1,0.731432318687439
2,56,추억 가득한 틸버그,정치외교학,학부,2019,/partner/expReport.asp?id=16047&page=1&bgbn=R,1,0.8732221126556396
3,55,틸버그 대학교 꼭 가세요,경영학과,학부,2019,/partner/expReport.asp?id=16011&page=1&bgbn=R,1,0.7488492131233215
4,54,그리운 틸버그,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=15983&page=1&bgbn=R,1,0.6958563327789307
5,53,뜻 깊었던 틸버그에서의 6개월,불어불문학과,학부,2019,/partner/expReport.asp?id=15873&page=1&bgbn=R,1,0.7826076149940491
6,52,자전거를 타고 다니며 맑은 공기를 마실 수 있는 평화로운 Tilburg University,문헌정보학과,학부,2019,/partner/expReport.asp?id=15821&page=1&bgbn=R,1,0.8627759218215942
7,51,꿈과 같았던 틸버그에서의 한학기,경영학과,학부,2018-2019,/partner/expReport.asp?id=15443&page=1&bgbn=R,1,0.8751040697097778
8,50,틸버그에서 한학기,경제학과,학부,2018,/partner/expReport.asp?id=15401&page=1&bgbn=R,1,0.469870924949646
9,49,평화롭고 행복한 틸버그,행정학과,학부,2018,/partner/expReport.asp?id=15390&page=1&bgbn=R,1,0.9357733726501465
10,48,Exchange to Tilburg University,Graduate School of International Studies,대학원,2018 Fall,/partner/expReport.asp?id=15364&page=2&bgbn=R,0,0.5123575925827026
11,47,Tilburg University,Underwood International College,학부,2017-2018,/partner/expReport.asp?id=15073&page=2&bgbn=R,1,0.5230967998504639
12,46,벌써 그리운 틸버그에서의 생활,경영학과,학부,2018,/partner/expReport.asp?id=14971&page=2&bgbn=R,0,0.8501871824264526
13,45,제 2의 고향 틸버그,경제학과,학부,2017,/partner/expReport.asp?id=14707&page=2&bgbn=R,0,0.5106689929962158
14,44,흐린날이 매력적인,경제학부,학부,2017,/partner/expReport.asp?id=14685&page=2&bgbn=R,1,0.6221415996551514
15,43,다시 돌아가고 싶은 틸버그,의류환경학과,학부,2017,/partner/expReport.asp?id=14451&page=2&bgbn=R,1,0.8957961797714233
16,42,Tilburg University에서 꿈 같은 한 학기,철학과/사회학과,학부,2017,/partner/expReport.asp?id=14215&page=2&bgbn=R,1,0.7571932077407837
17,41,틸버그의 한학기,행정학과,학부,2017,/partner/expReport.asp?id=14112&page=2&bgbn=R,1,0.5230967998504639
18,40,틸버그에서의 한학기,경영학과,학부,2016,/partner/expReport.asp?id=13855&page=2&bgbn=R,1,0.731432318687439
19,39,Tilburg university,경제학과,학부,2016,/partner/expReport.asp?id=13793&page=2&bgbn=R,1,0.5230967998504639
20,38,그리운 틸버그,경영학과,학부,2016,/partner/expReport.asp?id=13708&page=3&bgbn=R,1,0.6958563327789307
21,37,Tilbrug에서의 한학기,경영학과,학부,2016,/partner/expReport.asp?id=13010&page=3&bgbn=R,0,0.731432318687439
22,36,틸버그 대학교,경제학과,학부,2015,/partner/expReport.asp?id=12566&page=3&bgbn=R,1,0.7355700135231018
