,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,75,오슬로대학의 1년반 간의 교환+방문 생활,아시아학부,학부,2018-2020,/partner/expReport.asp?id=16399&page=1&bgbn=R,0,0.5216940641403198
1,74,평범한듯 특별했던 오슬로 생활,영어영문학과,학부,2019,/partner/expReport.asp?id=16276&page=1&bgbn=R,0,0.5965473055839539
2,73,노르웨이 생활 너무 걱정하지 마세요,문화인류학과,학부,2019,/partner/expReport.asp?id=16182&page=1&bgbn=R,0,0.19660606980323792
3,72,추억으로 자리잡을 노르웨이,물리학과,학부,2019,/partner/expReport.asp?id=16153&page=1&bgbn=R,1,0.6261007189750671
4,71,오슬로에서의 즐거웠던 나날,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16121&page=1&bgbn=R,1,0.9111164212226868
5,70,그리운 나의 오슬로,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16041&page=1&bgbn=R,0,0.7137583494186401
6,69,휴식의 가치를 알게해준 노르웨이,철학과,학부,2018,/partner/expReport.asp?id=14906&page=1&bgbn=R,1,0.7282035946846008
7,68,정말 여유롭고 힐링되었던 한 학기,응용통계학과,학부,2017,/partner/expReport.asp?id=14606&page=1&bgbn=R,1,0.9741458892822266
8,67,모든게 새로웠던 오슬로에서의 한 학기,영어영문학과,학부,2017,/partner/expReport.asp?id=14530&page=1&bgbn=R,0,0.9182842373847961
9,66,많은 것을 얻고 가는 노르웨이,사학과,학부,2016,/partner/expReport.asp?id=13271&page=1&bgbn=R,1,0.4483078718185425
10,65,모든 것을 바꾸어 놓은 오슬로,아동가족학과,학부,2015,/partner/expReport.asp?id=12884&page=2&bgbn=R,1,0.5296580791473389
11,64,다시 가고 싶은 노르웨이에서의 한 학기,응용통계학과,학부,2015,/partner/expReport.asp?id=12694&page=2&bgbn=R,1,0.7827621102333069
12,63,다시 가고싶은 곳 오슬로,사회학과,학부,2015,/partner/expReport.asp?id=12475&page=2&bgbn=R,1,0.917789876461029
13,62,포근한 나라 노르웨이,국어국문학과,학부,2015,/partner/expReport.asp?id=12128&page=2&bgbn=R,1,0.6778656244277954
14,61,아름다운 노르웨이에서의 소중한 한 학기,심리학과,학부,2014,/partner/expReport.asp?id=8620&page=2&bgbn=R,1,0.861342191696167
15,60,"꿈같던 시간, 나의 오슬로",국어국문학과,학부,2014,/partner/expReport.asp?id=7485&page=2&bgbn=R,0,0.833817720413208
16,59,"아름다운 나라 노르웨이, 뜻깊었던 1년",경제학과,학부,2012,/partner/expReport.asp?id=7467&page=2&bgbn=R,1,0.8356428146362305
17,58,"살고싶은 도시, 오슬로",컴퓨터과학과,학부,2014,/partner/expReport.asp?id=7221&page=2&bgbn=R,1,0.7403395175933838
18,57,오슬로에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=7171&page=2&bgbn=R,1,0.7241103053092957
19,56,가장 여유로웠던 한해,경제학과,학부,2013,/partner/expReport.asp?id=7094&page=2&bgbn=R,0,0.8792215585708618
20,55,University of Oslo,경제학과,학부,2013,/partner/expReport.asp?id=6965&page=3&bgbn=R,1,0.4831991493701935
21,54,"슬로우 시티, 오슬로",사회학과,학부,2013,/partner/expReport.asp?id=6931&page=3&bgbn=R,0,0.40823644399642944
22,53,"오슬로, 내 꿈 속",문화인류학과,학부,2013,/partner/expReport.asp?id=6927&page=3&bgbn=R,1,0.7972412705421448
23,52,북유럽의 기나긴 밤을 지나 진정한 나와 마주치다,정치외교학/경제학,학부,2010-2011,/partner/expReport.asp?id=6723&page=3&bgbn=R,1,0.6871216893196106
24,51,"노르웨이의 광장, 오슬로",응용통계학과,학부,2013,/partner/expReport.asp?id=6684&page=3&bgbn=R,0,0.5021346211433411
25,50,짧았던 1년,법학과,학부,2012-2013,/partner/expReport.asp?id=6613&page=3&bgbn=R,0,0.7075627446174622
26,49,"자연이 아름다운 나라, 노르웨이",실내건축학과,학부,2013,/partner/expReport.asp?id=6578&page=3&bgbn=R,1,0.7539531588554382
27,48,벌써 돌아가고 싶은 노르웨이 오슬로.,영어영문학과,학부,2013,/partner/expReport.asp?id=6569&page=3&bgbn=R,1,0.6088839769363403
28,47,"평등과 화합의 나라, 노르웨이♡",아동가족학과,학부,2012,/partner/expReport.asp?id=6230&page=3&bgbn=R,1,0.5592408776283264
29,46,"2012년 봄, 노르웨이",경제학과,학부,2012,/partner/expReport.asp?id=6218&page=3&bgbn=R,1,0.3455788791179657
30,45,선진국 중의 선진국 노르웨이,정보산업공학과,학부,2012,/partner/expReport.asp?id=6156&page=4&bgbn=R,1,0.6035208106040955
31,44,여유롭고 아름다운 나라 노르웨이,응용통계학과,학부,2012,/partner/expReport.asp?id=5973&page=4&bgbn=R,1,0.8914920091629028
32,43,"북쪽의 나라, 오슬로",문화인류학과,학부,2011,/partner/expReport.asp?id=5964&page=4&bgbn=R,1,0.6825127005577087
33,42,"마음의 안식처, 노르웨이",영어영문학과,학부,2011,/partner/expReport.asp?id=5887&page=4&bgbn=R,1,0.7081164717674255
34,41,내 삶의 전환점이 된 노르웨이,정치외교학과,학부,2012,/partner/expReport.asp?id=5777&page=4&bgbn=R,1,0.8159939050674438
