,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,75,오슬로대학의 1년반 간의 교환+방문 생활,아시아학부,학부,2018-2020,/partner/expReport.asp?id=16399&page=1&bgbn=R,1,0.5339633226394653
1,74,평범한듯 특별했던 오슬로 생활,영어영문학과,학부,2019,/partner/expReport.asp?id=16276&page=1&bgbn=R,0,0.6101986169815063
2,73,노르웨이 생활 너무 걱정하지 마세요,문화인류학과,학부,2019,/partner/expReport.asp?id=16182&page=1&bgbn=R,0,0.1392274796962738
3,72,추억으로 자리잡을 노르웨이,물리학과,학부,2019,/partner/expReport.asp?id=16153&page=1&bgbn=R,1,0.677151083946228
4,71,오슬로에서의 즐거웠던 나날,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16121&page=1&bgbn=R,1,0.9147087335586548
5,70,그리운 나의 오슬로,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16041&page=1&bgbn=R,1,0.7351183891296387
6,69,휴식의 가치를 알게해준 노르웨이,철학과,학부,2018,/partner/expReport.asp?id=14906&page=1&bgbn=R,1,0.6970840692520142
7,68,정말 여유롭고 힐링되었던 한 학기,응용통계학과,학부,2017,/partner/expReport.asp?id=14606&page=1&bgbn=R,1,0.9648568630218506
8,67,모든게 새로웠던 오슬로에서의 한 학기,영어영문학과,학부,2017,/partner/expReport.asp?id=14530&page=1&bgbn=R,0,0.8745369911193848
9,66,많은 것을 얻고 가는 노르웨이,사학과,학부,2016,/partner/expReport.asp?id=13271&page=1&bgbn=R,0,0.5340592861175537
10,65,모든 것을 바꾸어 놓은 오슬로,아동가족학과,학부,2015,/partner/expReport.asp?id=12884&page=2&bgbn=R,1,0.6104728579521179
11,64,다시 가고 싶은 노르웨이에서의 한 학기,응용통계학과,학부,2015,/partner/expReport.asp?id=12694&page=2&bgbn=R,1,0.8596042394638062
12,63,다시 가고싶은 곳 오슬로,사회학과,학부,2015,/partner/expReport.asp?id=12475&page=2&bgbn=R,1,0.9372135400772095
13,62,포근한 나라 노르웨이,국어국문학과,학부,2015,/partner/expReport.asp?id=12128&page=2&bgbn=R,1,0.6513746976852417
14,61,아름다운 노르웨이에서의 소중한 한 학기,심리학과,학부,2014,/partner/expReport.asp?id=8620&page=2&bgbn=R,1,0.883837103843689
15,60,"꿈같던 시간, 나의 오슬로",국어국문학과,학부,2014,/partner/expReport.asp?id=7485&page=2&bgbn=R,0,0.8339029550552368
16,59,"아름다운 나라 노르웨이, 뜻깊었던 1년",경제학과,학부,2012,/partner/expReport.asp?id=7467&page=2&bgbn=R,1,0.7448676824569702
17,58,"살고싶은 도시, 오슬로",컴퓨터과학과,학부,2014,/partner/expReport.asp?id=7221&page=2&bgbn=R,1,0.7199050784111023
18,57,오슬로에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=7171&page=2&bgbn=R,1,0.7740289568901062
19,56,가장 여유로웠던 한해,경제학과,학부,2013,/partner/expReport.asp?id=7094&page=2&bgbn=R,0,0.8933016061782837
20,55,University of Oslo,경제학과,학부,2013,/partner/expReport.asp?id=6965&page=3&bgbn=R,1,0.515648603439331
21,54,"슬로우 시티, 오슬로",사회학과,학부,2013,/partner/expReport.asp?id=6931&page=3&bgbn=R,1,0.5670945048332214
22,53,"오슬로, 내 꿈 속",문화인류학과,학부,2013,/partner/expReport.asp?id=6927&page=3&bgbn=R,1,0.8150535821914673
23,52,북유럽의 기나긴 밤을 지나 진정한 나와 마주치다,정치외교학/경제학,학부,2010-2011,/partner/expReport.asp?id=6723&page=3&bgbn=R,1,0.5626152753829956
24,51,"노르웨이의 광장, 오슬로",응용통계학과,학부,2013,/partner/expReport.asp?id=6684&page=3&bgbn=R,0,0.5987234711647034
25,50,짧았던 1년,법학과,학부,2012-2013,/partner/expReport.asp?id=6613&page=3&bgbn=R,0,0.7884348034858704
26,49,"자연이 아름다운 나라, 노르웨이",실내건축학과,학부,2013,/partner/expReport.asp?id=6578&page=3&bgbn=R,1,0.7233039736747742
27,48,벌써 돌아가고 싶은 노르웨이 오슬로.,영어영문학과,학부,2013,/partner/expReport.asp?id=6569&page=3&bgbn=R,1,0.7133685350418091
28,47,"평등과 화합의 나라, 노르웨이♡",아동가족학과,학부,2012,/partner/expReport.asp?id=6230&page=3&bgbn=R,1,0.6158585548400879
29,46,"2012년 봄, 노르웨이",경제학과,학부,2012,/partner/expReport.asp?id=6218&page=3&bgbn=R,1,0.4088754951953888
30,45,선진국 중의 선진국 노르웨이,정보산업공학과,학부,2012,/partner/expReport.asp?id=6156&page=4&bgbn=R,1,0.5171780586242676
31,44,여유롭고 아름다운 나라 노르웨이,응용통계학과,학부,2012,/partner/expReport.asp?id=5973&page=4&bgbn=R,1,0.7164344787597656
32,43,"북쪽의 나라, 오슬로",문화인류학과,학부,2011,/partner/expReport.asp?id=5964&page=4&bgbn=R,1,0.7172461748123169
33,42,"마음의 안식처, 노르웨이",영어영문학과,학부,2011,/partner/expReport.asp?id=5887&page=4&bgbn=R,1,0.6833259463310242
34,41,내 삶의 전환점이 된 노르웨이,정치외교학과,학부,2012,/partner/expReport.asp?id=5777&page=4&bgbn=R,1,0.7984932661056519
35,40,다시 돌아가고 싶은 노르웨이,행정학과,학부,212,/partner/expReport.asp?id=5705&page=4&bgbn=R,1,0.7377454042434692
36,39,"북쪽으로 가는 길, 노르웨이",영어영문학과,학부,2010-2011,/partner/expReport.asp?id=5565&page=4&bgbn=R,0,0.5944592952728271
37,38,오슬로에서의 소중한 한학기,경제학과,학부,2011,/partner/expReport.asp?id=5391&page=4&bgbn=R,1,0.8538731336593628
38,37,너무나 많은 것을 안겨준 노르웨이,화학공학과,학부,2011,/partner/expReport.asp?id=5379&page=4&bgbn=R,0,0.62095707654953
39,36,행복했던 1년간의 오슬로 생활,정치외교학과,학부,2010-2011,/partner/expReport.asp?id=5226&page=4&bgbn=R,1,0.896905779838562
40,35,"사랑할 수밖에 없는 나라, 노르웨이.",신학과,학부,2010-2011,/partner/expReport.asp?id=5182&page=5&bgbn=R,1,0.5850614309310913
41,34,사랑해요 노르웨이 :^),아동가족,학부,2010,/partner/expReport.asp?id=5108&page=5&bgbn=R,1,0.6146567463874817
42,33,평화의 나라 노르웨이:),심리학과,학부,2011,/partner/expReport.asp?id=5023&page=5&bgbn=R,1,0.3993227481842041
43,32,"내 마음의, 내 추억의 안식처 노르웨이",철학과,학부,2010,/partner/expReport.asp?id=4786&page=5&bgbn=R,1,0.6836348176002502
44,31,노르웨이에서의 한 학기,정치외교학,학부,2010,/partner/expReport.asp?id=4683&page=5&bgbn=R,1,0.693824052810669
45,30,평등을 실현하는 노르웨이에서의 일 년,영어영문학과,학부,2009,/partner/expReport.asp?id=4576&page=5&bgbn=R,1,0.7623379826545715
46,29,여유와 평화의 나라 노르웨이,사회학과,학부,2010,/partner/expReport.asp?id=4468&page=5&bgbn=R,1,0.697348952293396
47,28,"잊지못할 기억을 선물해준, 노르웨이",식품영양학과,학부,2009,/partner/expReport.asp?id=4125&page=5&bgbn=R,1,0.8513592481613159
48,27,"잊지 못할 나의 소중한 기억, 노르웨이",식품영양학과,학부,2009,/partner/expReport.asp?id=4102&page=5&bgbn=R,1,0.7407730221748352
49,26,노르웨이에서 꿈같은 1년,경영학과,학부,2009,/partner/expReport.asp?id=4012&page=5&bgbn=R,1,0.6288658976554871
50,25,오롯이 나에게 충실했던 오슬로에서의 그 순간들,신문방송학과,학부,2008-2009,/partner/expReport.asp?id=3884&page=6&bgbn=R,1,0.8919533491134644
51,24,노르웨이에서의 좋은 시간들,심리학,학부,2008,/partner/expReport.asp?id=3878&page=6&bgbn=R,1,0.8191096782684326
52,23,평화학의 본 고장,국제관계학과,학부,2008,/partner/expReport.asp?id=3371&page=6&bgbn=R,1,0.6219848990440369
53,22,나의 특별한 노르웨이,사회학과,학부,2007-2008,/partner/expReport.asp?id=3300&page=6&bgbn=R,1,0.3585463762283325
54,21,여유가 숨쉬는 나라-Norway,신문방송학과,학부,2008,/partner/expReport.asp?id=3271&page=6&bgbn=R,1,0.7683736681938171
55,20,"널 잊지 못할거야, 노르웨이:)",심리학과,학부,2007-2008,/partner/expReport.asp?id=3177&page=6&bgbn=R,1,0.6863993406295776
56,19,평화와 여유의 나라-노르웨이!,국어국문 신문방송,학부,2007,/partner/expReport.asp?id=3099&page=6&bgbn=R,1,0.6757014393806458
57,18,"넘치도록 풍요로웠던 1년 노르웨이, UIO",법학과,학부,2007,/partner/expReport.asp?id=2939&page=6&bgbn=R,1,0.5601990222930908
58,17,오슬로에서의 최고의 값진 1년,영어영문학과,학부,2007,/partner/expReport.asp?id=2935&page=6&bgbn=R,1,0.9491360187530518
59,16,오슬로 대학에서의 일년,영어영문학과,학부,2006,/partner/expReport.asp?id=2733&page=6&bgbn=R,1,0.7797079682350159
60,15,노르웨이에서의 그 소중했던 시간들,토목환경공학과,학부,2007,/partner/expReport.asp?id=2643&page=7&bgbn=R,1,0.8455040454864502
61,14,UiO,경제학과,학부,2006-2007,/partner/expReport.asp?id=2639&page=7&bgbn=R,0,0.50729900598526
62,13,"매력적인 스칸디나비아, 노르웨이에서",사회학과,학부,2005,/partner/expReport.asp?id=2560&page=7&bgbn=R,1,0.7586957216262817
63,12,북유럽 대표주자 노르웨이에서의 1년,아동가족학과,학부,2006,/partner/expReport.asp?id=2282&page=7&bgbn=R,0,0.7765235900878906
64,11,오슬로에서의 1년,정치외교학과,학부,2005-2006,/partner/expReport.asp?id=2150&page=7&bgbn=R,0,0.7740289568901062
65,10,지상 최대의 낙원 노르웨이,사회과학대학 신문방송학과,학부,2005,/partner/expReport.asp?id=2105&page=7&bgbn=R,1,0.588991105556488
66,9,노르웨이에서의 새로운 경험.,영어영문학과,학부,2006,/partner/expReport.asp?id=2104&page=7&bgbn=R,1,0.9090642929077148
67,8,"여유로운 나라, 노르웨이",경제학과,학부,2005,/partner/expReport.asp?id=2042&page=7&bgbn=R,1,0.7356948852539062
68,7,노르웨이에서의 일년,정치외교학과,학부,2005,/partner/expReport.asp?id=2000&page=7&bgbn=R,1,0.6723395586013794
69,6,Velkommen til Norge!!,교육과학대학 교육학과,학부,2005,/partner/expReport.asp?id=1923&page=7&bgbn=R,1,0.5123575925827026
70,5,오슬로에서의 일년.,생활디자인,학부,2004-2005,/partner/expReport.asp?id=1773&page=8&bgbn=R,1,0.7952277064323425
71,4,"다시 찾고 싶은 그 곳, 노르웨이.",신문방송학과,학부,2004-2005,/partner/expReport.asp?id=1665&page=8&bgbn=R,1,0.9327771663665771
72,3,노르웨이에서의 즐거웠던 한학기.,경영학전공,학부,2003,/partner/expReport.asp?id=1080&page=8&bgbn=R,1,0.8774209022521973
73,2,오슬로에서의 한 학기,심리학전공,학부,2003,/partner/expReport.asp?id=1068&page=8&bgbn=R,1,0.7740289568901062
74,1,색다른 선택 UIO,신문방송학과,학부,2003,/partner/expReport.asp?id=1067&page=8&bgbn=R,1,0.8818457126617432
