,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,14,UC에서의 일년,문화인류학과,학부,2019,/partner/expReport.asp?id=16048&page=1&bgbn=R,1,0.727751612663269
1,13,진짜 정말 많이 좋습니다..,언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14376&page=1&bgbn=R,1,0.9513502717018127
2,12,캔터베리대학에서의 한학기,문헌정보학과,학부,2016,/partner/expReport.asp?id=13688&page=1&bgbn=R,1,0.7197685837745667
3,11,University of Canterbury,천문우주학과,학부,2016,/partner/expReport.asp?id=13444&page=1&bgbn=R,1,0.515648603439331
4,10,Canterbury University,사회학과,학부,2016,/partner/expReport.asp?id=13175&page=1&bgbn=R,0,0.5230967998504639
5,9,Kia Ora! University of Canterbury,지구시스템과학,학부,2015,/partner/expReport.asp?id=12357&page=1&bgbn=R,1,0.5139521360397339
6,8,Exchange Year Canterbury University Report,UD-Economics,학부,2014-2015,/partner/expReport.asp?id=12221&page=1&bgbn=R,1,0.5122702717781067
7,7,캔터버리대학교에서의 한학기 교환학생 생활,생화학과,학부,2014,/partner/expReport.asp?id=7206&page=1&bgbn=R,1,0.7070493102073669
8,6,캔터버리 학교생활 & 워홀,중어중문학과,학부,2013,/partner/expReport.asp?id=6990&page=1&bgbn=R,0,0.35061419010162354
9,5,플랫(하숙)으로 생활했던 뉴질랜드 생활,경영학과,학부,2013,/partner/expReport.asp?id=6718&page=1&bgbn=R,0,0.5837472677230835
10,4,실용적인 교환 참고서,교육학,학부,2009,/partner/expReport.asp?id=4581&page=2&bgbn=R,0,0.5250463485717773
11,3,Christchurch 에서의 1년,전기전자공학부,학부,2004,/partner/expReport.asp?id=1392&page=2&bgbn=R,0,0.731432318687439
12,2,뉴질랜드 University of Canterbury 수학경험보고서,국어국문학전공,학부,2003,/partner/expReport.asp?id=1027&page=2&bgbn=R,0,0.6981713771820068
13,1,Universitiy of Canterbury,문헌정보학전공,학부,2003,/partner/expReport.asp?id=1019&page=2&bgbn=R,1,0.515648603439331
