,No,제목,학과,과정,년도,href,RNN_SCORE
0,16,바르샤바에서의 잊지 못할 이야기,경영학과,학부,2019,/partner/expReport.asp?id=15872&page=1&bgbn=R,0.9296127557754517
1,15,바르샤바의 학 학기,경제학과,학부,2018,/partner/expReport.asp?id=15482&page=1&bgbn=R,0.44769200682640076
2,14,폴란드 바르샤바 경제대학에서의 한학기,불어불문학과,학부,2017,/partner/expReport.asp?id=14644&page=1&bgbn=R,0.5900798439979553
3,13,"낯설지만 매력적인 나라, 폴란드 교환학생 파견 보고서",언론홍보영상학부,학부,2017-2018,/partner/expReport.asp?id=14642&page=1&bgbn=R,0.7904372811317444
4,12,바르샤바 경제대학 교환학생 프로그램 후기,행정학과,학부,2016-2017,/partner/expReport.asp?id=13896&page=1&bgbn=R,0.43766897916793823
5,11,바르샤바에서의 후회 없는 한 학기,경제학과,학부,2016-2017,/partner/expReport.asp?id=13727&page=1&bgbn=R,0.809270977973938
6,10,바르샤바에서의 교환학생을 고민하시는 분들께,경영학과,학부,2016,/partner/expReport.asp?id=13176&page=1&bgbn=R,0.6461425423622131
7,9,바르샤바 경제대학 수학보고서,사회과학대학 신문방송학과,학부,2015-2016,/partner/expReport.asp?id=12892&page=1&bgbn=R,0.538929283618927
8,8,꿈만 같은 폴란드 교환학생 생활,행정학과,학부,2014-2015,/partner/expReport.asp?id=12192&page=1&bgbn=R,0.6404494643211365
9,7,"동유럽의 중심 들판, 폴란드에서의 교환학생",동아시아국제학부,학부,2015,/partner/expReport.asp?id=12167&page=1&bgbn=R,0.7151795625686646
10,6,2012년 바르샤바에서의 한 학기,사회학과,학부,2012,/partner/expReport.asp?id=7501&page=2&bgbn=R,0.7022072076797485
11,5,잊을 수 없는 바르샤바,법학과,학부,2014,/partner/expReport.asp?id=7444&page=2&bgbn=R,0.8431291580200195
12,4,낯설지만 매력적인 바르샤바에서의 일년,경제학과,학부,2013-2014,/partner/expReport.asp?id=7279&page=2&bgbn=R,0.82778000831604
13,3,여행보다는 살기에 매력적인 곳. 폴란드 그리고 바르샤바.,경제학과,학부,2012-2013,/partner/expReport.asp?id=6659&page=2&bgbn=R,0.9069585800170898
14,2,바르샤바에서의 일년,사회학과,학부,2012,/partner/expReport.asp?id=6249&page=2&bgbn=R,0.727751612663269
15,1,"동유럽에서의 한 학기, 우리에겐 너무나 낯선 폴란드에서의 잊지못할 기억",문화인류학과,학부,2011,/partner/expReport.asp?id=5547&page=2&bgbn=R,0.9628779292106628
