,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,16,극동연방대학교 가을학기,동아시아국제학부,학부,2019,/partner/expReport.asp?id=16117&page=1&bgbn=R,1,0.6201567053794861
1,15,극동연방대학교에서의 봄 학기,응용통계학과,학부,2018,/partner/expReport.asp?id=14892&page=1&bgbn=R,1,0.7044684290885925
2,14,러시아에서의 첫 생활,노어노문학과,학부,2015,/partner/expReport.asp?id=12560&page=1&bgbn=R,1,0.8003073334693909
3,13,가장 가까운 유럽 블라디보스톡,노어노문학과,학부,2014,/partner/expReport.asp?id=7141&page=1&bgbn=R,0,0.3876922130584717
4,12,블라디보스톡에서의 한 학기,노어노문학과,학부,2014,/partner/expReport.asp?id=7135&page=1&bgbn=R,0,0.5334954261779785
5,11,인상깊었던 블라디보스톡,정치외교학과,학부,2007-2008,/partner/expReport.asp?id=3352&page=1&bgbn=R,1,0.9156747460365295
6,10,블라디보스톡 극동대학교,노어노문학과,학부,2007,/partner/expReport.asp?id=3051&page=1&bgbn=R,1,0.31203868985176086
7,9,블라디보스톡 연가,신학과,학부,2007,/partner/expReport.asp?id=2912&page=1&bgbn=R,0,0.36317571997642517
8,8,극동대학교를 다녀와서,노어노문학과,학부,2006-2007,/partner/expReport.asp?id=2804&page=1&bgbn=R,0,0.7407209277153015
9,7,가장 소중했던 시간 중 하나-경험보고서,국어국문학과,학부,2007,/partner/expReport.asp?id=2700&page=1&bgbn=R,0,0.9141161441802979
10,6,극동국립대학교 경험보고서,노어노문학과,학부,2007,/partner/expReport.asp?id=2599&page=2&bgbn=R,0,0.7629576325416565
11,5,"숨겨진 파라다이스, Vladivostok!",노어노문학과,학부,2006,/partner/expReport.asp?id=2326&page=2&bgbn=R,1,0.5156715512275696
12,4,블라디보스톡 극동대학교,노어노문학과,학부,2006,/partner/expReport.asp?id=2312&page=2&bgbn=R,1,0.31203868985176086
13,3,블라디보스톡,노어노문학과,학부,2006,/partner/expReport.asp?id=2152&page=2&bgbn=R,0,0.336436003446579
14,2,블라디보스토크-극동 대학교,일반대학원,대학원,2004,/partner/expReport.asp?id=1416&page=2&bgbn=R,1,0.5580716133117676
15,1,유럽 속의 아시아-블라디보스톡 극동국립대학교,경영학전공,학부,2003,/partner/expReport.asp?id=1141&page=2&bgbn=R,1,0.3834863007068634
