,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,50,19-2~20-1 상트페테르부르크 국립대학교 교환학생 보고서,노어노문학과,학부,2019-2020,/partner/expReport.asp?id=16620&page=1&bgbn=R,0,0.7173988819122314
1,49,2019-1학기 상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2019,/partner/expReport.asp?id=16339&page=1&bgbn=R,1,0.6532838344573975
2,48,2018-2 상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2018,/partner/expReport.asp?id=15984&page=1&bgbn=R,0,0.6584348678588867
3,47,2018-2학기 상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2018,/partner/expReport.asp?id=15376&page=1&bgbn=R,1,0.6532838344573975
4,46,상트페테르부르크에서의 한 학기,노어노문학과,학부,2018,/partner/expReport.asp?id=15131&page=1&bgbn=R,1,0.731432318687439
5,45,상트페테르부르크 교환학생 경험보고서,노어노문학과,학부,2018-1,/partner/expReport.asp?id=15127&page=1&bgbn=R,1,0.6680845022201538
6,44,상트페테르부르크에서의 교환학생,노어노문학과,학부,2018,/partner/expReport.asp?id=15055&page=1&bgbn=R,0,0.731432318687439
7,43,아름다운 도시 상트페테르부르크에서의 한 학기,노어노문학과,학부,2018,/partner/expReport.asp?id=15038&page=1&bgbn=R,1,0.8214086294174194
8,42,아름다웠던 상트 페테르부르크에서의 1년 교환학생 생활,노어노문학과,학부,2017-2018,/partner/expReport.asp?id=14832&page=1&bgbn=R,1,0.8483929634094238
9,41,상트페테르부르크 국립대학에서의 생활,노어노문학과,학부,2017,/partner/expReport.asp?id=14592&page=1&bgbn=R,1,0.6780000329017639
10,40,상트페테르부르크 대학교 교환학생 경험 보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14475&page=2&bgbn=R,0,0.7741761803627014
11,39,상트페테르부르크 국립 대학에서의 가을학기,노어노문학과,학부,2017,/partner/expReport.asp?id=14470&page=2&bgbn=R,1,0.8195828199386597
12,38,상트페테르부르크,노어노문학과,학부,2017,/partner/expReport.asp?id=14466&page=2&bgbn=R,1,0.50729900598526
13,37,상트페테르부르크 경험보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14282&page=2&bgbn=R,1,0.6901764869689941
14,36,2016-2 상트페테르부르크 국립대학교,노어노문학과,학부,2016,/partner/expReport.asp?id=14280&page=2&bgbn=R,0,0.608850359916687
15,35,2017-1 상트페테르부르크 국립대학교,노어노문학과,학부,2017-1,/partner/expReport.asp?id=14277&page=2&bgbn=R,1,0.608850359916687
16,34,상트페테르부르크 국립대학교 파견 보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14169&page=2&bgbn=R,1,0.7429262399673462
