,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,47,"살고 싶은 나라 스웨덴, 평화로운 도시 욘쇼핑",경영학과,학부,2014,/partner/expReport.asp?id=7265&page=1&bgbn=R,0,0.7224574089050293
1,46,Jonkoping International Business School,경제학과,학부,2013,/partner/expReport.asp?id=6970&page=1&bgbn=R,1,0.5123575925827026
2,45,JIBS에서의 평화로운 가을학기,경제학과,학부,2013,/partner/expReport.asp?id=6960&page=1&bgbn=R,1,0.8744552135467529
3,44,진정한 인터네셔널한 학교,의류환경학과,학부,2013,/partner/expReport.asp?id=6952&page=1&bgbn=R,1,0.8935192823410034
4,43,JIBS!,경영학과,학부,2012-2013,/partner/expReport.asp?id=6797&page=1&bgbn=R,1,0.5230967998504639
5,42,Exchange Program in JIBS,동아시아국제학부,학부,2013-1,/partner/expReport.asp?id=6606&page=1&bgbn=R,0,0.5123575925827026
6,41,욘쇼핑에서 보낸 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6544&page=1&bgbn=R,0,0.5980356335639954
7,40,아름다운 나라 스웨덴으로 오세요,의류환경학/경영학,학부,2012,/partner/expReport.asp?id=6282&page=1&bgbn=R,1,0.8506731986999512
8,39,미국 유럽 고민될 땐. 그냥 스웨덴 하시죠.,경영학과,학부,2012,/partner/expReport.asp?id=6012&page=1&bgbn=R,1,0.5669100284576416
9,38,새로운즐거움과 고민을 안겨준 1년,경영학과,학부,2011-2012,/partner/expReport.asp?id=5946&page=1&bgbn=R,0,0.950302243232727
10,37,스웨덴에서의 잊지못할 가을학기,경제학과,학부,2011,/partner/expReport.asp?id=5526&page=2&bgbn=R,1,0.9101068377494812
11,36,인생 최고의 1년,경영학과,학부,2011,/partner/expReport.asp?id=5463&page=2&bgbn=R,1,0.9329792857170105
12,35,교환학생최고의대학,경영학과,학부,2011,/partner/expReport.asp?id=5407&page=2&bgbn=R,1,0.6927691698074341
13,34,욘쇼핑~!,경영학과,학부,2011,/partner/expReport.asp?id=5370&page=2&bgbn=R,1,0.4017478823661804
14,33,"Hejhej, JIBS :)",경제학과,학부,2011,/partner/expReport.asp?id=5181&page=2&bgbn=R,1,0.5123575925827026
15,32,Hej hej,행정학과,학부,2011,/partner/expReport.asp?id=5178&page=2&bgbn=R,1,0.5230967998504639
16,31,전혀 다른 곳에서의 1년,경영학과,학부,2010-2011,/partner/expReport.asp?id=4984&page=2&bgbn=R,0,0.4822704493999481
