,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,36,웁살라 대학교 교환가기,행정학과,학부,2020,/partner/expReport.asp?id=16617&page=1&bgbn=R,0,0.5945645570755005
1,35,웁살라대학교 경험보고서,컴퓨터과학과,학부,2020,/partner/expReport.asp?id=16498&page=1&bgbn=R,0,0.7448160648345947
2,34,코로나-19로 인한 약 2개월간의 교환 경험,컴퓨터과학과,학부,2020,/partner/expReport.asp?id=16493&page=1&bgbn=R,0,0.42368629574775696
3,33,행복했던 웁살라 대학교,컴퓨터과학과,학부,2019,/partner/expReport.asp?id=16357&page=1&bgbn=R,1,0.8887385725975037
4,32,웁살라 대학교,실내건축학과,학부,2019,/partner/expReport.asp?id=16293&page=1&bgbn=R,0,0.5892336368560791
5,31,웁살라에서의 한 학기,사회복지학과,학부,2019,/partner/expReport.asp?id=16106&page=1&bgbn=R,0,0.645369291305542
6,30,평화로운 웁살라,컴퓨터과학과,학부,2019,/partner/expReport.asp?id=16010&page=1&bgbn=R,1,0.7200877666473389
7,29,다시 돌아가고 싶은 스웨덴에서의 한 학기,아동가족학과,학부,2019,/partner/expReport.asp?id=15985&page=1&bgbn=R,1,0.9318293929100037
8,28,웁살라에서 보낸 행복했던 한 학기,컴퓨터과학과,학부,2019,/partner/expReport.asp?id=15870&page=1&bgbn=R,1,0.8711195588111877
9,27,평화로운 웁살라의 한 학기,컴퓨터과학과,학부,2019,/partner/expReport.asp?id=15820&page=1&bgbn=R,1,0.7238301038742065
10,26,그리운 웁살라에서의 한 학기,창의기술경영,학부,2019,/partner/expReport.asp?id=15779&page=2&bgbn=R,1,0.7503554821014404
11,25,"좋은 나라, 좋은 대학.",컴퓨터과학과,학부,2019,/partner/expReport.asp?id=15658&page=2&bgbn=R,1,0.7618136405944824
12,24,좋은 꿈을 꾸고 온 것 같습니다.,영어영문학과,학부,2019,/partner/expReport.asp?id=15629&page=2&bgbn=R,1,0.9295492172241211
13,23,정말 좋았던 웁살라말라이쿰,생활디자인학과,학부,2018,/partner/expReport.asp?id=15455&page=2&bgbn=R,1,0.7800107598304749
14,22,여유롭고 아름다운 도시 웁살라,생화학과,학부,2018,/partner/expReport.asp?id=15028&page=2&bgbn=R,1,0.9241429567337036
15,21,여유로움이 퐁퐁 쏟아졌던 웁살라,응용통계학과,학부,2018,/partner/expReport.asp?id=15027&page=2&bgbn=R,1,0.8417261838912964
16,20,행복했던 도시 웁살라,응용통계학과,학부,2017,/partner/expReport.asp?id=14753&page=2&bgbn=R,1,0.8892633318901062
17,19,웁살라대학교에서의 색다른 경험,컴퓨터과학과,학부,2017,/partner/expReport.asp?id=14539&page=2&bgbn=R,1,0.9150059223175049
18,18,평화로운 도시 웁살라,컴퓨터과학솨,학부,2017,/partner/expReport.asp?id=14523&page=2&bgbn=R,1,0.7355773448944092
19,17,참 좋았던 웁살라에서의 한 학기,사회복지학과,학부,2017,/partner/expReport.asp?id=14381&page=2&bgbn=R,1,0.7678296566009521
20,16,"웁살라 대학교 : 겨울, 그리고 봄",경제학과,학부,2017,/partner/expReport.asp?id=14072&page=3&bgbn=R,1,0.8808226585388184
21,15,행복한 웁살라,사회학과,학부,2016,/partner/expReport.asp?id=13852&page=3&bgbn=R,1,0.9011054635047913
22,14,북유럽 특유의 정서를 느껴본 독특한 경험,생활디자인학과,학부,2016,/partner/expReport.asp?id=13673&page=3&bgbn=R,1,0.8853701949119568
23,13,한적한 도시,글로벌행정학과,학부,2016,/partner/expReport.asp?id=13157&page=3&bgbn=R,0,0.3858796954154968
24,12,조용하고 아늑한 웁살라,컴퓨터과학과,학부,2016,/partner/expReport.asp?id=13064&page=3&bgbn=R,1,0.6653017401695251
25,11,"여유가 있는 도시 Uppsala, Sweden",컴퓨터과학과,학부,2015,/partner/expReport.asp?id=12532&page=3&bgbn=R,1,0.7919522523880005
26,10,"자연과 대학생활을 동시에 느낄 수 있는 곳, 웁살라!",경영학과,학부,2015,/partner/expReport.asp?id=12285&page=3&bgbn=R,1,0.9270368218421936
27,9,"대학생을 위한 도시, 웁살라!",교육학과/경영학과,학부,2015,/partner/expReport.asp?id=12213&page=3&bgbn=R,1,0.5244014859199524
28,8,잊지 못할 웁살라,국어국문학과,학부,2015,/partner/expReport.asp?id=12094&page=3&bgbn=R,1,0.898155689239502
29,7,신선함이 기다리고있는 웁살라,사회복지학과,학부,2014,/partner/expReport.asp?id=11795&page=3&bgbn=R,1,0.9334211945533752
30,6,여유로운 생활을 즐길 수 있었던 웁살라,의류환경학과,학부,2014,/partner/expReport.asp?id=10717&page=4&bgbn=R,1,0.9280734658241272
31,5,다시 가고 싶은 웁살~라,사학과,학부,2013-2014,/partner/expReport.asp?id=7454&page=4&bgbn=R,1,0.8517619371414185
32,4,"학생을 위한 도시, 웁살라!",경영학과,학부,2013,/partner/expReport.asp?id=6565&page=4&bgbn=R,1,0.6574097871780396
33,3,"웁살라, 다시가고싶은 곳",응용통계학과,학부,2013,/partner/expReport.asp?id=6470&page=4&bgbn=R,1,0.5343630313873291
34,2,다시 가고 싶은 스웨덴,경영학과,학부,2012,/partner/expReport.asp?id=6291&page=4&bgbn=R,1,0.8340890407562256
35,1,Uppsala 작지만 모든 것을 경험할 수 있는 곳,경영대학,학부,2012,/partner/expReport.asp?id=6213&page=4&bgbn=R,1,0.85263592004776
