,No,제목,학과,과정,년도,href,RNN_SCORE
0,28,아름다운 추억이 될 예테보리,영어영문학과,학부,2019,/partner/expReport.asp?id=16566&page=1&bgbn=R,0.9471192955970764
1,27,힐링이 하고싶다면 스웨덴으로,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=16537&page=1&bgbn=R,0.8900154829025269
2,26,"예테보리, 그리고 북유럽에서의 겨울",글로벌 엘리트,학부,2018-2019,/partner/expReport.asp?id=16438&page=1&bgbn=R,0.7230452299118042
3,25,하루하루가 새로운 경험이었던 예테보리에서의 1년,정치외교학과,학부,2018-2019,/partner/expReport.asp?id=15674&page=1&bgbn=R,0.9222002029418945
4,24,여유롭고 행복했던 예테보리에서의 한 학기,사학과,학부,2018,/partner/expReport.asp?id=15342&page=1&bgbn=R,0.889541506767273
5,23,인생에서 최고로 여유로웠던 8개월,영어영문학과,학부,2018,/partner/expReport.asp?id=15008&page=1&bgbn=R,0.9569610953330994
6,22,여유와 행복을 준 예테보리,생명공학과,학부,2018,/partner/expReport.asp?id=14901&page=1&bgbn=R,0.8555963039398193
7,21,예테보리 대학교 파견 보고서,경제학과,학부,2017-2018,/partner/expReport.asp?id=14872&page=1&bgbn=R,0.7641834020614624
8,20,비슷하면서도 다른 그곳 예테보리,아동가족/경제,학부,2017,/partner/expReport.asp?id=14253&page=1&bgbn=R,0.8053891658782959
9,19,"여유롭고 평화로운 삶, 예테보리 대학교",영어영문학과,학부,2015,/partner/expReport.asp?id=13836&page=1&bgbn=R,0.8965839147567749
10,18,그리운 예테보리 대학교,영어영문학과,학부,2016,/partner/expReport.asp?id=13756&page=2&bgbn=R,0.7548020482063293
11,17,여유가 넘치는 도시와 함께했던 예테보리 대학 생활,생활디자인학과,학부,2016,/partner/expReport.asp?id=13706&page=2&bgbn=R,0.6801061034202576
12,16,A beautiful city,Underwood Division,학부,2015-2016,/partner/expReport.asp?id=13082&page=2&bgbn=R,0.515648603439331
13,15,예테보리 대학,사학과,학부,2015,/partner/expReport.asp?id=12684&page=2&bgbn=R,0.4574654698371887
14,14,다시는 하지 못할 경험!,중어중문학과,학부,2015,/partner/expReport.asp?id=12284&page=2&bgbn=R,0.21552187204360962
15,13,"언젠가 꼭 한 번 더 돌아가고 싶은 도시, 예테보리!",국어국문학과,학부,2015,/partner/expReport.asp?id=12184&page=2&bgbn=R,0.8681732416152954
16,12,예테보리 대학,천문우주학과,학부,2014,/partner/expReport.asp?id=10697&page=2&bgbn=R,0.4574654698371887
17,11,작지만 아름다운 예테보리,경제학과,학부,2014,/partner/expReport.asp?id=7345&page=2&bgbn=R,0.9087725877761841
18,10,예테보리 대학교,지구시스템과학과,학부,2014,/partner/expReport.asp?id=7289&page=2&bgbn=R,0.6597392559051514
19,9,예테보리 대학교,행정학과,학부,2013,/partner/expReport.asp?id=6847&page=2&bgbn=R,0.6597392559051514
20,8,그리운 예테보리,노어노문학과,학부,2013,/partner/expReport.asp?id=6554&page=3&bgbn=R,0.7412612438201904
21,7,"사랑스러운 도시, 예테보리",경영학과,학부,2012-13,/partner/expReport.asp?id=6543&page=3&bgbn=R,0.886443555355072
22,6,예테보리 대학교,영어영문학과,학부,2013,/partner/expReport.asp?id=6496&page=3&bgbn=R,0.6597392559051514
23,5,예테보리 대학교,행정학과,학부,2013,/partner/expReport.asp?id=6434&page=3&bgbn=R,0.6597392559051514
24,4,소중했던 예테보리의 시간들,영어영문학과,학부,2012-1,/partner/expReport.asp?id=5870&page=3&bgbn=R,0.517661988735199
25,3,북유럽의 귀염둥이 예테보리,문화인류학과,학부,2012,/partner/expReport.asp?id=5726&page=3&bgbn=R,0.36149919033050537
26,2,University of Gothenburg,생명시스템대학 생물학,학부,2011,/partner/expReport.asp?id=5501&page=3&bgbn=R,0.515648603439331
27,1,예테보리 대학교,수학과,학부,2011,/partner/expReport.asp?id=5428&page=3&bgbn=R,0.6597392559051514
