,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,81,속세에서 벗어나 힐링하고 온 날들,"국어국문학과, 경영학과",학부,2020,/partner/expReport.asp?id=16549&page=1&bgbn=R,1,0.6226286292076111
1,80,"인생의 전환점이 되어준, 감사했던 1년 교환 생활",언더우드학부 경제학전공,학부,2019-2020,/partner/expReport.asp?id=16412&page=1&bgbn=R,1,0.9022181630134583
2,79,NTU에서의 한 학기,생명공학과,학부,2019,/partner/expReport.asp?id=16337&page=1&bgbn=R,1,0.645369291305542
3,78,NTU 에서의 한 학기,언더우드국제대학 에너지환경융합과,학부,2019,/partner/expReport.asp?id=16211&page=1&bgbn=R,1,0.645369291305542
4,77,행복했던 NTU에서의 한 학기,의공학부,학부,2019,/partner/expReport.asp?id=16135&page=1&bgbn=R,1,0.8898738622665405
5,76,NTU에서의 한 학기,응용통계학과,학부,2019,/partner/expReport.asp?id=16124&page=1&bgbn=R,1,0.645369291305542
6,75,"가깝고도 먼 나라, 싱가포르에서의 한학기",문화인류학과,학부,2019,/partner/expReport.asp?id=16058&page=1&bgbn=R,1,0.4398218095302582
7,74,"조화로운 더운 나라, 싱가포르",경영학과,학부,2019,/partner/expReport.asp?id=15812&page=1&bgbn=R,1,0.40889689326286316
8,73,NTU 좋아요 여러분,전기전자공학부,학부,2019,/partner/expReport.asp?id=15671&page=1&bgbn=R,1,0.6665512919425964
9,72,NTU에서 교환의 경험,화공생명공학과,학부,2019,/partner/expReport.asp?id=15662&page=1&bgbn=R,0,0.45703208446502686
10,71,NTU에서의 한 학기,신소재공학과,학부,2019,/partner/expReport.asp?id=15621&page=2&bgbn=R,1,0.645369291305542
11,70,"싱가폴, 그리고 난양공대에서의 일년",문화디자인경영학과,학부,2018-2019,/partner/expReport.asp?id=15620&page=2&bgbn=R,1,0.7357351183891296
12,69,NTU에서의 한학기를 정리하며,생명공학과,학부,2019,/partner/expReport.asp?id=15612&page=2&bgbn=R,1,0.7730504274368286
13,68,NTU 봄학기 교환학생,화공생명공학과,학부,2019,/partner/expReport.asp?id=15582&page=2&bgbn=R,1,0.5314491391181946
14,67,싱가포르에서의 4개월,생활디자인학과/경영학과,학부,2019,/partner/expReport.asp?id=15570&page=2&bgbn=R,1,0.7335414290428162
15,66,싱가폴 교환학생,기계공학부,학부,2018,/partner/expReport.asp?id=15151&page=2&bgbn=R,0,0.48335328698158264
