,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,12,행복했던 정치대학교 교환학생 생활,중어중문학과,학부,2016,/partner/expReport.asp?id=13585&page=1&bgbn=R,1,0.8938746452331543
1,11,Student Exchange Life in NCCU,UD - Economics,학부,2016,/partner/expReport.asp?id=13351&page=1&bgbn=R,0,0.5122702717781067
2,10,Life Changing Experience in NCCU,UD - Economics,학부,2016,/partner/expReport.asp?id=13350&page=1&bgbn=R,1,0.5122702717781067
3,9,대만 정치 대학,신문방송/언론홍보영상,학부,2015,/partner/expReport.asp?id=12571&page=1&bgbn=R,0,0.5194833278656006
4,8,국립정치대,중어중문학과,학부,2015,/partner/expReport.asp?id=12199&page=1&bgbn=R,1,0.5576479434967041
5,7,정치대학교,심리학과,학부,2015,/partner/expReport.asp?id=12158&page=1&bgbn=R,1,0.6601253747940063
6,6,정치대학교에서의 1년,아시아학과,학부,2014-2015,/partner/expReport.asp?id=12034&page=1&bgbn=R,1,0.7688134908676147
7,5,My Experience at NCCU,Underwood International College,학부,2014,/partner/expReport.asp?id=7399&page=1&bgbn=R,1,0.5123575925827026
8,4,그리운 학교 그리운 친구들,영어영문학과,학부,2011-2012,/partner/expReport.asp?id=5527&page=1&bgbn=R,1,0.8652048707008362
9,3,정치대학교에서의 1년,중어중문학과,학부,2010,/partner/expReport.asp?id=4722&page=1&bgbn=R,1,0.7688134908676147
10,2,타이베이 국립 정치대학교에서의 6개월,중어중문학과,학부,2010,/partner/expReport.asp?id=4372&page=2&bgbn=R,1,0.7108374834060669
11,1,꿈같던 정치대학교에서의 교환학생,철학과,학부,2009,/partner/expReport.asp?id=3751&page=2&bgbn=R,0,0.8993631601333618
