,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,39,안녕 워싱턴 디씨,언더우드학부 국제학과,학부,2019-2020,/partner/expReport.asp?id=16583&page=1&bgbn=R,0,0.7346398234367371
1,38,워싱턴 디씨에서의 한학기,언더우드학부 정치외교학과,학부,2019,/partner/expReport.asp?id=16197&page=1&bgbn=R,1,0.8237409591674805
2,37,많은 경험을 할 수 있었던 디씨에서의 한 학기,언더우드학부 정치외교학과,학부,2019,/partner/expReport.asp?id=16102&page=1&bgbn=R,0,0.8556665778160095
3,36,많은 생각을 하게 했던 디씨에서의 1년,언더우드학부 정치외교학과,학부,2019,/partner/expReport.asp?id=16092&page=1&bgbn=R,0,0.8070449829101562
4,35,워싱턴 디씨,영어영문학과,학부,2019,/partner/expReport.asp?id=16077&page=1&bgbn=R,1,0.8008739948272705
5,34,아름다운 디씨에서의 한 학기,경영학과,학부,2019,/partner/expReport.asp?id=16004&page=1&bgbn=R,0,0.8807148337364197
6,33,Unforgettable Experience in the Heart of D.C.,UIC PSIR,학부,2018-2019,/partner/expReport.asp?id=15598&page=1&bgbn=R,1,0.5640531182289124
7,32,가지 않았다면 후회했을 교환학기,경영학과,학부,2018,/partner/expReport.asp?id=14930&page=1&bgbn=R,1,0.7160505652427673
8,31,잊을 수 없는 교환학기,경제학부,학부,2018,/partner/expReport.asp?id=14792&page=1&bgbn=R,1,0.7874762415885925
9,30,나를 찾을 수 있었던 시간,언더우드학부 경제학과,학부,2018,/partner/expReport.asp?id=14785&page=1&bgbn=R,1,0.8407628536224365
10,29,디씨에서의 즐거웠던 한 학기!,불어불문학과,학부,2017,/partner/expReport.asp?id=14607&page=2&bgbn=R,1,0.9013980627059937
11,28,교환학생은 '처음'이다.,경영학과,학부,2017,/partner/expReport.asp?id=14394&page=2&bgbn=R,1,0.48187050223350525
12,27,잊지 못할 디씨에서의 한 학기,언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14191&page=2&bgbn=R,1,0.8951096534729004
