,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,34,Akron에서의 한학기,신문방송학과,학부,2012,/partner/expReport.asp?id=6719&page=1&bgbn=R,1,0.731432318687439
1,33,즐거웠고 감사하고 그리운 애크런 생활,정치외교학과,학부,2012,/partner/expReport.asp?id=6055&page=1&bgbn=R,1,0.9699549674987793
2,32,잊지못할 Akron에서의 한 학기,경영학과,학부,2011,/partner/expReport.asp?id=5317&page=1&bgbn=R,1,0.8877629041671753
3,31,평생 잊을 수 없는 소중한 추억을 만들어 준 곳! Akron!!,전기전자공학,학부,2011,/partner/expReport.asp?id=5268&page=1&bgbn=R,1,0.9709277749061584
4,30,그리운 U Akron,식품영양학과,학부,2011,/partner/expReport.asp?id=4919&page=1&bgbn=R,1,0.7133967280387878
5,29,"소중했던 기억, 미국에서의 1년.",신문방송학과,학부,2010-2011,/partner/expReport.asp?id=4914&page=1&bgbn=R,1,0.7647594213485718
6,28,애크론대학교에서의 한 학기,경제학과,학부,2011,/partner/expReport.asp?id=4860&page=1&bgbn=R,1,0.571233332157135
7,27,잊지못할 애크론 1년,경영학과,학부,2010,/partner/expReport.asp?id=4768&page=1&bgbn=R,0,0.8836835622787476
8,26,UA에서 특별한 경험,교육학과,학부,2010,/partner/expReport.asp?id=4687&page=1&bgbn=R,0,0.8182724714279175
9,25,U Akron Guide,화학과,학부,2008,/partner/expReport.asp?id=4248&page=1&bgbn=R,1,0.515648603439331
10,24,추억 속의 학교-University of Akron,영어영문학,학부,2007-2008,/partner/expReport.asp?id=4020&page=2&bgbn=R,1,0.8935941457748413
11,23,애크론에서의 소중한 1년,신학과,학부,2008-2009,/partner/expReport.asp?id=3827&page=2&bgbn=R,0,0.7012732625007629
12,22,"평범한 한 학기를 특별하게 만들어준 곳, 애크론",화학공학과,학부,2008,/partner/expReport.asp?id=3405&page=2&bgbn=R,1,0.7158312201499939
13,21,U of Akron,건축학과,학부,2007,/partner/expReport.asp?id=3251&page=2&bgbn=R,1,0.515648603439331
14,20,"소박한 미국의 삶, 애크론-",영어영문학과,학부,2007-2008,/partner/expReport.asp?id=3102&page=2&bgbn=R,1,0.663977324962616
15,19,애크론에서의 잊지못할 한학기,경영대학 경영학과,학부,2006,/partner/expReport.asp?id=2428&page=2&bgbn=R,1,0.8475667834281921
16,18,애크론에서의 한학기,정치외교학과,학부,2006,/partner/expReport.asp?id=2342&page=2&bgbn=R,1,0.5514780879020691
17,17,애크론에서의 교환학생생활,의용전자공학과,학부,2006,/partner/expReport.asp?id=2333&page=2&bgbn=R,0,0.5444828271865845
18,16,Akron에서의 1년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2157&page=2&bgbn=R,0,0.731432318687439
19,15,U of Akron,"교육, 영문",학부,2004-2005,/partner/expReport.asp?id=1953&page=2&bgbn=R,1,0.515648603439331
20,14,Akron에서의 1년,경영학과,학부,2005,/partner/expReport.asp?id=1884&page=3&bgbn=R,0,0.731432318687439
21,13,Akron에서 돌아와서,심리학전공,학부,2004,/partner/expReport.asp?id=1478&page=3&bgbn=R,0,0.5951962471008301
22,12,애크론에서의 1년.,신문방송학과,학부,2002-2003,/partner/expReport.asp?id=1332&page=3&bgbn=R,1,0.5848245620727539
23,11,Akron에서의 봄,컴퓨터·산업공학전공,학부,2004,/partner/expReport.asp?id=1184&page=3&bgbn=R,1,0.8535202741622925
24,10,Akron 에서의 교환생활,생명공학전공,학부,2003-2004,/partner/expReport.asp?id=1148&page=3&bgbn=R,0,0.6649593114852905
25,9,University of Akron으로의 교환학생,응용통계학전공,학부,2003,/partner/expReport.asp?id=885&page=3&bgbn=R,1,0.6879982948303223
26,8,Akron에서의 한 학기,체육교육과,학부,2002,/partner/expReport.asp?id=754&page=3&bgbn=R,1,0.731432318687439
27,7,U of Akron - 김기연,인문학부,학부,2001,/partner/expReport.asp?id=690&page=3&bgbn=R,1,0.5122702717781067
28,6,U of Akron - 정원주,상경대학,학부,2000-2001,/partner/expReport.asp?id=689&page=3&bgbn=R,1,0.6714878082275391
29,5,U of Akron - 김혜진,상경계열,학부,2000,/partner/expReport.asp?id=688&page=3&bgbn=R,1,0.5122702717781067
30,4,U of Akron - 이희선,경영학전공,학부,2001,/partner/expReport.asp?id=687&page=4&bgbn=R,1,0.5122702717781067
31,3,U of Akron - 임선희,의공학전공,학부,1999-2000,/partner/expReport.asp?id=686&page=4&bgbn=R,1,0.5122702717781067
32,2,U of Akron - 구본원,영어영문학전공,학부,1999,/partner/expReport.asp?id=685&page=4&bgbn=R,1,0.6119871139526367
33,1,U of Akron - 김인숙,교육학과,학부,1998,/partner/expReport.asp?id=684&page=4&bgbn=R,1,0.30039548873901367
