No,제목,학과,과정,년도,href,BERT_SCORE
44,2019-2,글로벌인재학부,학부,2019,/partner/expReport.asp?id=16272&page=1&bgbn=R,0
43,2018-2 UNSW 교환생활,UD 국제학과,학부,2018,/partner/expReport.asp?id=15470&page=1&bgbn=R,0
42,2018학년도 2학기 UNSW에서의 교환생활,치의예과,학부,2018,/partner/expReport.asp?id=15207&page=1&bgbn=R,1
41,두 학기 UNSW 교환 생활,응용통계학과,학부,2017-2018,/partner/expReport.asp?id=14951&page=1&bgbn=R,0
40,교환학생을 다니면서,사학과,학부,2016,/partner/expReport.asp?id=13145&page=1&bgbn=R,0
39,2015-2 UNSW 교환학생 생활,컴퓨터과학과,학부,2015,/partner/expReport.asp?id=12403&page=1&bgbn=R,0
38,UNSW 에서 2014-1학기,경제학,학부,2014,/partner/expReport.asp?id=7407&page=1&bgbn=R,1
37,짧지만 소중했던 UNSW에서의 한 학기,정치외교학과,학부,2014,/partner/expReport.asp?id=7283&page=1&bgbn=R,1
36,"University of New South Wales, Australian School of Business",GSIS,대학원,2013,/partner/expReport.asp?id=6869&page=1&bgbn=R,1
35,UNSW의 교환생활,신학과,학부,2013,/partner/expReport.asp?id=6811&page=1&bgbn=R,0
34,필독 UNSW교환학생,경제학과,학부,2013,/partner/expReport.asp?id=6786&page=2&bgbn=R,1
33,"UNSW, 그리고 시드니에서의 소중했던 5개월",경제학과,학부,2013,/partner/expReport.asp?id=6625&page=2&bgbn=R,1
32,2013 1학기 UNSW,경영학과,학부,2013,/partner/expReport.asp?id=6616&page=2&bgbn=R,1
31,UNSW에서의 한 학기,도시공학과,학부,2013,/partner/expReport.asp?id=6487&page=2&bgbn=R,1
30,교환학생 보고서,국어국문학과,학부,2012,/partner/expReport.asp?id=6205&page=2&bgbn=R,0
29,UNSW,경영학과,학부,2012,/partner/expReport.asp?id=5856&page=2&bgbn=R,0
28,unsw에서의 한학기,경영학과,학부,2011,/partner/expReport.asp?id=5330&page=2&bgbn=R,1
27,시드니에서의 5개월,전기전자공학,학부,2011,/partner/expReport.asp?id=5247&page=2&bgbn=R,1
26,:),건축학과,학부,2011,/partner/expReport.asp?id=5235&page=2&bgbn=R,0
25,UNSW에서의 한 학기,치의예과,학부,2011,/partner/expReport.asp?id=5223&page=2&bgbn=R,1
24,짧지만 알찼던 unsw에서의 봄.,경영학과,학부,2009,/partner/expReport.asp?id=4173&page=3&bgbn=R,1
23,UNSW에서의 한학기!,정치외교학과,학부,2009,/partner/expReport.asp?id=4022&page=3&bgbn=R,1
22,UNSW 2008년,기계공학과,학부,2008,/partner/expReport.asp?id=3450&page=3&bgbn=R,1
21,UNSW 에서의 기억.,전기전자 공학부,학부,2008,/partner/expReport.asp?id=3337&page=3&bgbn=R,1
20,내 생에 가장 소중했던 순간,생화학과,학부,2007-2008,/partner/expReport.asp?id=3255&page=3&bgbn=R,1
19,세계에서 인정받는 대학을 꿈꾸는 UNSW,신문방송학과,학부,2007,/partner/expReport.asp?id=2699&page=3&bgbn=R,1
18,UNSW 경험 보고서 - 2006년 2학기,컴퓨터 과학과,학부,2006,/partner/expReport.asp?id=2321&page=3&bgbn=R,1
17,소중했던 UNSW의 한학기,행정학과,학부,2006,/partner/expReport.asp?id=2257&page=3&bgbn=R,1
16,사람을 키우는 나라 호주,경영학과,학부,2005-2006,/partner/expReport.asp?id=2128&page=3&bgbn=R,1
15,UNSW 경험보고서 ^^,영어영문학과,학부,2004,/partner/expReport.asp?id=1757&page=3&bgbn=R,1
14,시드니에서 보낸 한 학기,문과대학 인문학부,학부,2005,/partner/expReport.asp?id=1631&page=4&bgbn=R,1
13,2005년 시드니에서는,기계공학과,학부,2005,/partner/expReport.asp?id=1625&page=4&bgbn=R,1
12,경험보고서,생명공학전공,학부,2003,/partner/expReport.asp?id=1085&page=4&bgbn=R,0
11,경험보고서,자연과학부,학부,2003,/partner/expReport.asp?id=991&page=4&bgbn=R,0
10,경험보고서 - UNSW,인문학부,학부,2003,/partner/expReport.asp?id=944&page=4&bgbn=R,0
9,시드니 UNSW에서 보낸 1년,유럽어문학부,학부,2001,/partner/expReport.asp?id=858&page=4&bgbn=R,1
8,경험보고서,인문학부,학부,2002,/partner/expReport.asp?id=765&page=4&bgbn=R,0
7,U of New South Wales - 문현승,사회환경건축공학부,학부,2001,/partner/expReport.asp?id=501&page=4&bgbn=R,1
6,U of New South Wales - 문희,영어영문학전공,학부,2001,/partner/expReport.asp?id=469&page=4&bgbn=R,1
5,U of New South Wales - 이지영,인문학부,학부,2000,/partner/expReport.asp?id=356&page=4&bgbn=R,1
4,U of New South Wales-김희정,인문학부,학부,2000,/partner/expReport.asp?id=186&page=5&bgbn=R,1
3,Univ. of New Southen -송단비,사회복지학과,학부,1998-1999,/partner/expReport.asp?id=66&page=5&bgbn=R,0
2,UNSW-권연선,노어노문학전공,학부,1998,/partner/expReport.asp?id=36&page=5&bgbn=R,1
1,UNSW-장우진,경영학전공,학부,1998,/partner/expReport.asp?id=17&page=5&bgbn=R,0
