No,제목,학과,과정,년도,href,BERT_SCORE
91,재밌었던 한학기,아동가족학과,학부,2018,/partner/expReport.asp?id=16669&page=1&bgbn=R,1
90,알버타에서의 한 학기,국어국문학과,학부,2018,/partner/expReport.asp?id=15420&page=1&bgbn=R,1
89,나의 알버타 생활,스포츠응용산업학과,학부,2018,/partner/expReport.asp?id=15385&page=1&bgbn=R,0
88,한적했던 앨버타에서의 가을학기,언론홍보영상학과,학부,2018,/partner/expReport.asp?id=15365&page=1&bgbn=R,1
87,U of A에서의 한 학기,정치외교학과,학부,2018,/partner/expReport.asp?id=15225&page=1&bgbn=R,1
86,University of Alberta - Fall 2017,"International Trade, Finance and Management",대학원,2017,/partner/expReport.asp?id=14650&page=1&bgbn=R,1
85,평온했던 알버타에서의 삶,교육학과,학부,2017,/partner/expReport.asp?id=14498&page=1&bgbn=R,1
84,에드먼턴에서의 가을 그리고 겨울,영어영문학과,학부,2015,/partner/expReport.asp?id=14323&page=1&bgbn=R,1
83,에드먼튼에서의 겨울과 봄,영어영문,학부,2016,/partner/expReport.asp?id=14311&page=1&bgbn=R,1
82,에드먼튼에서 보낸 겨울,영어영문학과,학부,2017,/partner/expReport.asp?id=14162&page=1&bgbn=R,1
81,Uni,신학과,학부,2016,/partner/expReport.asp?id=13537&page=2&bgbn=R,0
80,행복한 경험이였던 u of a,전기전자공학부,학부,2016,/partner/expReport.asp?id=13219&page=2&bgbn=R,1
79,그리운 UofA,경영학과,학부,2015,/partner/expReport.asp?id=13065&page=2&bgbn=R,1
78,"UOA, 2015 가을학기",신소재공학과,학부,2015,/partner/expReport.asp?id=12750&page=2&bgbn=R,0
77,2015 -2 University of Alberta,심리학과,학부,2015,/partner/expReport.asp?id=12742&page=2&bgbn=R,0
76,행복했던 알버타에서의 한 학기,경제학과,학부,2015,/partner/expReport.asp?id=12669&page=2&bgbn=R,1
75,2015 가을학기 university of alberta,신소재공학과,학부,2015,/partner/expReport.asp?id=12645&page=2&bgbn=R,1
74,두 번 가고 싶은 내 교환 생활,경영학과,학부,2015,/partner/expReport.asp?id=12634&page=2&bgbn=R,0
73,2015년 가을 University of Alberta,국어국문학과,학부,2015,/partner/expReport.asp?id=12612&page=2&bgbn=R,0
72,학우분들의 보다 더 나은 UofA 생활을 위하여,신소재공학과,학부,2015,/partner/expReport.asp?id=12274&page=2&bgbn=R,0
71,내 인생에서 잊지 못할 추억들,사회학과,학부,2015,/partner/expReport.asp?id=12233&page=3&bgbn=R,1
70,앨버타에서의 한 학기,경영학과,학부,2015,/partner/expReport.asp?id=11954&page=3&bgbn=R,1
69,아름다운 대자연과 친절한 사람들이 있는 알버타오 오세요~,행정학과,학부,2015,/partner/expReport.asp?id=11941&page=3&bgbn=R,1
