No,제목,학과,과정,년도,href,BERT_SCORE
91,홍콩중문대에서의 한 학기,보건행정학과,학부,2019,/partner/expReport.asp?id=15554&page=1&bgbn=R,1
90,홍콩중문대학교,응용통계학과,학부,2018,/partner/expReport.asp?id=15413&page=1&bgbn=R,0
89,중문대학교에서의 교환생활,경제,학부,2018-2019,/partner/expReport.asp?id=15370&page=1&bgbn=R,0
88,중문대학교 생활기,응용통계학과,학부,2017-2018,/partner/expReport.asp?id=14982&page=1&bgbn=R,1
87,홍콩중문대,건축학과,학부,2017,/partner/expReport.asp?id=14502&page=1&bgbn=R,0
86,홍콩중문대에서의 교환 생활,경영학과,학부,2017,/partner/expReport.asp?id=14500&page=1&bgbn=R,0
85,짧지만 소중한 기억들,Psychology,학부,2017,/partner/expReport.asp?id=14273&page=1&bgbn=R,0
84,홍콩중문대에서의 한 학기,교육학과,학부,2016,/partner/expReport.asp?id=14221&page=1&bgbn=R,1
83,홍콩 중문대에서의 교환학생 생활,국제관계학과,학부,2017,/partner/expReport.asp?id=14045&page=1&bgbn=R,0
82,중문대학교에서 한학기,노어노문학과,학부,2017,/partner/expReport.asp?id=13912&page=1&bgbn=R,1
81,안가면 후회했을 교환학생,기계공학과,학부,2017,/partner/expReport.asp?id=13905&page=2&bgbn=R,0
80,홍콩중문대 교환학생 파견보고서,경영학과,학부,2016,/partner/expReport.asp?id=13678&page=2&bgbn=R,0
79,다시 돌아가고 싶은 CUHK,컴퓨터과학과,학부,2016,/partner/expReport.asp?id=13109&page=2&bgbn=R,1
78,홍콩중문대학교 (The Chinese University of Hong Kong),국제학부 PSIR,학부,2016,/partner/expReport.asp?id=13108&page=2&bgbn=R,0
77,중문대학 생활기,기계공학,학부,2011,/partner/expReport.asp?id=13105&page=2&bgbn=R,0
76,Asia's Global Capital and the Umbrella Revolution,"UIC, Underwood Division, PSIR",학부,2016,/partner/expReport.asp?id=13101&page=2&bgbn=R,0
75,하루하루가 즐거웠던 홍콩중문대 파견보고서,동아시아국제학부(EIC),학부,2015,/partner/expReport.asp?id=12720&page=2&bgbn=R,1
74,홍콩중문대 파견보고서,정치외교학과,학부,2015,/partner/expReport.asp?id=12485&page=2&bgbn=R,0
73,홍콩중문대 교환학생 파견보고서,경영학과,학부,2015,/partner/expReport.asp?id=12409&page=2&bgbn=R,0
72,홍콩 중문대에서의 교환학생 생활,행정학과,학부,2015,/partner/expReport.asp?id=12058&page=2&bgbn=R,0
71,행복했던 한 학기,영어영문학과,학부,2015,/partner/expReport.asp?id=11890&page=3&bgbn=R,1
70,홍콩 중문대에서의 1년 생활 후의 느낌점,동아시아국제학부,학부,2014-2015,/partner/expReport.asp?id=11850&page=3&bgbn=R,0
69,홍콩에서의 즐거웠던 한학기,생활디자인학과,학부,2014,/partner/expReport.asp?id=10765&page=3&bgbn=R,0
68,"홍콩의 뜨거웠던 여름, 중문대에서의 강렬한 기억",문화인류학과,학부,2014,/partner/expReport.asp?id=10761&page=3&bgbn=R,1
67,"별 뜻 없이 갔지만, 뜻깊은 시간을 선사해준 홍콩중문대 교환학생 생활",경제학과,학부,2014,/partner/expReport.asp?id=10677&page=3&bgbn=R,1
66,"2014 가을학기, 홍콩중문대학교 즐거운 교환생활",경영학과,학부,2014,/partner/expReport.asp?id=10663&page=3&bgbn=R,0
65,CUHK에서의 한 학기,국제관계학과,학부,2014,/partner/expReport.asp?id=8612&page=3&bgbn=R,1
64,"야경이 화려한 도시 홍콩, 캠퍼스가 아름다운 대학 중문대",ASD,학부,2014,/partner/expReport.asp?id=8584&page=3&bgbn=R,1
63,"잊지 못할 추억, CUHK와 함께한 한 학기",신소재공학과,학부,2014,/partner/expReport.asp?id=7292&page=3&bgbn=R,1
62,중문대학에서의 여름 계절학기,천문우주학과,학부,2014,/partner/expReport.asp?id=7278&page=3&bgbn=R,1
61,Golden Days in CUHK,영어영문학과,학부,2012-2013,/partner/expReport.asp?id=7240&page=4&bgbn=R,1
60,unforgettable experience at CUHK,언더우드국제학부,학부,2014,/partner/expReport.asp?id=7201&page=4&bgbn=R,1
59,새로운 경험을 안겨준 홍콩중문대학,언더우드국제학부,학부,2014,/partner/expReport.asp?id=7084&page=4&bgbn=R,0
58,"호불호 갈릴만한 중문대, 꼭 잘 알아보샘!",경영학과,학부,2013-2014,/partner/expReport.asp?id=7050&page=4&bgbn=R,1
57,중문대 한학기,응용통계학과,학부,2013,/partner/expReport.asp?id=6902&page=4&bgbn=R,1
56,'캠퍼스라이프'를 즐길 수 있는 중문대학,신문방송학,학부,2013,/partner/expReport.asp?id=6893&page=4&bgbn=R,1
55,중문대에서 보낸 잊지못할 일 년,교육학과,학부,2013,/partner/expReport.asp?id=6825&page=4&bgbn=R,1
54,홍콩중문대학교와의 짧지만 길었던 한학기,응용통계학과,학부,2013,/partner/expReport.asp?id=6808&page=4&bgbn=R,0
53,홍콩중문대학교에서의 잊지못할 한학기,EIC,학부,2013,/partner/expReport.asp?id=6694&page=4&bgbn=R,1
52,unforgettable CUHK!!!!!,경영학과,학부,2013,/partner/expReport.asp?id=6344&page=4&bgbn=R,1
51,대학생활 최고의 선택: 홍콩중문대에서의 교환학생,경영학과,학부,2013,/partner/expReport.asp?id=6333&page=5&bgbn=R,1
50,"Unexpected happiness, The Chinese University of Hong Kong",생명공학과 / 경영학과,학부,2013,/partner/expReport.asp?id=6322&page=5&bgbn=R,1
49,강추 강추 헝꽁쫑먼따이혹,경영학과,학부,2012,/partner/expReport.asp?id=6290&page=5&bgbn=R,1
48,Chinese University of Hong Kong,International studies,학부,2012,/partner/expReport.asp?id=6243&page=5&bgbn=R,1
47,제2의 고향이 된 홍콩,경영학과,학부,2011,/partner/expReport.asp?id=6225&page=5&bgbn=R,0
46,홍콩에서의 소중한 한학기.,동아시아국제학부,학부,2012,/partner/expReport.asp?id=6143&page=5&bgbn=R,1
