No,제목,학과,과정,년도,href,BERT_SCORE
11,깨끗하고 아름다운 도시 항저우에서 중국어를 공부하다,중어중문학과,학부,2019,/partner/expReport.asp?id=15877&page=1&bgbn=R,1
10,절강대학교에서의 한 학기 본과 생활,아시아학부,학부,2018-2,/partner/expReport.asp?id=15616&page=1&bgbn=R,0
9,비중어중문과 학생으로서의 본과 교환생활,응용통계학과,학부,2018-2,/partner/expReport.asp?id=15456&page=1&bgbn=R,1
8,절강대학교에서의 한학기,중어중문학과,학부,2018-1,/partner/expReport.asp?id=14949&page=1&bgbn=R,1
7,절강대에서의 행복했던 한 학기!,교육학과,학부,2018,/partner/expReport.asp?id=14943&page=1&bgbn=R,1
6,절강대 본과생활(1년),경제학과,학부,2017-2018,/partner/expReport.asp?id=14941&page=1&bgbn=R,0
5,절강대에서의 일년 (어학당),중어중문학과,학부,2017,/partner/expReport.asp?id=14478&page=1&bgbn=R,1
4,절강대학교 교환생활 1년(어학당+미디어학부),중어중문학과,학부,2016-2017,/partner/expReport.asp?id=14293&page=1&bgbn=R,0
3,절강대학교에서의 1년,경영학과,학부,2016,/partner/expReport.asp?id=13826&page=1&bgbn=R,0
2,"절강대학교, 그리고 항주",중어중문학과,학부,2015-2016,/partner/expReport.asp?id=13359&page=1&bgbn=R,1
1,즐거운 절강대 생활 룰루랄라,중어중문학과,학부,2015-2016,/partner/expReport.asp?id=13301&page=2&bgbn=R,0
