No,제목,학과,과정,년도,href,BERT_SCORE
27,"정이 들 수밖에 없는 도시, 에어푸르트",독어독문학과,학부,2019,/partner/expReport.asp?id=16524&page=1&bgbn=R,1
26,평화롭고 아름다운 도시 에어푸르트,정치외교학과,학부,2019,/partner/expReport.asp?id=16402&page=1&bgbn=R,1
25,에르푸르트에서의 한 학기,노어노문학과,학부,2019,/partner/expReport.asp?id=16045&page=1&bgbn=R,1
24,에르푸르트 대학,비교문학문화,학부,2018-2019,/partner/expReport.asp?id=15960&page=1&bgbn=R,1
23,비독문과로서 독일 소도시에서 지내기,국어국문학과,학부,2018,/partner/expReport.asp?id=15469&page=1&bgbn=R,1
22,에어푸르트 교환학생 후기,독어독문학과,학부,2017-2018,/partner/expReport.asp?id=15357&page=1&bgbn=R,1
21,에어푸르트 대학,교육학과,학부,2015,/partner/expReport.asp?id=13126&page=1&bgbn=R,1
20,에어푸르트대학,독어독문학과,학부,2015,/partner/expReport.asp?id=12792&page=1&bgbn=R,1
19,에르푸르트대학교 보고서,국제학과,학부,2015,/partner/expReport.asp?id=12380&page=1&bgbn=R,0
18,에르푸르트 대학,독어독문학과,학부,2014-2015,/partner/expReport.asp?id=12263&page=1&bgbn=R,1
17,에어푸르트,독어독문학과,학부,2014,/partner/expReport.asp?id=11903&page=2&bgbn=R,1
16,에어푸르트로 오세요,철학과,학부,2013-2014,/partner/expReport.asp?id=7203&page=2&bgbn=R,1
15,Die beste Stadt für dein Studium,독어독문학과,학부,2011,/partner/expReport.asp?id=5533&page=2&bgbn=R,1
14,Universitaet Erfurt,철학,학부,2010-2011,/partner/expReport.asp?id=4830&page=2&bgbn=R,1
13,망설이고 있는 당신에게 주는 편지,독어독문학,학부,2006-2007,/partner/expReport.asp?id=3879&page=2&bgbn=R,1
12,독일을 느끼고 싶다면 ERFURT로!,심리학과,학부,2007,/partner/expReport.asp?id=3289&page=2&bgbn=R,1
11,경험 보고서,경제학과,학부,2007,/partner/expReport.asp?id=3215&page=2&bgbn=R,1
10,Universitaet Erfurt,물리학과,학부,2006-2007,/partner/expReport.asp?id=2684&page=2&bgbn=R,1
9,Uni. Erfurt 경험보고서,독어독문학,학부,2006,/partner/expReport.asp?id=2514&page=2&bgbn=R,0
8,Universität Erfurt,독어독문학과,학부,2005~2006,/partner/expReport.asp?id=2203&page=2&bgbn=R,1
7,Erfurt 대학,독어독문학전공,학부,2006,/partner/expReport.asp?id=2140&page=3&bgbn=R,1
6,The University of Erfurt,독어독문학과,학부,2005-2006,/partner/expReport.asp?id=1990&page=3&bgbn=R,1
5,Erfurt- Das Grüne Herz von Deutschland!,독어독문학,학부,2004-2005,/partner/expReport.asp?id=1779&page=3&bgbn=R,1
4,Erfurt 경험보고서,인문학부,학부,2004,/partner/expReport.asp?id=1523&page=3&bgbn=R,0
3,너희가 Erfurt를 아는가!,,학부,2004~2005,/partner/expReport.asp?id=1522&page=3&bgbn=R,1
2,에어푸르트 그리고 그 1년,상경계열,학부,2003-2004,/partner/expReport.asp?id=1352&page=3&bgbn=R,1
1,University of Erfurt를 다녀와서,생명공학전공,학부,2004,/partner/expReport.asp?id=1348&page=3&bgbn=R,1
