No,제목,학과,과정,년도,href,BERT_SCORE
72,1년의 휘게!,건축학과,학부,2018-2019,/partner/expReport.asp?id=16597&page=1&bgbn=R,1
71,1년의 Hygge,국제학과,학부,2019,/partner/expReport.asp?id=16079&page=1&bgbn=R,1
70,코펜하겐 대학교에서의 한 학기! 최고!,경제학과,학부,2019,/partner/expReport.asp?id=16028&page=1&bgbn=R,1
69,인생에서 가장 행복했던 1년!,심리학과,학부,2019,/partner/expReport.asp?id=15938&page=1&bgbn=R,1
68,코펜하겐대학교 교환 가세요ㅠㅠㅠㅠ 고민하지 마세요!,언론홍보영상학부,학부,2019,/partner/expReport.asp?id=15829&page=1&bgbn=R,0
67,코펜하겐대학교에서의 한 학기,경제학과,학부,2019,/partner/expReport.asp?id=15801&page=1&bgbn=R,1
66,코펜하겐대학교 경험보고서,정치외교학과,학부,2018,/partner/expReport.asp?id=15277&page=1&bgbn=R,0
65,애정하는 코펜하겐,철학과,학부,2017,/partner/expReport.asp?id=15129&page=1&bgbn=R,1
64,덴마크 코펜하겐에서의 7개월,비교문학과문화과,학부,2018,/partner/expReport.asp?id=15112&page=1&bgbn=R,1
63,코펜하겐에서 보낸 한 학기,철학과,학부,2018,/partner/expReport.asp?id=15050&page=1&bgbn=R,1
62,코펜하겐 휘게휘게,문헌정보학과,학부,2017,/partner/expReport.asp?id=14684&page=2&bgbn=R,1
61,코펜하겐에서의 1년,영어영문학과/심리학과,학부,2017,/partner/expReport.asp?id=14542&page=2&bgbn=R,0
60,코펜하겐에서의 겨울,사학과,학부,2017,/partner/expReport.asp?id=14522&page=2&bgbn=R,1
59,덴마크 교환에 대한 현실적인 정보들!,사회복지학과/경제학과,학부,2017-2018,/partner/expReport.asp?id=14455&page=2&bgbn=R,1
58,"Min trejde hjemby, haber vi ses igen snart <3",경영학과,학부,2016-2017,/partner/expReport.asp?id=14431&page=2&bgbn=R,1
57,"누가 왜 왔든지, 어찌됐든 코펜하겐",건축학과,학부,2017,/partner/expReport.asp?id=14333&page=2&bgbn=R,1
56,코펜하겐 대학교 경험 보고서,사회학과,학부,2017,/partner/expReport.asp?id=14158&page=2&bgbn=R,0
55,코펜하겐에서의 한 학기,정치외교학과/언론홍보영상학부,학부,2017,/partner/expReport.asp?id=14129&page=2&bgbn=R,1
54,그리운 코펜하겐에서의 생활!,사회학과,학부,2016,/partner/expReport.asp?id=13824&page=2&bgbn=R,1
53,많은 것을 배웠던 코펜하겐,심리학과,학부,2016,/partner/expReport.asp?id=13643&page=2&bgbn=R,1
52,Experience at Københavns Universitet,Comparative Literature & Culture,학부,2016,/partner/expReport.asp?id=13584&page=3&bgbn=R,1
51,"Du kan tage pigen ud af København, men du kan ikke tage København ud af pigen.",비교문학과 문화,학부,2015-1학기,/partner/expReport.asp?id=12743&page=3&bgbn=R,0
50,Report on exchange semester at the University of Copenhagen,Underwood Division,학부,2015,/partner/expReport.asp?id=12734&page=3&bgbn=R,0
49,다시 가고싶은 대학 코펜하겐,정치외교학과,학부,2015,/partner/expReport.asp?id=12610&page=3&bgbn=R,1
48,교과서 같은 도시 코펜하겐,경제학과,학부,2015-2016,/partner/expReport.asp?id=12594&page=3&bgbn=R,1
47,코펜하겐!,중어중문학과,학부,2012,/partner/expReport.asp?id=12354&page=3&bgbn=R,1
46,Hej! Mange Tak.,비교문학,학부,2014-2015,/partner/expReport.asp?id=12327&page=3&bgbn=R,1
45,코펜하겐에서의 봄학기,언론홍보영상학부/사회학과,학부,2014,/partner/expReport.asp?id=8597&page=3&bgbn=R,1
44,꿈같았던 코펜하겐 : ),행정학과,학부,2013-2014,/partner/expReport.asp?id=7446&page=3&bgbn=R,1
