No,제목,학과,과정,년도,href,BERT_SCORE
15,나바라에서 짧은 한 학기,국어국문학과,학부,2020,/partner/expReport.asp?id=16601&page=1&bgbn=R,1
14,나바라에서 현지인과 같은 생활~,UIC IS,학부,2019,/partner/expReport.asp?id=16368&page=1&bgbn=R,1
13,나바라 대학교 가을학기 교환학생,국어국문학과,학부,2019-2,/partner/expReport.asp?id=16353&page=1&bgbn=R,0
12,A wonderful fall semester at UNAV,UIC Political Science and International Relatoins,학부,2018,/partner/expReport.asp?id=15210&page=1&bgbn=R,1
11,One year abroad in Navarra University,UIC International Studies,학부,2017-2018,/partner/expReport.asp?id=14784&page=1&bgbn=R,1
10,universidad de Navarra 경험보고서,사학과,학부,2014,/partner/expReport.asp?id=14309&page=1&bgbn=R,1
9,University of Navarra 경험보고서,철학과,학부,2015,/partner/expReport.asp?id=12759&page=1&bgbn=R,0
8,Universidad de Navarra Privada에서 즐거운 한 학기,행정학과,학부,2015,/partner/expReport.asp?id=12515&page=1&bgbn=R,1
7,경험보고서,건축공학과,학부,2015,/partner/expReport.asp?id=12076&page=1&bgbn=R,1
6,나바라대학 교환학생 경험 보고서,정치외교학과,학부,2014,/partner/expReport.asp?id=10672&page=1&bgbn=R,0
5,나바라대학 경험보고서,정치외교학과,학부,2014,/partner/expReport.asp?id=8637&page=2&bgbn=R,1
4,Economics,Underwood International College,학부,2013-2014,/partner/expReport.asp?id=7226&page=2&bgbn=R,1
3,교환학생 경험보고서 University of Navarra,영어영문학과,학부,2013,/partner/expReport.asp?id=6652&page=2&bgbn=R,0
2,파견보고서,건축공학과,학부,2012-2013,/partner/expReport.asp?id=6638&page=2&bgbn=R,1
1,교환학생 경험보고서 _ Universidad de Navarra,경영대학,학부,2012,/partner/expReport.asp?id=6485&page=2&bgbn=R,0
