No,제목,학과,과정,년도,href,BERT_SCORE
30,최고로 행복했던 헬싱키에서의 한 학기,심리학과,학부,2019,/partner/expReport.asp?id=16183&page=1&bgbn=R,1
29,헬싱키에서의 한 학기,정치외교학과,학부,2019,/partner/expReport.asp?id=15988&page=1&bgbn=R,1
28,여유로웠던 한 학기,사회학과,학부,2019,/partner/expReport.asp?id=15972&page=1&bgbn=R,0
27,헬싱키에서의 한학기,교육학과,학부,2019,/partner/expReport.asp?id=15697&page=1&bgbn=R,1
26,"학생 복지의 나라, 아름다운 핀란드",수학과,학부,2018,/partner/expReport.asp?id=15354&page=1&bgbn=R,1
25,헬싱키에서 보낸 한 학기,불어불문학과,학부,2018,/partner/expReport.asp?id=15288&page=1&bgbn=R,0
24,사랑했던 헬싱키,문헌정보학과,학부,2018,/partner/expReport.asp?id=15172&page=1&bgbn=R,1
23,헬싱키에서의 잊지못할 추억,생활디자인학과,학부,2015,/partner/expReport.asp?id=15095&page=1&bgbn=R,1
22,평화로운 헬싱키에서의 한 학기,문헌정보학과,학부,2018,/partner/expReport.asp?id=14849&page=1&bgbn=R,1
21,"휴식, 문화, 학업의 공존",문과대학 사학과,학부,2018,/partner/expReport.asp?id=14844&page=1&bgbn=R,1
20,헬싱키에서의 한 학기,정치외교학과,학부,2017,/partner/expReport.asp?id=14710&page=2&bgbn=R,1
19,헬싱키에서의 인생 최고의 시간들,사회학과,학부,2017,/partner/expReport.asp?id=14686&page=2&bgbn=R,1
18,헬싱키에서의 한학기,영어영문학과,학부,2017,/partner/expReport.asp?id=14638&page=2&bgbn=R,1
17,힐링 혹은 무료함의 나라,경제학과,학부,2017,/partner/expReport.asp?id=14551&page=2&bgbn=R,1
16,헬싱키 대학교에서의 1학기,신문방송학과,학부,2015,/partner/expReport.asp?id=14312&page=2&bgbn=R,1
15,아름다웠던 헬싱키,나노과학공학과,학부,2017,/partner/expReport.asp?id=14016&page=2&bgbn=R,1
14,University of Helsinki,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13749&page=2&bgbn=R,1
13,헬싱키 대학교 경험보고서,언론홍보영상학,학부,2016,/partner/expReport.asp?id=13646&page=2&bgbn=R,1
12,University of Helsinki,교육학부,학부,2015-2016,/partner/expReport.asp?id=13400&page=2&bgbn=R,1
11,University of Helsinki,정보인터렉션디자인,학부,2016,/partner/expReport.asp?id=13345&page=2&bgbn=R,1
10,University of Helsinki,언더우드 정치외교학과,학부,2016,/partner/expReport.asp?id=13274&page=3&bgbn=R,1
9,University of Helsinki,행정학과,학부,2015-2,/partner/expReport.asp?id=12659&page=3&bgbn=R,1
8,University of Helsinki 경험 보고서,경제학과,학부,2011,/partner/expReport.asp?id=5081&page=3&bgbn=R,0
7,아름다웠던 Helsinki,사회학,학부,2008,/partner/expReport.asp?id=3347&page=3&bgbn=R,1
6,학생들의 천국 핀란드,정치외교학과,학부,2004-2005,/partner/expReport.asp?id=1657&page=3&bgbn=R,1
5,휘바 휘바 핀란드,인문학부,학부,2003,/partner/expReport.asp?id=831&page=3&bgbn=R,0
4,U of Helsinki - 윤영란,영어영문학전공,학부,2001,/partner/expReport.asp?id=439&page=3&bgbn=R,1
3,U of Helsinki -유혜영,영어영문학전공,학부,2000-2001,/partner/expReport.asp?id=297&page=3&bgbn=R,1
2,U of Helsinki-임은영,사회학전공,학부,1999,/partner/expReport.asp?id=270&page=3&bgbn=R,0
1,U of Helsinki-김인경,정치외교학과,학부,2001,/partner/expReport.asp?id=211&page=3&bgbn=R,1
