No,제목,학과,과정,년도,href,BERT_SCORE
41,보르도에서 1년 교환생활,불어불문/경영,학부,2018-2019,/partner/expReport.asp?id=15678&page=1&bgbn=R,0
40,보르도에서의 교환학생 생활,문화 디자인 경영,학부,2017,/partner/expReport.asp?id=15507&page=1&bgbn=R,0
39,한 학기 동안 보르도에서 보낸 교환생활,국제통상/경영,학부,2018,/partner/expReport.asp?id=15321&page=1&bgbn=R,1
38,Kedge Business School(보르도)에서 만난 유럽,경영,학부,2016,/partner/expReport.asp?id=13467&page=1&bgbn=R,1
37,보르도에서 아름다운 1학기,경영학과,학부,2015,/partner/expReport.asp?id=12922&page=1&bgbn=R,1
36,"보르도, 와인에 빠지다",경영학과,학부,2015,/partner/expReport.asp?id=12785&page=1&bgbn=R,1
35,보르도에서의 짧았던 5개월.,경제학과,대학원,2014-2015,/partner/expReport.asp?id=11822&page=1&bgbn=R,1
34,여유롭고 행복했던 1년간의 보르도,동아시아국제학부,학부,2013-2014,/partner/expReport.asp?id=11781&page=1&bgbn=R,1
33,아쉬웠던 한학기 교환학생,EIC,학부,2014-2015,/partner/expReport.asp?id=11779&page=1&bgbn=R,0
32,KEDGE에서의 짧고 굵은 교환학생 생활,경영,학부,2014,/partner/expReport.asp?id=10706&page=1&bgbn=R,0
31,원하는 모든 것을 이룰 수 있는 곳,경영학과,학부,2014,/partner/expReport.asp?id=8605&page=2&bgbn=R,1
30,살기 좋은 도시 보르도,경영학과,학부,2014,/partner/expReport.asp?id=7343&page=2&bgbn=R,1
29,"보르도, 제가 한 번 갔다와 봤어요. 느낌 아~니까",경영학과,학부,2013-2104,/partner/expReport.asp?id=6919&page=2&bgbn=R,0
28,그리운 와인의 도시 보르도 :),경영학과,학부,2012,/partner/expReport.asp?id=6715&page=2&bgbn=R,1
27,행복했던 보르도에서의 1학기,경영학과,학부,2013,/partner/expReport.asp?id=6646&page=2&bgbn=R,1
26,여유로웠던 보르도에서의 1년,경영,학부,2011,/partner/expReport.asp?id=6604&page=2&bgbn=R,0
25,보르도에서 얻은 +a,경영학과,학부,2012-2,/partner/expReport.asp?id=6462&page=2&bgbn=R,0
24,여유로운 보르도,경영학과,학부,2012,/partner/expReport.asp?id=6339&page=2&bgbn=R,1
23,"잊을 수 없는 그곳, 보르도",경영학과,학부,2011-2012,/partner/expReport.asp?id=5891&page=2&bgbn=R,1
22,보르도의 즐거운 1학기,심리학과,학부,2012,/partner/expReport.asp?id=5882&page=2&bgbn=R,1
21,행복한 프랑스 서남부,경영학과,학부,2012,/partner/expReport.asp?id=5786&page=3&bgbn=R,1
20,보르도에서의 잊을 수 없는 한학기,경영학과,학부,2011,/partner/expReport.asp?id=5535&page=3&bgbn=R,1
19,보르도에서의 여유로웠던 1년,경영학과,학부,2011,/partner/expReport.asp?id=5510&page=3&bgbn=R,0
18,도시에 찌든 연세인들의 처방전. 보르도.,생활디자인학과,학부,2010,/partner/expReport.asp?id=5231&page=3&bgbn=R,0
17,아름다운 여유와 풍요가 넘치는 보르도에서,경영학과,학부,2011,/partner/expReport.asp?id=5118&page=3&bgbn=R,1
16,두근두근 Bordeaux,경제학과,학부,2010,/partner/expReport.asp?id=4947&page=3&bgbn=R,1
15,J'♥ Bordeaux,경영학과,학부,2009-2010,/partner/expReport.asp?id=4510&page=3&bgbn=R,1
14,"풍요와 여유의 도시, 보르도!",경영대학,학부,2009,/partner/expReport.asp?id=4380&page=3&bgbn=R,1
13,Bordeaux Ecole de Mnagement,불어불문학과,학부,2009,/partner/expReport.asp?id=4207&page=3&bgbn=R,0
12,유럽에서의 1년,경영학과,학부,2007-2008,/partner/expReport.asp?id=3861&page=3&bgbn=R,0
11,꿈만같은 시간,식품/경영/의류,학부,2008-2009,/partner/expReport.asp?id=3785&page=4&bgbn=R,0
10,BEM_남부유럽의 정취가 가득한 곳,철학/경영학,학부,2008,/partner/expReport.asp?id=3769&page=4&bgbn=R,1
9,와인을 좋아하세요?,경영학과,학부,2005-2006,/partner/expReport.asp?id=2162&page=4&bgbn=R,0
8,보르도에서의 1년,경영학과,학부,2005,/partner/expReport.asp?id=1853&page=4&bgbn=R,0
7,2 semestres à Bordeaux,의류환경학과,학부,2004-2005,/partner/expReport.asp?id=1794&page=4&bgbn=R,0
6,Bordeaux Business School,불어불문학과,학부,2004,/partner/expReport.asp?id=1605&page=4&bgbn=R,1
5,보르도에서 의 열정적인 1년,상경계열,학부,2004,/partner/expReport.asp?id=1537&page=4&bgbn=R,0
4,보르도 비즈니스 스쿨,식품영양전공,학부,2004,/partner/expReport.asp?id=1399&page=4&bgbn=R,1
3,가장 도전적인 경험,경제학전공,학부,2003,/partner/expReport.asp?id=1324&page=4&bgbn=R,0
2,Bordeaux에서의 6개월..,경영학전공,학부,2004,/partner/expReport.asp?id=1320&page=4&bgbn=R,1
1,경험 보고서-Ecole de Management(ESC Bordeaux),경영학전공,학부,2003,/partner/expReport.asp?id=1097&page=5&bgbn=R,1
