No,제목,학과,과정,년도,href,BERT_SCORE
53,런던에서의 한 학기,화학과,학부,2019,/partner/expReport.asp?id=16559&page=1&bgbn=R,1
52,킹칼에서 한 학기 교환,경영학과,학부,2019,/partner/expReport.asp?id=16179&page=1&bgbn=R,0
51,킹스칼리지 여름교환,교육학과,학부,2019,/partner/expReport.asp?id=16132&page=1&bgbn=R,1
50,런던에서의 여름,언더우드학부 국제학,학부,2019,/partner/expReport.asp?id=16029&page=1&bgbn=R,1
49,런던에서의 여름방학,화공생명공학,학부,2019,/partner/expReport.asp?id=16026&page=1&bgbn=R,1
48,행복 가득 런던 킹스칼리지,심리학과,학부,2019,/partner/expReport.asp?id=16017&page=1&bgbn=R,1
47,"다시 가도, 언제 가도 좋은 런던",경영학과,학부,2019,/partner/expReport.asp?id=16006&page=1&bgbn=R,1
46,영국에서의 여름계절학기,치의예과,학부,2019,/partner/expReport.asp?id=15982&page=1&bgbn=R,1
45,꿈만 같던 런던에서의 여름,정치외교학과,학부,2019,/partner/expReport.asp?id=15980&page=1&bgbn=R,1
44,런던에서의 꿈만 같았던 여름,정치외교학과,학부,2018,/partner/expReport.asp?id=15951&page=1&bgbn=R,1
43,런던 킹스컬리지의 여름,국제통상,학부,2019,/partner/expReport.asp?id=15932&page=2&bgbn=R,1
42,킹칼 여름,경영학과,학부,2019,/partner/expReport.asp?id=15907&page=2&bgbn=R,1
41,행복했던 킹스칼리지에서의 여름,경영학과,학부,2019,/partner/expReport.asp?id=15892&page=2&bgbn=R,1
40,KCL에서의 1년,사회정의리더십,학부,2018-2019,/partner/expReport.asp?id=15726&page=2&bgbn=R,0
39,King's College Fall Semester,비교문학과문화,학부,2018,/partner/expReport.asp?id=15310&page=2&bgbn=R,1
38,King's College London에서의 한 학기,경제학과,학부,2018년,/partner/expReport.asp?id=15229&page=2&bgbn=R,1
37,BigBen Is Back,사회학과,학부,2018,/partner/expReport.asp?id=15137&page=2&bgbn=R,1
36,영국 King's College London에서의 여름,사회학과,학부,2018,/partner/expReport.asp?id=15134&page=2&bgbn=R,1
35,런던에서의 여름 계절학기,정치외교학과,학부,2018,/partner/expReport.asp?id=15133&page=2&bgbn=R,1
34,King's college london 여름 계절 교환,경영,학부,2018,/partner/expReport.asp?id=15021&page=2&bgbn=R,1
33,King's College London 여름계절 보고서,경영학과,학부,2018,/partner/expReport.asp?id=14984&page=3&bgbn=R,1
32,King's College London 여름교환학생 프로그램,UIC CTM,학부,2018,/partner/expReport.asp?id=14978&page=3&bgbn=R,1
31,교환학생 경험보고서,생명공학과,학부,2018,/partner/expReport.asp?id=14969&page=3&bgbn=R,0
30,아름다운 도시 런던에서의 교환학기,비교문학과문화,학부,2017,/partner/expReport.asp?id=14643&page=3&bgbn=R,1
29,King's College London에서 보낸 한 학기,UIC 비교문학과문화,학부,2017,/partner/expReport.asp?id=14612&page=3&bgbn=R,1
28,Summer at KCL,글로벌인재학부,학부,2017,/partner/expReport.asp?id=14575&page=3&bgbn=R,1
27,교환학생으로서의 모든 것을 누릴 수 있는 곳,행정학과,학부,2017,/partner/expReport.asp?id=14531&page=3&bgbn=R,1
26,일생일대의 경험,UIC CTM,학부,2017,/partner/expReport.asp?id=14300&page=3&bgbn=R,1
25,King's College London,산업공학과,학부,2017,/partner/expReport.asp?id=14212&page=3&bgbn=R,1
24,Life as a student in London,식품영양학과,학부,2017,/partner/expReport.asp?id=14197&page=3&bgbn=R,1
23,하계대학 교환학생 파견 - King's college London,실내건축학과,학부,2017,/partner/expReport.asp?id=14193&page=4&bgbn=R,0
22,King's College London 여름 계절학기,언더우드 국제학,학부,2017,/partner/expReport.asp?id=14186&page=4&bgbn=R,1
21,런던에서의 계절학기,의예과,학부,2017,/partner/expReport.asp?id=14150&page=4&bgbn=R,1
20,런던에서의 여름,사회복지학과,학부,2017,/partner/expReport.asp?id=14144&page=4&bgbn=R,1
19,My Life in London,테크노아트학과 문화디자인경영,학부,2016,/partner/expReport.asp?id=13857&page=4&bgbn=R,1
18,King's College 파견 경험보고서,UIC 경제,학부,2016,/partner/expReport.asp?id=13681&page=4&bgbn=R,1
17,킹스칼리지 교환학생 보고서,영어영문학과,학부,2016,/partner/expReport.asp?id=13671&page=4&bgbn=R,1
16,KCL 교환학생 경험보고서,정치외교학과,학부,2016,/partner/expReport.asp?id=13382&page=4&bgbn=R,0
15,King's College London에서 보낸 가을 학기,아시아학과,학부,2015,/partner/expReport.asp?id=13380&page=4&bgbn=R,1
14,King's College 교환학생을 다녀와서,경영학과,학부,2016,/partner/expReport.asp?id=13379&page=4&bgbn=R,1
13,KCL 교환학생,경영학과,학부,2016,/partner/expReport.asp?id=13362&page=5&bgbn=R,0
12,킹스 칼리지 하계 교환학생,정치외교학과,학부,2016,/partner/expReport.asp?id=13223&page=5&bgbn=R,0
11,런던에서 쌓을 수 있는 특별한 경험!,경영,학부,2016,/partner/expReport.asp?id=13211&page=5&bgbn=R,1
10,꿈만 같은 런던에서의 6개월,영어영문학과,학부,2016,/partner/expReport.asp?id=13094&page=5&bgbn=R,0
9,잊지 못할 경험,국제학부 비교문학과문화,학부,2015,/partner/expReport.asp?id=12816&page=5&bgbn=R,0
8,영국에서 갈 수 있는 대학 중 단연 최고가 아닐까 싶습니다.,신문방송학과,학부,2015,/partner/expReport.asp?id=12462&page=5&bgbn=R,1
7,King's College London 하계 계절학기를 다녀와서,사회복지학과,학부,2015,/partner/expReport.asp?id=12365&page=5&bgbn=R,1
6,런던을 경험할 수 있는 좋은 기회!,경제학과,학부,2015,/partner/expReport.asp?id=12359&page=5&bgbn=R,1
5,King's College London,영어영문학과,학부,2015,/partner/expReport.asp?id=12355&page=5&bgbn=R,1
4,Kings college London,경영학과,학부,2015,/partner/expReport.asp?id=12308&page=5&bgbn=R,1
3,King's College of London ESP 경험보고서,UIC,학부,2014,/partner/expReport.asp?id=11996&page=6&bgbn=R,1
2,King's College를 다녀와서,신문방송학과,학부,2012,/partner/expReport.asp?id=6417&page=6&bgbn=R,1
1,King's College 경험보고서,UIC,학부,2012,/partner/expReport.asp?id=5776&page=6&bgbn=R,1
