No,제목,학과,과정,년도,href,BERT_SCORE
15,2017-9 동경대학 경험보고서,사회복지학과,학부,2017,/partner/expReport.asp?id=14705&page=1&bgbn=R,1
14,"동경, 그리고 동경외대에서의 봄",의류환경학과,학부,2015,/partner/expReport.asp?id=12348&page=1&bgbn=R,1
13,"도쿄 속의 세계, 동경외국어대학",사학/국문,학부,2011-2012,/partner/expReport.asp?id=5760&page=1&bgbn=R,1
12,동경외국어대학교 경험보고서,국어국문학과,학부,2009-2010,/partner/expReport.asp?id=4427&page=1&bgbn=R,1
11,"동경외국어대학, 그곳에서의 기억",국어국문학과,학부,2009,/partner/expReport.asp?id=4407&page=1&bgbn=R,1
10,도쿄외국어대학교 ISEP,국어국문학과,학부,2007-2008,/partner/expReport.asp?id=3868&page=1&bgbn=R,1
9,도쿄외국어대학 교환학생 경험보고서,국어국문학과,학부,2006,/partner/expReport.asp?id=2511&page=1&bgbn=R,0
8,2005-2006 동경외대 교환학생 보고서,국어국문학과,학부,2005-2006,/partner/expReport.asp?id=2235&page=1&bgbn=R,0
7,동경외국어대학 경험 보고서,국어국문학과,학부,2005,/partner/expReport.asp?id=1969&page=1&bgbn=R,1
6,동경외대 교환학생 체험보고서,국어국문,학부,2004,/partner/expReport.asp?id=1644&page=1&bgbn=R,0
5,2004 동경외대 교환학생 경험기.,,학부,2004,/partner/expReport.asp?id=1514&page=2&bgbn=R,0
4,도쿄에서의 특별한 1년,국어국문학전공,학부,2003-2004,/partner/expReport.asp?id=1364&page=2&bgbn=R,0
3,동경외대 2002 가을학기-2003 봄 학기,국어국문학전공,학부,2002-2003,/partner/expReport.asp?id=984&page=2&bgbn=R,1
2,Tokyo Univ. of foreign studies - 박종후,인문학부,학부,2000-2001,/partner/expReport.asp?id=427&page=2&bgbn=R,1
1,Tokyo Univ.-김려실,국어국문학전공,학부,2000,/partner/expReport.asp?id=169&page=2&bgbn=R,0
