No,제목,학과,과정,년도,href,BERT_SCORE
107,평화로운 네덜란드 소도시에서의 한학기,경제학,학부,2019-2,/partner/expReport.asp?id=16257&page=1&bgbn=R,1
106,평화로운 마스트리히트,언론홍보영상학부,학부,2018-2,/partner/expReport.asp?id=16040&page=1&bgbn=R,1
105,마스트리트에서 너무너무너무 행복했던 학학기,생활디자인학과,학부,2019,/partner/expReport.asp?id=15803&page=1&bgbn=R,1
104,평화로웠던 마스트리히트,경영학과,학부,2019,/partner/expReport.asp?id=15782&page=1&bgbn=R,1
103,네덜란드에서의 알찬 교환학생 생활,경영학과,학부,2018-2,/partner/expReport.asp?id=15468&page=1&bgbn=R,0
102,마스트리흐트에서 만난 모든 인연에 감사드립니다. 행복했어요!,행정학과,학부,2017,/partner/expReport.asp?id=14708&page=1&bgbn=R,1
101,마스트리트에서의 자유로운 한 학기를 보낸 후,영어영문학,학부,2017,/partner/expReport.asp?id=14693&page=1&bgbn=R,1
100,다신 돌아오지 않을 평화로왔던 나날들,UIC PSIR,학부,2017,/partner/expReport.asp?id=14628&page=1&bgbn=R,1
99,마스트리트에서의 일장춘몽,경제학과,학부,2017,/partner/expReport.asp?id=14494&page=1&bgbn=R,1
98,Maastricht에서 한학기,경제학과,학부,2017,/partner/expReport.asp?id=14434&page=1&bgbn=R,1
97,어메이징한 1년,경영학과,학부,2016,/partner/expReport.asp?id=14235&page=2&bgbn=R,0
96,마스트리흐트 대학,경영학과,학부,2017,/partner/expReport.asp?id=14170&page=2&bgbn=R,1
95,여유로운 매력의 마스트리흐트,시스템생물학과,학부,2017,/partner/expReport.asp?id=14078&page=2&bgbn=R,1
94,꿈 같던 Maastricht에서의 한 학기,경제학과,학부,2016,/partner/expReport.asp?id=14062&page=2&bgbn=R,1
93,마스트리히트에서의 한학기,경영학과,학부,2017,/partner/expReport.asp?id=14019&page=2&bgbn=R,1
92,마스에서의 한 학기,경영학과,학부,2016,/partner/expReport.asp?id=13934&page=2&bgbn=R,1
91,16-2 마스트리히트 교환학생,경제학과,학부,2016,/partner/expReport.asp?id=13815&page=2&bgbn=R,0
90,"생각만 해도 설레는 그 곳, Maastricht에서의 한 학기",정치외교학과,학부,2015,/partner/expReport.asp?id=13286&page=2&bgbn=R,1
89,잊지 못할 마스트리히트,경영학과,학부,2015,/partner/expReport.asp?id=12844&page=2&bgbn=R,1
88,"사랑스러운 도시, Maastricht",경영학과,학부,2015,/partner/expReport.asp?id=12642&page=2&bgbn=R,1
87,Maastricht 에서 보낸 한 학기,중어중문학과,학부,2015,/partner/expReport.asp?id=12198&page=3&bgbn=R,0
86,유럽에서의 반 년,경제학과,학부,2015,/partner/expReport.asp?id=12115&page=3&bgbn=R,1
85,마스트리히트에서의 알찬 한학기,경제학과,학부,2015,/partner/expReport.asp?id=12100&page=3&bgbn=R,1
84,UM 2015 봄학기,정치외교학과,학부,2015,/partner/expReport.asp?id=12006&page=3&bgbn=R,1
83,Crucial Difference,"UIC, Comparative Literature and Culture",학부,2014-2015,/partner/expReport.asp?id=11875&page=3&bgbn=R,0
82,많은 추억을 남긴 Maastricht,경영학과,학부,2013-2014,/partner/expReport.asp?id=11851&page=3&bgbn=R,1
81,European Studies,UIC,학부,2013-2014,/partner/expReport.asp?id=11830&page=3&bgbn=R,0
80,터닝포인트,경영학과,학부,2014-2,/partner/expReport.asp?id=10747&page=3&bgbn=R,0
79,"고마운 그곳 그때, Maastricht",경제학과,학부,2012,/partner/expReport.asp?id=10718&page=3&bgbn=R,1
78,"새로운 환경, 새로운 나를 발견할 수 있었던 Maastricht",경영학과,학부,2014,/partner/expReport.asp?id=8615&page=3&bgbn=R,1
77,"제2의 고향이 된 마스트리트, 그곳에서의 6개월",경영학과,학부,2013-2014,/partner/expReport.asp?id=7335&page=4&bgbn=R,1
76,교환학생 경험보고서,경제학과,학부,2013-2014,/partner/expReport.asp?id=7179&page=4&bgbn=R,0
75,다시 돌아가고 싶은 마스트리히트에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=7178&page=4&bgbn=R,1
74,마스트리히트 대학교,경제학과,학부,2014,/partner/expReport.asp?id=7172&page=4&bgbn=R,1
73,Maastricht University,경영학과,학부,2013,/partner/expReport.asp?id=7030&page=4&bgbn=R,1
72,작은 동네지만 매력적인 곳 마스트리히트,경영학과,학부,2013-2014,/partner/expReport.asp?id=7014&page=4&bgbn=R,1
71,Maastricht 그리고 완벽한 시간,경제학과,학부,2013,/partner/expReport.asp?id=6773&page=4&bgbn=R,1
70,깨끗하고 평화로운 마스트리흐트,영어영문학과,학부,2013,/partner/expReport.asp?id=6513&page=4&bgbn=R,1
69,마스트리트 대학에서의 교환생활,교육,학부,2013,/partner/expReport.asp?id=6492&page=4&bgbn=R,1
68,잊지 못할 마스에서의 6개월,실내건축학과,학부,2012-2,/partner/expReport.asp?id=6479&page=4&bgbn=R,1
67,"알찬 교환생활의 정수, Maastricht University",경영학과,학부,2012-2013,/partner/expReport.asp?id=6449&page=5&bgbn=R,1
66,"제 2의 고향, 마스트리트",정치외교학과,학부,2012,/partner/expReport.asp?id=6306&page=5&bgbn=R,1
65,씁쓸한 기억의 마스트리히트 교환생활,정치외교학과,학부,2012,/partner/expReport.asp?id=6271&page=5&bgbn=R,1
64,"가장 기억에 남을 1년을 보낸 도시, Maastricht.",영어영문학과,학부,2012,/partner/expReport.asp?id=6084&page=5&bgbn=R,1
63,나를 있게한 모든 것들,영어영문학과,학부,2010-2012,/partner/expReport.asp?id=5962&page=5&bgbn=R,1
62,MAASTRICHT에서의 한 학기,경영학과,학부,2010,/partner/expReport.asp?id=5947&page=5&bgbn=R,1
61,마스트리트 대학 경험보고서,경영학과,학부,2011,/partner/expReport.asp?id=5873&page=5&bgbn=R,1
60,놀기도 좋고 공부하기도 좋은 UM!,경제학과,학부,2011,/partner/expReport.asp?id=5584&page=5&bgbn=R,1
59,여유롭고 고즈넉한 도시 마스트리트에서의 한 학기,경제학과,학부,2011,/partner/expReport.asp?id=5557&page=5&bgbn=R,1
58,평화롭고 한적한 부촌 마스트리트,행정학과,학부,2011,/partner/expReport.asp?id=5423&page=5&bgbn=R,1
57,"조용하고 여유로운 도시, 네덜란드 마스트리트",영어영문학과,학부,2011,/partner/expReport.asp?id=5422&page=6&bgbn=R,1
56,The School in The Culinary Capital of the Netherlands,UIC,학부,2011,/partner/expReport.asp?id=5161&page=6&bgbn=R,1
55,UM,경제학과,학부,2011,/partner/expReport.asp?id=5119&page=6&bgbn=R,0
54,"University of Maastricht, SBE",법학과,학부,2010-2011,/partner/expReport.asp?id=5087&page=6&bgbn=R,1
53,마스트리트 경험보고서,경영학과,학부,2010,/partner/expReport.asp?id=4669&page=6&bgbn=R,1
52,University of Maastricht 경험보고서,경영학과,학부,2008,/partner/expReport.asp?id=4567&page=6&bgbn=R,0
51,Maastricht University,UIC,학부,2009-2010,/partner/expReport.asp?id=4550&page=6&bgbn=R,1
50,"아름다운 도시, Maastricht에서의 한학기",경영학과,학부,2010,/partner/expReport.asp?id=4501&page=6&bgbn=R,1
49,Maas Univ 교환학생보고서,경영,학부,2008-2009,/partner/expReport.asp?id=3852&page=6&bgbn=R,1
48,"Maastricht, 유럽의 중심에서",경영학과,학부,2009,/partner/expReport.asp?id=3851&page=6&bgbn=R,1
47,마스트리트 대학에서의 교환학생 생활을 마치며,경제학과,학부,2008,/partner/expReport.asp?id=3298&page=7&bgbn=R,1
46,마스트리히트에서의 한 학기,영어영문,학부,2008,/partner/expReport.asp?id=3288&page=7&bgbn=R,1
45,아늑하고 아름다운 도시 마스에서의 교환학생 생활,주거환경학과,학부,2007,/partner/expReport.asp?id=3117&page=7&bgbn=R,1
44,Maastricht University,경영학과,학부,2007,/partner/expReport.asp?id=3065&page=7&bgbn=R,1
43,Universiteit Maastricht,경영학과,학부,2997,/partner/expReport.asp?id=3046&page=7&bgbn=R,1
42,University of Maastricht,경영학과,학부,2007,/partner/expReport.asp?id=2683&page=7&bgbn=R,0
41,마스에서의 즐거웠던 시절~~^^,경제학과,학부,2007,/partner/expReport.asp?id=2625&page=7&bgbn=R,1
40,University of Maastricht,경영학과,학부,2006,/partner/expReport.asp?id=2509&page=7&bgbn=R,0
39,University of Maastricht,경영학과,학부,2006,/partner/expReport.asp?id=2464&page=7&bgbn=R,0
38,Journey to Maastricht,정보산업공학과,학부,2006,/partner/expReport.asp?id=2240&page=7&bgbn=R,0
37,Maastricht University,경영학과,대학원,2006,/partner/expReport.asp?id=2190&page=8&bgbn=R,1
36,"내 인생의 스페셜, Maastricht",경영학과,학부,2005,/partner/expReport.asp?id=1993&page=8&bgbn=R,1
35,"다시 가고 싶은 곳, 마스트리히트",상경계열,학부,2005,/partner/expReport.asp?id=1978&page=8&bgbn=R,1
34,"새로운 세계로의 여행, 마스트리트 대학교",상경계열 경영학과,학부,2005-1,/partner/expReport.asp?id=1791&page=8&bgbn=R,1
33,Maastricht University,주거환경학과,학부,2005,/partner/expReport.asp?id=1771&page=8&bgbn=R,1
32,Univ. of Maastricht,경영학과,학부,2005,/partner/expReport.asp?id=1770&page=8&bgbn=R,1
31,떠오르는 유럽 Business school의 명문,경영학과,학부,2005,/partner/expReport.asp?id=1755&page=8&bgbn=R,1
30,Maastricht,경영학과,학부,2005,/partner/expReport.asp?id=1682&page=8&bgbn=R,0
29,마아스를 그리며,경영학과,학부,2004,/partner/expReport.asp?id=1598&page=8&bgbn=R,0
28,University of Maastricht,영어영문학과,학부,2004,/partner/expReport.asp?id=1552&page=8&bgbn=R,0
27,마스트릭트 대학은요~,화학공학전공,학부,2004,/partner/expReport.asp?id=1483&page=9&bgbn=R,1
26,유럽 최고의 경영대학,경영학전공,학부,2004,/partner/expReport.asp?id=1477&page=9&bgbn=R,1
25,University of Maastricht(UM),경제학전공,학부,2004,/partner/expReport.asp?id=1434&page=9&bgbn=R,1
24,"University Maastricht,그리고 그곳에서의 생활.",경영학전공,학부,2004,/partner/expReport.asp?id=1426&page=9&bgbn=R,1
23,University of maastricht,경영학전공,학부,2004,/partner/expReport.asp?id=1363&page=9&bgbn=R,1
22,Maastricht 생활에 관해.,경영학전공,학부,2003-2004,/partner/expReport.asp?id=1326&page=9&bgbn=R,1
