No,제목,학과,과정,년도,href,BERT_SCORE
10,잊을 수 없는 추억을 얻은 곳 Erasmus school of Economics,경제학과,학부,2019,/partner/expReport.asp?id=16005&page=1&bgbn=R,1
9,잊을 수 없는 추억을 얻은 곳 Erasmus school of Economics,경제학과,학부,2018,/partner/expReport.asp?id=15987&page=1&bgbn=R,1
8,Erasmus School of Economics,UIC경제학과,학부,2018,/partner/expReport.asp?id=15953&page=1&bgbn=R,1
7,로테르담에서의 교환생활,경제학과,학부,2019,/partner/expReport.asp?id=15887&page=1&bgbn=R,1
6,은은한 추억이 되는 Erasmus에서의 생활,경제학과,학부,2018,/partner/expReport.asp?id=15479&page=1&bgbn=R,1
5,Erasmus_Economics,UIC IID/ECON,학부,2018-2,/partner/expReport.asp?id=15467&page=1&bgbn=R,0
4,"공부, 생활, 여행을 모두 잡을 수 있는 네덜란드 에라스무스 대학교",언더우드국제대학 경제학과,학부,2018,/partner/expReport.asp?id=15445&page=1&bgbn=R,1
3,인생에서 가장 가치 있는 경험을 하게 해준 네덜란드 교환학생,경제학과,학부,2016-2017,/partner/expReport.asp?id=15132&page=1&bgbn=R,1
2,꿈같고 행복했던 교환생활!,경제학과,학부,2017,/partner/expReport.asp?id=14645&page=1&bgbn=R,1
1,네덜란드 에라스무스 대학에서의 생활,경제학과,학부,2017,/partner/expReport.asp?id=14428&page=1&bgbn=R,0
