No,제목,학과,과정,년도,href,BERT_SCORE
75,오슬로대학의 1년반 간의 교환+방문 생활,아시아학부,학부,2018-2020,/partner/expReport.asp?id=16399&page=1&bgbn=R,0
74,평범한듯 특별했던 오슬로 생활,영어영문학과,학부,2019,/partner/expReport.asp?id=16276&page=1&bgbn=R,0
73,노르웨이 생활 너무 걱정하지 마세요,문화인류학과,학부,2019,/partner/expReport.asp?id=16182&page=1&bgbn=R,0
72,추억으로 자리잡을 노르웨이,물리학과,학부,2019,/partner/expReport.asp?id=16153&page=1&bgbn=R,1
71,오슬로에서의 즐거웠던 나날,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16121&page=1&bgbn=R,1
70,그리운 나의 오슬로,언론홍보영상학부,학부,2018,/partner/expReport.asp?id=16041&page=1&bgbn=R,0
69,휴식의 가치를 알게해준 노르웨이,철학과,학부,2018,/partner/expReport.asp?id=14906&page=1&bgbn=R,1
68,정말 여유롭고 힐링되었던 한 학기,응용통계학과,학부,2017,/partner/expReport.asp?id=14606&page=1&bgbn=R,1
67,모든게 새로웠던 오슬로에서의 한 학기,영어영문학과,학부,2017,/partner/expReport.asp?id=14530&page=1&bgbn=R,0
66,많은 것을 얻고 가는 노르웨이,사학과,학부,2016,/partner/expReport.asp?id=13271&page=1&bgbn=R,1
65,모든 것을 바꾸어 놓은 오슬로,아동가족학과,학부,2015,/partner/expReport.asp?id=12884&page=2&bgbn=R,1
64,다시 가고 싶은 노르웨이에서의 한 학기,응용통계학과,학부,2015,/partner/expReport.asp?id=12694&page=2&bgbn=R,1
63,다시 가고싶은 곳 오슬로,사회학과,학부,2015,/partner/expReport.asp?id=12475&page=2&bgbn=R,1
62,포근한 나라 노르웨이,국어국문학과,학부,2015,/partner/expReport.asp?id=12128&page=2&bgbn=R,1
61,아름다운 노르웨이에서의 소중한 한 학기,심리학과,학부,2014,/partner/expReport.asp?id=8620&page=2&bgbn=R,1
60,"꿈같던 시간, 나의 오슬로",국어국문학과,학부,2014,/partner/expReport.asp?id=7485&page=2&bgbn=R,0
59,"아름다운 나라 노르웨이, 뜻깊었던 1년",경제학과,학부,2012,/partner/expReport.asp?id=7467&page=2&bgbn=R,1
58,"살고싶은 도시, 오슬로",컴퓨터과학과,학부,2014,/partner/expReport.asp?id=7221&page=2&bgbn=R,1
57,오슬로에서의 한학기,경영학과,학부,2014,/partner/expReport.asp?id=7171&page=2&bgbn=R,1
56,가장 여유로웠던 한해,경제학과,학부,2013,/partner/expReport.asp?id=7094&page=2&bgbn=R,0
55,University of Oslo,경제학과,학부,2013,/partner/expReport.asp?id=6965&page=3&bgbn=R,1
54,"슬로우 시티, 오슬로",사회학과,학부,2013,/partner/expReport.asp?id=6931&page=3&bgbn=R,0
53,"오슬로, 내 꿈 속",문화인류학과,학부,2013,/partner/expReport.asp?id=6927&page=3&bgbn=R,1
52,북유럽의 기나긴 밤을 지나 진정한 나와 마주치다,정치외교학/경제학,학부,2010-2011,/partner/expReport.asp?id=6723&page=3&bgbn=R,1
51,"노르웨이의 광장, 오슬로",응용통계학과,학부,2013,/partner/expReport.asp?id=6684&page=3&bgbn=R,0
50,짧았던 1년,법학과,학부,2012-2013,/partner/expReport.asp?id=6613&page=3&bgbn=R,0
49,"자연이 아름다운 나라, 노르웨이",실내건축학과,학부,2013,/partner/expReport.asp?id=6578&page=3&bgbn=R,1
48,벌써 돌아가고 싶은 노르웨이 오슬로.,영어영문학과,학부,2013,/partner/expReport.asp?id=6569&page=3&bgbn=R,1
47,"평등과 화합의 나라, 노르웨이♡",아동가족학과,학부,2012,/partner/expReport.asp?id=6230&page=3&bgbn=R,1
46,"2012년 봄, 노르웨이",경제학과,학부,2012,/partner/expReport.asp?id=6218&page=3&bgbn=R,1
45,선진국 중의 선진국 노르웨이,정보산업공학과,학부,2012,/partner/expReport.asp?id=6156&page=4&bgbn=R,1
