No,제목,학과,과정,년도,href,BERT_SCORE
14,"한적하고 자연이 아름다운 타운, 더니든.",글로벌인재학과,학부,2019,/partner/expReport.asp?id=15781&page=1&bgbn=R,1
13,New Zealand is truly wonderful!,Peace and Conflict studies,대학원,2017,/partner/expReport.asp?id=14364&page=1&bgbn=R,1
12,넓고 파란 하늘과 하얀 구름의 나라 뉴질랜드,문과대학 사학,학부,2017,/partner/expReport.asp?id=14085&page=1&bgbn=R,1
11,1년의 더니든 생활,경영학과,학부,2016-2017,/partner/expReport.asp?id=13993&page=1&bgbn=R,1
10,"평생 잊지 못할 그 곳, 더니든",교육학과,학부,2015,/partner/expReport.asp?id=12063&page=1&bgbn=R,1
9,"뉴질랜드, 아름다운 자연 속에서 공부하다",행정학과,학부,2014,/partner/expReport.asp?id=11818&page=1&bgbn=R,1
8,"조용하지만 활기넘치는 그 곳, 더니든",경영학과,학부,2013,/partner/expReport.asp?id=6798&page=1&bgbn=R,1
7,더니든에서의 한 학기,경제학부,학부,2013,/partner/expReport.asp?id=6483&page=1&bgbn=R,1
6,실속있는 영어권 교환대학 '오타고 대학교'에서 한학기,경영학과,학부,2012,/partner/expReport.asp?id=5768&page=1&bgbn=R,1
5,"환상적인 그곳, 뉴질랜드",컴퓨터정보통신공학,학부,2012,/partner/expReport.asp?id=5677&page=1&bgbn=R,0
4,시간이 지날수록 소중해지는 더니든에서의 한 학기,주거환경학과,학부,2011,/partner/expReport.asp?id=5443&page=2&bgbn=R,1
3,아름다운 자연 그리고 따스함,아동가족학과/교육학과,학부,2009,/partner/expReport.asp?id=4135&page=2&bgbn=R,1
2,기대한 것보다 훨~~씬 즐거웠던 반년,국어국문/사회학,학부,2008,/partner/expReport.asp?id=3359&page=2&bgbn=R,1
1,오타고에서의 한학기를 보내고..,사회과학대학 사회학과,학부,2005,/partner/expReport.asp?id=2053&page=2&bgbn=R,1
