No,제목,학과,과정,년도,href,BERT_SCORE
29,모스크바 국립 대학교에서 지낸 한 학기,노어노문학과,학부,2020,/partner/expReport.asp?id=16667&page=1&bgbn=R,1
28,모스크바 국립 대학에서의 한학기,노어노문학과,학부,2019,/partner/expReport.asp?id=15792&page=1&bgbn=R,1
27,모스크바 국립대학교 경험보고서,노어노문학과,학부,2019,/partner/expReport.asp?id=15762&page=1&bgbn=R,1
26,1년간의 모스크바 교환학생 생활,노어노문학과,학부,2018,/partner/expReport.asp?id=15318&page=1&bgbn=R,0
25,교환학생 파견보고서,노어노문학과,학부,2018,/partner/expReport.asp?id=15286&page=1&bgbn=R,0
24,2018-2019 모스크바 엠게우 교환학생 경험보고서,노어노문학과,학부,2018-2019,/partner/expReport.asp?id=15236&page=1&bgbn=R,0
23,2017-2018 교환학생 파견 경험 보고서,노어노문학과,학부,2017-2018,/partner/expReport.asp?id=14983&page=1&bgbn=R,0
22,2017년도 가을학기 교환학생 파견보고서,노어노문학과,학부,2017,/partner/expReport.asp?id=14363&page=1&bgbn=R,1
21,모스크바국립대학,동아시아국제학부,학부,2016-2017,/partner/expReport.asp?id=13624&page=1&bgbn=R,0
20,모스크바국립대학교,정치외교학과,학부,2015,/partner/expReport.asp?id=12668&page=1&bgbn=R,0
19,모스크바 국립 대학교,노어노문학과,학부,2015,/partner/expReport.asp?id=12545&page=2&bgbn=R,1
18,모스크바국립대학교,노어노문학과,학부,2015,/partner/expReport.asp?id=12535&page=2&bgbn=R,0
17,모스크바 국립 대학교 교환학생 경험보고서,노어노문학과,학부,2013-2014,/partner/expReport.asp?id=7191&page=2&bgbn=R,0
16,봄학기 교환학생 보고서,노어노문학과,학부,2014,/partner/expReport.asp?id=7185&page=2&bgbn=R,0
15,모스크바국립대학 교환학생 보고서,노어노문학과,학부,2013,/partner/expReport.asp?id=6868&page=2&bgbn=R,0
14,러시아에서의 공부를 마치고,노어노문학과,학부,2012,/partner/expReport.asp?id=6506&page=2&bgbn=R,1
13,모스크바에서 2월부터 6월까지,노어노문학과,학부,2013,/partner/expReport.asp?id=6425&page=2&bgbn=R,1
12,모스크바 생활을 뒤돌아보며,동아시아 국제학부,학부,2012,/partner/expReport.asp?id=6180&page=2&bgbn=R,1
11,모스크바국립 대학교 '엠게우'에서의 1년,노어노문학과,학부,2012,/partner/expReport.asp?id=6101&page=2&bgbn=R,0
10,МГУ 교환학생 경험보고서,노어노문학과,학부,2009,/partner/expReport.asp?id=4528&page=2&bgbn=R,0
9,모스크바에서의 한 학기,노어노문학과,학부,2010,/partner/expReport.asp?id=4313&page=3&bgbn=R,1
8,모스크바 국립대학 교환학생 경험보고서,경제학과,학부,2008-2009,/partner/expReport.asp?id=3645&page=3&bgbn=R,0
7,모스크바 국립 대학,노어노문,학부,2008-2009,/partner/expReport.asp?id=3618&page=3&bgbn=R,1
6,모스크바 국립대학에서의 1학기,노어노문학과,학부,2006,/partner/expReport.asp?id=2414&page=3&bgbn=R,1
5,러시아 국립대학에서의 교환학생~,노어노문학전공,학부,2004,/partner/expReport.asp?id=1417&page=3&bgbn=R,0
4,Moscow State University-서진영,노어노문학전공,학부,2004,/partner/expReport.asp?id=1397&page=3&bgbn=R,1
3,모스크바 국립대학에서의 교환학생 생활,신문방송학과,학부,2004,/partner/expReport.asp?id=1246&page=3&bgbn=R,0
2,모스크바대학 경험보고서,노어노문학전공,학부,2002-2003,/partner/expReport.asp?id=1238&page=3&bgbn=R,1
1,Moscow-황정윤,노어노문학전공,학부,1996,/partner/expReport.asp?id=3&page=3&bgbn=R,1
