No,제목,학과,과정,년도,href,BERT_SCORE
47,"살고 싶은 나라 스웨덴, 평화로운 도시 욘쇼핑",경영학과,학부,2014,/partner/expReport.asp?id=7265&page=1&bgbn=R,0
46,Jonkoping International Business School,경제학과,학부,2013,/partner/expReport.asp?id=6970&page=1&bgbn=R,1
45,JIBS에서의 평화로운 가을학기,경제학과,학부,2013,/partner/expReport.asp?id=6960&page=1&bgbn=R,1
44,진정한 인터네셔널한 학교,의류환경학과,학부,2013,/partner/expReport.asp?id=6952&page=1&bgbn=R,1
43,JIBS!,경영학과,학부,2012-2013,/partner/expReport.asp?id=6797&page=1&bgbn=R,1
42,Exchange Program in JIBS,동아시아국제학부,학부,2013-1,/partner/expReport.asp?id=6606&page=1&bgbn=R,0
41,욘쇼핑에서 보낸 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6544&page=1&bgbn=R,0
40,아름다운 나라 스웨덴으로 오세요,의류환경학/경영학,학부,2012,/partner/expReport.asp?id=6282&page=1&bgbn=R,1
39,미국 유럽 고민될 땐. 그냥 스웨덴 하시죠.,경영학과,학부,2012,/partner/expReport.asp?id=6012&page=1&bgbn=R,1
38,새로운즐거움과 고민을 안겨준 1년,경영학과,학부,2011-2012,/partner/expReport.asp?id=5946&page=1&bgbn=R,0
37,스웨덴에서의 잊지못할 가을학기,경제학과,학부,2011,/partner/expReport.asp?id=5526&page=2&bgbn=R,1
36,인생 최고의 1년,경영학과,학부,2011,/partner/expReport.asp?id=5463&page=2&bgbn=R,1
35,교환학생최고의대학,경영학과,학부,2011,/partner/expReport.asp?id=5407&page=2&bgbn=R,1
34,욘쇼핑~!,경영학과,학부,2011,/partner/expReport.asp?id=5370&page=2&bgbn=R,1
33,"Hejhej, JIBS :)",경제학과,학부,2011,/partner/expReport.asp?id=5181&page=2&bgbn=R,1
32,Hej hej,행정학과,학부,2011,/partner/expReport.asp?id=5178&page=2&bgbn=R,1
31,전혀 다른 곳에서의 1년,경영학과,학부,2010-2011,/partner/expReport.asp?id=4984&page=2&bgbn=R,0
30,JIBS에서의 일 년,법학과,학부,2010,/partner/expReport.asp?id=4791&page=2&bgbn=R,1
29,경험보고서,정치외교학과,학부,2010,/partner/expReport.asp?id=4760&page=2&bgbn=R,1
28,Hejhej,법과대학,학부,2010,/partner/expReport.asp?id=4670&page=2&bgbn=R,1
27,꿈만 같은 JIBS에서의 1년,경영학과,학부,2009-2010,/partner/expReport.asp?id=4584&page=3&bgbn=R,0
26,내 인생을 바꾼 최고의 선택! JIBS,경영학과,학부,2009,/partner/expReport.asp?id=4175&page=3&bgbn=R,1
25,새로운 세상 그리고 성장,경제학과,학부,2009,/partner/expReport.asp?id=4100&page=3&bgbn=R,1
24,Välkommen! JIBS에서 보낸 잊지못할 1년,행정학과,학부,2009,/partner/expReport.asp?id=4062&page=3&bgbn=R,1
23,A whole new world,경영학과,학부,2009,/partner/expReport.asp?id=4013&page=3&bgbn=R,1
22,Sweden에서의 1년,경영학과,학부,2008-2009,/partner/expReport.asp?id=3729&page=3&bgbn=R,0
21,JIBS,경영,학부,2009,/partner/expReport.asp?id=3672&page=3&bgbn=R,1
20,완전히 다른 세상으로의 초대,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3661&page=3&bgbn=R,1
19,Hejhej~JIBS,경영학과,학부,2008,/partner/expReport.asp?id=3157&page=3&bgbn=R,1
18,jibs? jibs!,경제,학부,2008,/partner/expReport.asp?id=3142&page=3&bgbn=R,1
17,고맙습니다!,경제학,학부,2007-2008,/partner/expReport.asp?id=3134&page=4&bgbn=R,1
16,"옌쇼핑, 내 대학생활의 특별한 기억.",경영학과,학부,2007,/partner/expReport.asp?id=2985&page=4&bgbn=R,1
15,JIBS에서의 한학기,경영학과,학부,2007,/partner/expReport.asp?id=2957&page=4&bgbn=R,1
14,10년 뒤에 다시 가볼 JIBS!,중어중문학과,학부,2006-2007,/partner/expReport.asp?id=2778&page=4&bgbn=R,1
13,"교환학생들의 천국, JIBS",경영학과,학부,2006-2007,/partner/expReport.asp?id=2663&page=4&bgbn=R,1
12,"꼭 다시 한번, 돌아가고 싶습니다.",경영학과,학부,2006,/partner/expReport.asp?id=2420&page=4&bgbn=R,1
11,너무나도 큰 의미로 다가왔던 지난 1년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2174&page=4&bgbn=R,1
10,"내 생애 최고의 순간, JIBS에서의 한학기!!",경영학과,학부,2005,/partner/expReport.asp?id=2118&page=4&bgbn=R,1
9,JIBS에서의 즐거웠던 기억을 떠올리며,경영학과,학부,2005,/partner/expReport.asp?id=1991&page=4&bgbn=R,1
8,그리운 JIBS,경영학과,학부,2004-2005,/partner/expReport.asp?id=1708&page=4&bgbn=R,1
7,JIBS,상경대학 상경계열,학부,2004-2005,/partner/expReport.asp?id=1706&page=5&bgbn=R,1
6,Jonkoping International Business School,상경계열,학부,2003,/partner/expReport.asp?id=1661&page=5&bgbn=R,1
5,JIBS,경영학전공,학부,2004,/partner/expReport.asp?id=1418&page=5&bgbn=R,1
4,The most beautiful time in my life,경영학전공,학부,2002,/partner/expReport.asp?id=803&page=5&bgbn=R,1
3,Jonkoping International Business School - 박미경,경영학전공,학부,2001-2002,/partner/expReport.asp?id=667&page=5&bgbn=R,1
2,Jonkoping International Business School - 김인주,상경계열,학부,2001,/partner/expReport.asp?id=448&page=5&bgbn=R,1
1,Jonkoping Univ.-조순영,상경대학,학부,2000,/partner/expReport.asp?id=180&page=5&bgbn=R,1
