No,제목,학과,과정,년도,href,BERT_SCORE
54,너무 행복했던 린네대학교 생활,사회학과,학부,2019-2020,/partner/expReport.asp?id=16478&page=1&bgbn=R,1
53,즐거웠던 Linnaeus university에서의 한 학기,중어중문학과,학부,2019,/partner/expReport.asp?id=16329&page=1&bgbn=R,0
52,영혼을 갈아 작성한 Linnaeus 도움글!!!!!,사회복지학과,학부,2019,/partner/expReport.asp?id=16268&page=1&bgbn=R,0
51,Vaxjo 캠퍼스에서의 한 학기,정치외교학과,학부,2018,/partner/expReport.asp?id=15336&page=1&bgbn=R,0
50,즐거웠던 1년간의 스웨덴 생활,영어영문학과,학부,2017-2018,/partner/expReport.asp?id=14965&page=1&bgbn=R,0
49,아름다운 도시 백훼에서의 한 학기,국어국문학과,학부,2018,/partner/expReport.asp?id=14947&page=1&bgbn=R,1
48,스웨덴 벡훼에서의 잊지 못할 한 학기,사회복지학과,학부,2018,/partner/expReport.asp?id=14815&page=1&bgbn=R,1
47,즐거웠던 벡훼 생활,전기전자공학부,학부,2017,/partner/expReport.asp?id=14677&page=1&bgbn=R,0
46,Linnaeus University에서의 한 학기,실내건축학과,학부,2016-2017,/partner/expReport.asp?id=13843&page=1&bgbn=R,0
45,Linnaeus University 경험보고서,문화인류학과,학부,2016-2017,/partner/expReport.asp?id=13792&page=1&bgbn=R,0
44,스웨덴 린네대학교(백훼캠퍼스) 경험보고서,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13759&page=2&bgbn=R,1
43,많은 것을 느낀 kalmar에서 한 학기,시스템생물학과,학부,2016,/partner/expReport.asp?id=13747&page=2&bgbn=R,1
42,하룻밤 꿈같았던 백훼에서의 일년,행정학과,학부,2014,/partner/expReport.asp?id=13724&page=2&bgbn=R,1
41,잊지 못할 벡훼에서의 한 학기,생활디자인학과,학부,2016,/partner/expReport.asp?id=13697&page=2&bgbn=R,1
40,유럽에서 보내는 한 학기,사회복지학과,학부,2015,/partner/expReport.asp?id=13596&page=2&bgbn=R,0
39,현실이라기엔 너무나 꿈만 같았던 Vaxjo에서의 한학기,행정학과,학부,2013,/partner/expReport.asp?id=13409&page=2&bgbn=R,1
38,Learn Design with Real Materials,Information and Interaction Design,학부,2016,/partner/expReport.asp?id=13337&page=2&bgbn=R,1
37,시간이 멈춘것 같았던 백훼에서의 한학기!,의류환경,학부,2016,/partner/expReport.asp?id=13307&page=2&bgbn=R,1
36,스웨덴 Linnaeus University 경험보고서,정치외교학과,학부,2015,/partner/expReport.asp?id=12509&page=2&bgbn=R,0
35,벡훼 스웨덴으로 오세요!!,사회복지학과,학부,2015,/partner/expReport.asp?id=12029&page=2&bgbn=R,0
34,잊지 못할 벡훼에서의 2014년 가을,국어국문학과,학부,2014,/partner/expReport.asp?id=10716&page=3&bgbn=R,1
33,본교 디자인학부생들에게 추천하고픈 프로그램,생활디자인학과,학부,2014,/partner/expReport.asp?id=10713&page=3&bgbn=R,1
32,Linnaeus University (Vaxjo) 경험 보고서,영어영문학과,학부,2011,/partner/expReport.asp?id=10660&page=3&bgbn=R,0
