No,제목,학과,과정,년도,href,BERT_SCORE
101,행복으로 가득찬 NUS의 한학기,언더우드학부 경제학과,학부,2020,/partner/expReport.asp?id=16642&page=1&bgbn=R,1
100,정말 행복하고 많이 배울 수 있었던 한 학기,언더우드학부,학부,2020,/partner/expReport.asp?id=16550&page=1&bgbn=R,1
99,NUS에서의 한 학기,언더우드국제대학 창의기술경영하고가,학부,2019,/partner/expReport.asp?id=16460&page=1&bgbn=R,1
98,조금은 아쉬웠지만 알찼던 한학기,응용통계학과,학부,2020,/partner/expReport.asp?id=16442&page=1&bgbn=R,1
97,꿈만 같았던 싱가포르에서의 한 학기,아시아학과,학부,2019,/partner/expReport.asp?id=16069&page=1&bgbn=R,1
96,Yale NUS 교환학생 팁,과학기술정책,학부,2019,/partner/expReport.asp?id=16066&page=1&bgbn=R,0
95,싱가포르에서 보낸 의미있는 일년,철학과,학부,2019,/partner/expReport.asp?id=16059&page=1&bgbn=R,1
94,"NUS, 나의 두번째 모교",응용통계학과,학부,2019,/partner/expReport.asp?id=15968&page=1&bgbn=R,1
93,행복했던 한 학기 동안의 추억들,언더우드학부 경제학과,학부,2019,/partner/expReport.asp?id=15810&page=1&bgbn=R,1
92,행복했던 싱가포르에서의 한 학기,언더우드국제대학 국제학,학부,2019,/partner/expReport.asp?id=15799&page=1&bgbn=R,1
91,"싱가폴, 나의 두번째 고향",전기전자공학,학부,2019,/partner/expReport.asp?id=15586&page=2&bgbn=R,1
90,NUS에서의 활기 넘쳤던 한 학기,경영학과,학부,2019,/partner/expReport.asp?id=15527&page=2&bgbn=R,1
89,NUS에서의 두 학기,언더우드학부 경제학과,학부,2018-2019,/partner/expReport.asp?id=15526&page=2&bgbn=R,1
88,절대 잊지 못할 경험,글로벌인재학부,학부,2018,/partner/expReport.asp?id=15339&page=2&bgbn=R,1
87,National University of Singapore에서의 한 학기,문헌정보,학부,2018,/partner/expReport.asp?id=15271&page=2&bgbn=R,1
86,"안 왔으면 후회할 뻔한, 행복했던 한 학기",언더우드학부 경제학,학부,2018,/partner/expReport.asp?id=15146&page=2&bgbn=R,1
85,"너무나 행복했던, 잊지 못할 기억",심리학과,학부,2018,/partner/expReport.asp?id=15142&page=2&bgbn=R,1
84,싱가포르에서의 즐거운 4개월,이과대학,학부,2015,/partner/expReport.asp?id=15060&page=2&bgbn=R,1
83,싱가포르국립대학,언더우드국제대학 경제학과,학부,2018,/partner/expReport.asp?id=15020&page=2&bgbn=R,1
82,NUS에서의 한 학기,응용통계학과,학부,2018,/partner/expReport.asp?id=14782&page=2&bgbn=R,1
81,NUS,영어영문학과,학부,2018,/partner/expReport.asp?id=14744&page=3&bgbn=R,0
80,NUS에서의 한 학기,경영학과,학부,2017,/partner/expReport.asp?id=14590&page=3&bgbn=R,1
79,NUS에서의 한 학기,아시아학과,학부,2017,/partner/expReport.asp?id=14574&page=3&bgbn=R,1
78,행복했던 NUS에서의 생활,언더우드학부 국제학과,학부,2017,/partner/expReport.asp?id=14559&page=3&bgbn=R,1
77,an adventurous year in singapore,경영학과,학부,2017,/partner/expReport.asp?id=14545&page=3&bgbn=R,1
76,동남아시아의 문화에 흠뻑 빠질 수 있었던 NUS에서의 한학기,UIC 아시아학부,학부,2017,/partner/expReport.asp?id=14471&page=3&bgbn=R,1
75,A Semester at National University of Singapore,언더우드국제대학 생명과학공학과,학부,2017,/partner/expReport.asp?id=14469&page=3&bgbn=R,1
74,싱가폴국립대에서의 한 학기,문헌정보학과,학부,2017,/partner/expReport.asp?id=14367&page=3&bgbn=R,1
73,싱가폴에서의 일년,언더우드국제대학,학부,2016-2017,/partner/expReport.asp?id=14153&page=3&bgbn=R,1
72,한학기로는 짧은 소중했던 NUS 교환학생 생활,정보산업공학과,학부,2017,/partner/expReport.asp?id=14135&page=3&bgbn=R,0
71,NUS에서의 한학기,동아시아국제학부,학부,2014,/partner/expReport.asp?id=13898&page=4&bgbn=R,1
70,NUS에서의 한학기,계량위험관리학과,학부,2016,/partner/expReport.asp?id=13862&page=4&bgbn=R,1
69,싱가포르와 NUS에서의 한 학기,문화디자인경영학과,학부,2016,/partner/expReport.asp?id=13847&page=4&bgbn=R,1
68,싱가폴에서의 한 학기,행정학과,학부,2016,/partner/expReport.asp?id=13787&page=4&bgbn=R,1
67,NUS에서의 행복했던 한 학기,정치외교학과,학부,2016,/partner/expReport.asp?id=13557&page=4&bgbn=R,1
66,싱가포르 국립대학에서의 1년,생명공학과,학부,2015-2016,/partner/expReport.asp?id=13347&page=4&bgbn=R,1
65,지난한학기의 NUS 교환학생,UIC 아시아학부,학부,2016,/partner/expReport.asp?id=13268&page=4&bgbn=R,0
64,NUS,UD International Studies,학부,2016,/partner/expReport.asp?id=13242&page=4&bgbn=R,0
63,평생친구를 만난 NUS에서의 행복한 한학기,중어중문학과,학부,2016,/partner/expReport.asp?id=13240&page=4&bgbn=R,1
62,싱가포르에서의 한학기,응용통계학과,학부,2016,/partner/expReport.asp?id=13224&page=4&bgbn=R,1
61,NUS 교환학생 기간의 핵심을 말하는 경험 보고서!,행정학과,학부,2015,/partner/expReport.asp?id=13171&page=5&bgbn=R,0
60,싱가폴에서의 한학기,언더우드 국제학부 경제학,학부,2016,/partner/expReport.asp?id=13051&page=5&bgbn=R,1
