No,제목,학과,과정,년도,href,BERT_SCORE
11,평생 못잊을 교환생활 NSYSU,의공학부,학부,2019,/partner/expReport.asp?id=15802&page=1&bgbn=R,0
10,눈물과 웃음 in NSYSU,GLC,학부,2018-2019,/partner/expReport.asp?id=15431&page=1&bgbn=R,0
9,자연에 숨겨있는 중산대,GLD,학부,2018,/partner/expReport.asp?id=14995&page=1&bgbn=R,1
8,2018-1 바다의 도시 가오슝에서,의류환경학과,학부,2018,/partner/expReport.asp?id=14994&page=1&bgbn=R,0
7,중산대학교에서의 행복,사회복지학과,학부,2017,/partner/expReport.asp?id=14167&page=1&bgbn=R,1
6,중국어도 배우고 매일이 바캉스 같았던 중산대,UIC 경제,학부,2015-2016,/partner/expReport.asp?id=12835&page=1&bgbn=R,1
5,따뜻한 남쪽나라에서의 편안했던 생활,경영학과,학부,2006,/partner/expReport.asp?id=2382&page=1&bgbn=R,1
4,"최고의 자연환경, 중산대학교!",정보산업공학과,학부,2006,/partner/expReport.asp?id=2115&page=1&bgbn=R,1
3,따뜻한 기후와 온정의 나라 타이완에서 보낸 한학기,경영대학 경영학과,학부,2005-2006,/partner/expReport.asp?id=1956&page=1&bgbn=R,1
2,중문대학 경험보고서,중어중문학과,학부,2005,/partner/expReport.asp?id=1729&page=1&bgbn=R,1
1,忘不了在中山大学的经验！！！,중어중문학전공,학부,2003,/partner/expReport.asp?id=1126&page=2&bgbn=R,1
