No,제목,학과,과정,년도,href,BERT_SCORE
22,CSUF 경험 보고서,전기전자 공학부,학부,2015-2016,/partner/expReport.asp?id=13120&page=1&bgbn=R,0
21,여유로운 풀러튼에서의 1년,스포츠레저학과,학부,2015-2016,/partner/expReport.asp?id=12968&page=1&bgbn=R,0
20,Political Science,UD,학부,2014-2015,/partner/expReport.asp?id=12307&page=1&bgbn=R,1
19,"천상의 환경, 그리고 끊임없는 노력",경영학과,학부,2014-2015,/partner/expReport.asp?id=11991&page=1&bgbn=R,1
18,잊지못할 교환학생 생활,정보통계학과,학부,2013-2014,/partner/expReport.asp?id=7075&page=1&bgbn=R,0
17,Fullerton에서의 느긋한 생활,체육교육,학부,2012,/partner/expReport.asp?id=6735&page=1&bgbn=R,0
16,그리운 Fullerton,철학과,학부,2012,/partner/expReport.asp?id=6580&page=1&bgbn=R,1
15,그리운 Fullerton,철학과,학부,2012,/partner/expReport.asp?id=6579&page=1&bgbn=R,1
14,다양한 친구를 사귈 수 있었던 좋은 경험!!,"사학과, 정치외교학과",학부,2012-2013,/partner/expReport.asp?id=6406&page=1&bgbn=R,1
13,많은 경험을 한 1년,경제학과,학부,2012-2013,/partner/expReport.asp?id=6383&page=1&bgbn=R,0
12,즐거웠고 행복했던 fullerton에서의 한학기.,기계공학,학부,2012,/partner/expReport.asp?id=5611&page=2&bgbn=R,1
11,여유롭고 신선했던 플러턴에서의 한학기,경영학과,학부,2011,/partner/expReport.asp?id=5549&page=2&bgbn=R,1
10,연대와 많이 닮은 CSUF,아동가족학과,학부,2011,/partner/expReport.asp?id=5155&page=2&bgbn=R,1
9,"CSUF와 함께 한 새로운 삶, 새로운 생각",신문방송학과,학부,2010-2011,/partner/expReport.asp?id=5144&page=2&bgbn=R,1
8,또다른 대학생활 CSUF,정보산업공학과,학부,2010,/partner/expReport.asp?id=5029&page=2&bgbn=R,1
7,아무것도 모르고 가게된 CSUF,신문방송학과,학부,2010,/partner/expReport.asp?id=4284&page=2&bgbn=R,1
6,CSUF,행정학과,학부,2008-2009,/partner/expReport.asp?id=3721&page=2&bgbn=R,1
5,한번 쯤 즐겨볼만한 CSFU!,경영학과,학부,2007-2008,/partner/expReport.asp?id=3217&page=2&bgbn=R,1
4,Fullerton,경영학과,학부,2007,/partner/expReport.asp?id=2913&page=2&bgbn=R,1
3,CSUF 교환학생 경험보고서,경영학과,학부,2005,/partner/expReport.asp?id=1812&page=2&bgbn=R,0
2,경험보고서,사회과학대학,학부,2002,/partner/expReport.asp?id=897&page=3&bgbn=R,0
1,CSU Fullerton을 다녀와서...,경영학전공,학부,2002,/partner/expReport.asp?id=721&page=3&bgbn=R,1
